pitcher,player_name,xfp_v7,gs_2026,fp_per_start_actual_2026,k_pct_2026,xfp_v6,xfp_v5,delta_v7_v6
668678,"Gallen, Zac",10.281428539497284,7.0,6.499999999999999,0.1418439716312056,10.895947881139357,10.433535867790829,-0.6145193416420724
668881,"Greene, Hunter",15.767798729205625,,,,16.47026808594206,15.789325871650993,-0.7024693567364348
668909,"Williams, Gavin",10.0007848357882,7.0,17.099999999999998,0.3099415204678362,10.416192554311577,10.374876358685567,-0.415407718523376
669022,"Gore, MacKenzie",10.34638231074565,7.0,11.057142857142855,0.2980132450331126,10.685543217867036,10.612877380179192,-0.3391609071213857
669160,"May, Dustin",7.92170166990668,7.0,5.585714285714284,0.1582278481012658,,8.02633885637591,
669194,"Nelson, Ryne",10.894291754602865,6.0,9.716666666666669,0.1958041958041958,11.575477088045178,11.084585053188963,-0.681185333442313
669203,"Burnes, Corbin",11.629100925006561,,,,12.427638499811895,11.894723415542876,-0.7985375748053336
669302,"Gilbert, Logan",14.97865211441926,7.0,11.3,0.2407407407407407,15.906432515474219,15.087719790123,-0.9277804010549584
669358,"Baz, Shane",11.732492761103106,6.0,8.666666666666666,0.1933333333333333,12.30837165658038,11.875371870094147,-0.575878895477274
669372,"Ginn, J.T.",11.3361109765076,5.0,8.939999999999998,0.1869918699186991,,11.69111947753775,
669373,"Skubal, Tarik",17.501828600280447,7.0,17.142857142857142,0.2710843373493976,18.01416557700786,17.478780941885645,-0.5123369767274113
669387,"Mlodzinski, Carmen",10.599425559865695,6.0,7.5666666666666655,0.2597402597402597,,10.689445701490916,
669432,"Rogers, Trevor",13.240606830045117,6.0,7.833333333333331,0.2014925373134328,13.394162417685052,13.26014653375725,-0.1535555876399357
669461,"Liberatore, Matthew",8.552223152766526,7.0,6.928571428571428,0.1446540880503144,8.778856313373895,8.7311034839546,-0.22663316060736882
669467,"Pallante, Andre",8.98105430887297,6.0,9.733333333333333,0.1884057971014492,9.28548127887197,8.987514876223553,-0.30442696999899965
669920,"Alexander, Jason",8.548881704561826,,,,8.536151510489265,8.644678700205372,0.012730194072560153
669923,"Kirby, George",12.264345714524396,7.0,14.057142857142855,0.1910112359550561,12.778589501455818,12.084187763306963,-0.5142437869314218
670102,"Francis, Bowden",6.4117250258336735,,,,6.920622123072901,6.440400505747737,-0.5088970972392275
671096,"Abbott, Andrew",12.462755661499521,7.0,5.014285714285713,0.1518987341772152,12.676487042227766,12.441998111751943,-0.2137313807282446
671106,"Allen, Logan",8.46904223472913,,,,8.44427864260041,8.577116902662372,0.02476359212871948
671737,"Bradley, Taj",9.657303187120071,7.0,14.757142857142854,0.2528735632183908,10.06519468687694,9.87702974702642,-0.4078914997568681
672456,"Montero, Keider",9.747267910488995,6.0,13.166666666666664,0.18796992481203,10.28446267078148,9.778090288025888,-0.5371947602924845
673540,"Senga, Kodai",10.03998256287985,5.0,1.5799999999999987,0.2371134020618556,10.337360005971348,10.53851250428466,-0.2973774430914986
674370,"Bido, Osvaldo",7.605008309075894,,,,,7.845815002989784,
675911,"Strider, Spencer",8.821938085270281,,,,9.343759728450403,9.265685812877273,-0.5218216431801217
676083,"Junk, Janson",9.776261493622036,6.0,11.283333333333331,0.1567164179104477,,9.765922714508932,
676106,"Hancock, Emerson",7.388555918857049,7.0,16.014285714285712,0.28125,7.490129927963512,6.935875985719643,-0.10157400910646253
676282,"Cantillo, Joey",11.775292171626,7.0,9.585714285714284,0.2413793103448276,,12.553533262366397,
676440,"Bibee, Tanner",11.673528115931926,7.0,9.94285714285714,0.2091503267973856,12.13130267990633,11.777515722149321,-0.45777456397440375
676467,"Gordon, Colton",8.631326732594138,,,,,8.915792317494667,
676664,"Sears, JP",9.589150112109605,,,,9.778970396709209,9.715655043973394,-0.18982028459960354
676917,"Cavalli, Cade",11.713225224783194,7.0,6.385714285714285,0.2657342657342657,,12.179062652901298,
676962,"Brown, Ben",10.82534856991442,,,,,11.092951580318477,
676974,"Meyer, Max",9.947109884102098,7.0,14.157142857142857,0.2597402597402597,10.456825674193132,10.194001900774085,-0.5097157900910343
676979,"Crochet, Garrett",15.595021346642765,6.0,7.333333333333332,0.2681159420289855,15.438320909827208,15.803627062334897,0.1567004368155569
677944,"Cecconi, Slade",8.408545313476836,7.0,4.67142857142857,0.1707317073170731,8.363528456214283,8.320207608484646,0.04501685726255289
677958,"Rocker, Kumar",7.752695636791795,6.0,7.583333333333332,0.1889763779527559,,7.770331635642421,
678394,"Bello, Brayan",8.882493022298597,6.0,-0.7500000000000006,0.1278195488721804,9.289012054330437,9.095796912601664,-0.4065190320318397
680573,"Woods Richardson, Simeon",10.737909887243399,7.0,1.5999999999999996,0.1049382716049382,10.566700682278011,10.94168076461542,0.17120920496538794
680730,"Parker, Mitchell",5.901490291182604,,,,6.318189675684642,6.332527634862503,-0.4166993845020377
680732,"Burke, Sean",8.031393884451063,5.0,9.98,0.2038216560509554,,8.573372963683767,
680885,"Schwellenbach, Spencer",13.860613800817806,,,,14.734927223258623,14.235602562994389,-0.8743134224408173
681190,"Vásquez, Randy",6.334026611638798,6.0,13.133333333333333,0.2481751824817518,6.351204876773006,6.720204187439101,-0.01717826513420828
681343,"Smith, Shane",10.736487411373217,3.0,-2.866666666666667,0.2244897959183673,,11.089426022924782,
681347,"Burrows, Mike",11.038756764122052,7.0,6.742857142857141,0.2130177514792899,,11.026466400924855,
681857,"Olson, Reese",10.819503098099219,,,,10.696414321664705,11.013203664489216,0.1230887764345141
682052,"Lopez, Jacob",11.662780510982124,6.0,3.9166666666666656,0.1575342465753424,,12.08107376794784,
682243,"Miller, Bryce",7.832274266679912,,,,8.104060056455396,7.682776128772364,-0.2717857897754836
682847,"Ortiz, Luis",10.689180997315553,,,,11.809310522796919,10.4631093994511,-1.1201295254813655
682990,"Priester, Quinn",11.545597069048119,,,,,11.660557269044158,
683004,"Leiter, Jack",9.404962823601153,7.0,9.457142857142856,0.2621951219512195,,9.705879436469893,
684007,"Imanaga, Shota",10.838612853605671,7.0,18.057142857142857,0.270440251572327,10.751532134282055,11.008020608268104,0.08708071932361605
685299,"Gordon, Tanner",6.355031627479521,,,,,6.2483769576042905,
686218,"Sheehan, Emmet",14.675978658164384,6.0,11.016666666666666,0.2727272727272727,14.527939350684415,14.877263195878506,0.1480393074799693
686563,"Cannon, Jonathan",6.6877259253902475,,,,6.673985498271069,6.760095286204676,0.013740427119178555
686613,"Brown, Hunter",13.516796360268492,,,,14.306623860601427,14.084303080088514,-0.7898275003329349
686701,"Bergert, Ryan",9.323383003434211,,,,,9.59826095566112,
686752,"Pepiot, Ryan",10.824360689291776,,,,11.060364176094788,11.25432326361339,-0.2360034868030123
686799,"Kochanowicz, Jack",5.384613035240655,7.0,12.914285714285713,0.1714285714285714,5.945836316624771,5.541766608474108,-0.561223281384116
687064,"Young, Brandon",10.269160100143294,3.0,1.3999999999999992,0.1176470588235294,,10.04287392777401,
687134,"Blalock, Bradley",2.3726637002743587,,,,,2.4726361794459413,
687473,"Gusto, Ryan",9.238312348321108,,,,,9.295125762294159,
688138,"Evans, Logan",7.233524351685212,,,,,7.252785529001246,
690916,"Fitts, Richard",8.074082893115914,,,,,8.144026236807312,
690928,"Dobbins, Hunter",11.145711972829591,,,,,11.203605291231026,
690990,"Horton, Cade",12.083718042996255,,,,,12.136940688691194,
691587,"Pérez, Eury",13.100834422194463,7.0,9.4,0.2468354430379747,13.140995206788906,13.284033590560549,-0.040160784594442944
693433,"Woo, Bryan",14.431878094494511,7.0,10.171428571428567,0.1746987951807229,14.636017438155749,14.491079879518518,-0.20413934366123776
693645,"Schlittler, Cam",11.645137860964494,7.0,19.485714285714284,0.3141025641025641,,11.637839136644942,
693821,"Elder, Bryce",8.66595887196181,7.0,14.957142857142856,0.2093023255813953,8.609185349211637,8.762887421556744,0.05677352275017178
694297,"Pfaadt, Brandon",7.853833780581756,3.0,6.666666666666664,0.171875,8.373998573469423,8.067494439979386,-0.5201647928876669
694462,"Waldrep, Hurston",10.201330986302633,,,,,10.491482283449882,
694477,"Patrick, Chad",10.918819117650258,4.0,12.55,0.1391304347826087,,10.967449198037034,
694738,"Roupp, Landen",10.197934006493673,7.0,14.399999999999997,0.26875,,10.350785993353675,
694819,"Misiorowski, Jacob",13.449359463444246,7.0,17.34285714285714,0.3806451612903225,,14.048139314042778,
694973,"Skenes, Paul",16.034574602137354,6.0,18.0,0.2932330827067669,16.35876605412627,16.150412516957978,-0.3241914519889164
695418,"Lord, Brad",8.488814487726705,,,,,8.406946540458675,
695549,"Jobe, Jackson",8.665027893517141,,,,,8.824913852606228,
700241,"McGreevy, Michael",7.5553055282091846,7.0,13.499999999999998,0.1632653061224489,,7.933982944061691,
700249,"Povich, Cade",7.0988233336700635,,,,7.070742169131397,7.456650849292051,0.028081164538666492
701542,"Warren, Will",9.534848154485887,7.0,14.571428571428571,0.3026315789473684,,9.712972172669053,
701581,"Festa, David",9.082673443687845,,,,9.156789822281567,9.511124161845801,-0.07411637859372178
702070,"Cameron, Noah",10.069914974953383,6.0,7.0666666666666655,0.1944444444444444,,10.541394878373845,
801403,"Dollander, Chase",7.418813389342462,3.0,13.699999999999998,0.267515923566879,,7.417308856185825,
805673,"Matthews, Zebby",10.195209349043488,,,,,10.405056865343143,
808967,"Yamamoto, Yoshinobu",15.23349749049197,6.0,15.183333333333332,0.2176870748299319,15.315465279572592,15.41146400977783,-0.08196778908062186
