pitcher,player_name,cohort,xfp_v5,xfp_v6,xfp_v7,xfp_v8,xfp_v8_1,delta_v8_1_v8,n_pitches_2025,n_pitches_2026,weight_2026,gs_2026,fp_per_start_actual_2026,k_pct_2026
667755,"Soriano, José",blended,10.896125312114613,10.917297184325568,10.78758804653959,10.921529457679654,11.620958550905328,0.6994290932256746,2784.0,668.0,0.19351100811123986,7.0,20.085714285714285,0.298780487804878
668678,"Gallen, Zac",blended,10.647849435832972,10.75116645637657,10.626748256405634,10.357556181473552,9.780889905900963,-0.5766662755725882,3137.0,575.0,0.1549030172413793,7.0,6.499999999999999,0.1418439716312056
668881,"Greene, Hunter",2025_only,15.616925816057918,16.28512506257536,15.60701045716139,16.357758096278253,16.357758096278253,0.0,1748.0,0.0,0.0,,,
668909,"Williams, Gavin",blended,10.270363398211208,10.28253768552002,10.16727898664383,10.569148690067314,11.059383389581297,0.4902346995139837,2925.0,660.0,0.18410041841004185,7.0,17.099999999999998,0.3099415204678362
669022,"Gore, MacKenzie",blended,10.548836526015108,10.8921254017124,10.524230164312645,10.482287302269766,10.502485831121563,0.020198528851796738,2819.0,645.0,0.18620092378752887,7.0,11.057142857142855,0.2980132450331126
669160,"May, Dustin",blended,8.069084710401059,7.404353810601089,8.131183634747734,8.395447099058613,8.702377728813884,0.3069306297552714,2182.0,593.0,0.2136936936936937,7.0,5.585714285714284,0.1582278481012658
669194,"Nelson, Ryne",blended,10.97717209436558,11.1389535335426,11.018053061722426,10.474195927226091,9.518969803606806,-0.9552261236192852,2467.0,553.0,0.18311258278145695,6.0,9.716666666666669,0.1958041958041958
669203,"Burnes, Corbin",2025_only,12.129627523286828,12.36114138304668,12.022363666537808,11.699990697130644,11.699990697130643,-1.7763568394002505e-15,1010.0,0.0,0.0,,,
669302,"Gilbert, Logan",blended,14.745814423345578,16.240084998468124,14.975698486343187,16.245342565885167,14.984394105021494,-1.2609484608636734,2156.0,643.0,0.2297249017506252,7.0,11.3,0.2407407407407407
669358,"Baz, Shane",blended,11.984328930116313,12.39255021740918,11.898696448322788,11.773147220126448,11.424918335298434,-0.3482288848280142,2724.0,572.0,0.17354368932038836,6.0,8.666666666666666,0.1933333333333333
669372,"Ginn, J.T.",blended,11.822521833618625,,11.659671317506447,12.181702003033614,11.92323810737399,-0.2584638956596237,1580.0,477.0,0.23189110354885756,5.0,8.939999999999998,0.1869918699186991
669373,"Skubal, Tarik",blended,17.447416010436935,18.186861539395387,17.426799589258703,18.51834204274776,17.42753826589326,-1.0908037768545,2849.0,627.0,0.18037974683544303,7.0,17.142857142857142,0.2710843373493976
669387,"Mlodzinski, Carmen",blended,10.871797769435275,,10.826833499216914,10.456565023477092,10.461992555995025,0.0054275325179329315,1648.0,606.0,0.2688553682342502,6.0,7.5666666666666655,0.2597402597402597
669432,"Rogers, Trevor",blended,13.26802613541656,13.364211355972218,13.362138716525957,13.292775540171846,12.844291027480452,-0.4484845126913939,1627.0,536.0,0.24780397595931578,6.0,7.833333333333331,0.2014925373134328
669461,"Liberatore, Matthew",blended,8.965250266773019,8.80111335049284,8.938018925943709,8.44283572372414,8.090781707639378,-0.3520540160847627,2390.0,593.0,0.19879316124706672,7.0,6.928571428571428,0.1446540880503144
669467,"Pallante, Andre",blended,9.133550874232553,9.37402111904461,9.220785293948266,9.1402928580163,9.308156712384712,0.16786385436841122,2722.0,539.0,0.16528672186445875,6.0,9.733333333333333,0.1884057971014492
669920,"Alexander, Jason",2025_only,8.75439828103707,8.517352460393909,8.755854981543798,9.142893509571456,9.142893509571456,0.0,1252.0,0.0,0.0,,,
669923,"Kirby, George",blended,12.174781925940138,12.43479185987296,12.35036024291506,11.962846538478711,12.355188039503513,0.39234150102480214,2087.0,643.0,0.23553113553113553,7.0,14.057142857142855,0.1910112359550561
670102,"Francis, Bowden",2025_only,6.349266511388747,6.978774275570678,6.50747069485529,6.256637868072756,6.256637868072756,0.0,1143.0,0.0,0.0,,,
671096,"Abbott, Andrew",blended,12.732779839853311,12.853679343829192,12.74374827862337,12.251127026926431,10.87038315437898,-1.380743872547452,2677.0,605.0,0.18433881779402803,7.0,5.014285714285713,0.1518987341772152
671106,"Allen, Logan",2025_only,8.874317949852987,8.893212161343376,8.810587240853536,9.254122171953629,9.254122171953629,0.0,2713.0,0.0,0.0,,,
671212,"Boyle, Joe",2026_only,,,,,9.038002722792585,,0.0,263.0,1.0,,,
671737,"Bradley, Taj",blended,9.98497685113352,10.281173417360788,9.844729519558909,9.837880011170007,10.098628578149304,0.2607485669792968,2327.0,708.0,0.23327841845140032,7.0,14.757142857142854,0.2528735632183908
672282,"Detmers, Reid",2026_only,,,,,15.95127509480957,,0.0,669.0,1.0,,,
672456,"Montero, Keider",blended,9.98790300329462,10.125737437609578,10.023825013484954,9.393328765385508,10.242660621434691,0.8493318560491829,1474.0,485.0,0.24757529351710056,6.0,13.166666666666664,0.18796992481203
673540,"Senga, Kodai",blended,10.858057904561914,11.13857926097586,10.5092519925902,11.022168481844805,10.743674755026595,-0.27849372681821016,1908.0,368.0,0.1616871704745167,5.0,1.5799999999999987,0.2371134020618556
674370,"Bido, Osvaldo",2025_only,7.872140123888453,,7.69707913840664,7.137365070102474,7.137365070102474,0.0,1386.0,0.0,0.0,,,
675911,"Strider, Spencer",2025_only,9.147744163671884,9.59811760244837,9.012970541882629,8.70637891135362,8.70637891135362,0.0,2111.0,0.0,0.0,,,
675989,"Bolton, Cody",2026_only,,,,,6.946557307597869,,0.0,234.0,1.0,,,
676083,"Junk, Janson",blended,9.94545094091326,,10.10938059014731,8.919558344332376,9.404335469787604,0.4847771254552278,1622.0,491.0,0.23237103644107904,6.0,11.283333333333331,0.1567164179104477
676106,"Hancock, Emerson",blended,7.1376643457301885,7.478282548541388,7.43468609566338,6.84056721174438,8.065855688310908,1.2252884765665275,1423.0,647.0,0.31256038647342993,7.0,16.014285714285712,0.28125
676282,"Cantillo, Joey",blended,12.281110109422396,,12.003255152873887,13.322023691485713,12.491349412286668,-0.8306742791990445,1637.0,590.0,0.26493039964077236,7.0,9.585714285714284,0.2413793103448276
676440,"Bibee, Tanner",blended,11.859224148039877,12.175728488438386,11.868654864816405,11.854091036536245,11.542665304435124,-0.3114257321011209,2975.0,616.0,0.17153996101364521,7.0,9.94285714285714,0.2091503267973856
676467,"Gordon, Colton",2025_only,8.953457539348413,,8.995985474326446,8.528275222251974,8.528275222251974,0.0,1459.0,0.0,0.0,,,
676571,"Poulin, PJ",2026_only,,,,,8.368444502390926,,0.0,310.0,1.0,,,
676664,"Sears, JP",2025_only,9.93987998197431,10.162383022415188,9.886347246836069,9.91713959984476,9.91713959984476,0.0,2366.0,0.0,0.0,,,
676917,"Cavalli, Cade",blended,12.23190921516878,,12.00666784790938,10.947303646551708,11.610297926815965,0.6629942802642574,790.0,576.0,0.4216691068814056,7.0,6.385714285714285,0.2657342657342657
676962,"Brown, Ben",2025_only,10.94416176524071,,10.85339341922194,10.24021407329734,10.240214073297341,1.7763568394002505e-15,1694.0,0.0,0.0,,,
676974,"Meyer, Max",blended,10.247124442209705,10.300127109008654,10.086196471564604,9.541023500601549,10.513444856182671,0.9724213555811225,1040.0,590.0,0.3619631901840491,7.0,14.157142857142857,0.2597402597402597
676979,"Crochet, Garrett",blended,15.77739986897041,15.234558700824085,15.71399395072726,16.32941138176684,14.825410482612323,-1.5040008991545157,3151.0,518.0,0.14118288361951487,6.0,7.333333333333332,0.2681159420289855
677944,"Cecconi, Slade",blended,8.309824044626426,8.002689494266535,8.437772181959915,8.438225187955936,8.18574500509734,-0.2524801828585961,2069.0,605.0,0.2262528047868362,7.0,4.67142857142857,0.1707317073170731
677952,"Ashcraft, Braxton",2026_only,,,,,16.962111695340816,,0.0,604.0,1.0,,,
677958,"Rocker, Kumar",blended,7.649862790714636,,7.841608041208744,6.542588659902263,7.307038257113144,0.7644495972108807,1128.0,477.0,0.297196261682243,6.0,7.583333333333332,0.1889763779527559
677960,"Weathers, Ryan",2026_only,,,,,10.339456154857485,,0.0,631.0,1.0,,,
678394,"Bello, Brayan",blended,9.33447061932526,9.33094717743667,9.243440052030952,9.108811164920985,8.22661090948246,-0.8822002554385246,2698.0,504.0,0.15740162398500937,6.0,-0.7500000000000006,0.1278195488721804
680573,"Woods Richardson, Simeon",blended,11.000066865605406,10.537646771629342,10.97094340867508,11.251778560924503,9.80277167175324,-1.4490068891712635,1881.0,594.0,0.24,7.0,1.5999999999999996,0.1049382716049382
680694,"Bradish, Kyle",2026_only,,,,,7.796881090534363,,0.0,639.0,1.0,,,
680730,"Parker, Mitchell",2025_only,6.248688351863349,6.356161223982601,6.222371581697086,5.730920554357812,5.730920554357812,0.0,2707.0,0.0,0.0,,,
680732,"Burke, Sean",blended,8.426589333440527,,8.309798408282024,8.458554071781432,9.421073241050053,0.9625191692686208,2380.0,625.0,0.2079866888519135,5.0,9.98,0.2038216560509554
680736,"Wrobleski, Justin",2026_only,,,,,8.137579788007205,,0.0,518.0,1.0,,,
680885,"Schwellenbach, Spencer",2025_only,14.105101922789308,14.393650529286456,14.05423854318116,13.46632236743913,13.46632236743913,0.0,1577.0,0.0,0.0,,,
681190,"Vásquez, Randy",blended,6.984666563208368,6.710883070443567,6.744118493230256,7.25952927550538,7.562031640423523,0.3025023649181433,2153.0,541.0,0.2008166295471418,6.0,13.133333333333333,0.2481751824817518
