pitcher,year,n_starts,total_pitches,weighted_catcher_framing_runs_per_100,weighted_catcher_framing_runs
642232,2022,9.0,669.0,0.101444252575725,0.042125927389819864
642232,2023,9.0,711.0,-0.06514368177144694,-0.9374414663527841
642232,2025,9.0,656.0,0.9380457057634993,9.9353706744936
642239,2023,2.0,57.0,0.3810142340525216,2.0410187450182242
642239,2024,3.0,56.0,0.601807498771258,1.562983778068833
642239,2025,1.0,12.0,0.2105986058281036,2.5777269353359897
642397,2019,7.0,457.0,-0.4572681680660627,-2.6233417960240666
642520,2024,2.0,135.0,-0.005111203931092616,-0.3236165052714239
642528,2018,4.0,353.0,0.6986951020351764,2.8222876065843843
642528,2019,5.0,304.0,-0.007306897362269864,-0.3962177859708014
642545,2018,26.0,2171.0,0.00686536162031682,1.1722341933582217
642545,2019,14.0,1148.0,-0.07782164314620321,-0.7557782380016999
642545,2021,11.0,802.0,-0.23507658037574028,-1.498889167233517
642545,2022,2.0,138.0,-0.35711576747102275,-1.3245794575210323
642545,2023,6.0,470.0,0.021200432163428966,0.3054499163123953
642546,2019,2.0,114.0,-0.18406623091095897,-1.135241816790299
642546,2024,1.0,36.0,-0.1313502553171472,-1.3266375787031877
642547,2018,14.0,1271.0,0.2273593882192343,1.818340128737334
642547,2019,8.0,681.0,0.7415039756452637,5.257971079837185
642547,2021,26.0,2234.0,0.5051802849803038,3.677784726149693
642547,2022,16.0,1227.0,0.4793871449683487,3.6454562351132402
642547,2023,30.0,2839.0,0.6075204841929291,6.204709814650287
642547,2024,32.0,3070.0,0.3214603395949164,4.0484982767063755
642547,2025,33.0,3089.0,0.06121460856168451,1.3022329281879912
642558,2018,8.0,633.0,-0.8967561771335555,-5.2103199808027885
642558,2019,19.0,1661.0,-0.1760207855858225,-0.8460410226986527
642571,2018,1.0,97.0,0.4904497399065229,1.97160795442422
642578,2019,1.0,48.0,1.107818934439077,1.7392757270693506
642607,2019,13.0,1054.0,-0.80546372761824,-6.500092281879198
642701,2022,1.0,36.0,0.6888607868005237,1.2606152398449575
642770,2023,2.0,37.0,-0.3206180008640552,-2.5970058069988453
642834,2024,1.0,47.0,0.18279641358703116,1.7255981442615755
