pitcher,game_pk,game_date,year,catcher_mlbam,n_pitches
450203,529750,2018-04-24,2018,435263,75
450203,529834,2018-04-30,2018,435263,102
450203,529901,2018-05-05,2018,435263,82
450203,530000,2018-05-12,2018,435263,105
450203,530065,2018-05-18,2018,545358,97
450203,530148,2018-05-24,2018,435263,76
450203,530217,2018-05-29,2018,545358,100
450203,530285,2018-06-03,2018,545358,100
450203,530363,2018-06-09,2018,545358,87
450203,530440,2018-06-15,2018,435263,98
450203,530516,2018-06-20,2018,435263,96
450203,530597,2018-06-26,2018,435263,98
450203,530659,2018-07-01,2018,545358,103
450203,530734,2018-07-07,2018,545358,101
450203,530806,2018-07-12,2018,545358,104
450203,530935,2018-07-25,2018,545358,102
450203,531015,2018-07-31,2018,455117,90
450203,531097,2018-08-06,2018,455117,97
450203,531167,2018-08-11,2018,545358,87
450203,531239,2018-08-17,2018,455117,86
450203,531308,2018-08-22,2018,455117,91
450203,531388,2018-08-28,2018,455117,89
450203,531529,2018-09-08,2018,455117,94
450203,531619,2018-09-15,2018,435263,70
450203,531734,2018-09-23,2018,455117,24
450203,531828,2018-09-30,2018,545358,34
450306,529808,2018-04-28,2018,446653,84
450306,529871,2018-05-03,2018,621512,80
450306,529943,2018-05-08,2018,621512,75
450306,530113,2018-05-21,2018,519023,86
450306,530178,2018-05-26,2018,519023,67
450306,530236,2018-05-30,2018,608700,67
450306,530305,2018-06-05,2018,608700,79
450306,530431,2018-06-14,2018,519023,73
450306,530498,2018-06-19,2018,608700,50
450306,530963,2018-07-27,2018,608700,84
450306,531037,2018-08-02,2018,608700,93
450306,531108,2018-08-07,2018,608700,14
450306,531203,2018-08-14,2018,608700,82
450306,531275,2018-08-19,2018,608700,99
450306,531341,2018-08-24,2018,608700,91
450306,531401,2018-08-29,2018,608700,96
450306,531485,2018-09-04,2018,608700,82
450306,531561,2018-09-13,2018,621512,94
450306,531695,2018-09-20,2018,608700,82
450306,531785,2018-09-27,2018,608700,77
450665,529886,2018-05-04,2018,488671,101
450729,529424,2018-03-30,2018,455139,77
450729,529495,2018-04-04,2018,455139,85
450729,529552,2018-04-09,2018,455139,81
450729,529770,2018-04-25,2018,518542,105
450729,529854,2018-05-01,2018,455139,105
450729,529912,2018-05-06,2018,542208,103
450729,530000,2018-05-12,2018,455139,96
450729,530061,2018-05-17,2018,455139,97
450729,530141,2018-05-23,2018,542208,102
450729,530211,2018-05-28,2018,455139,83
450729,530297,2018-06-03,2018,455139,96
450729,530348,2018-06-08,2018,455139,86
451596,530468,2018-06-17,2018,455139,98
451596,530556,2018-06-23,2018,455139,102
451596,530625,2018-06-29,2018,455139,90
451596,530715,2018-07-05,2018,643396,92
451596,530784,2018-07-10,2018,643396,97
451596,530892,2018-07-22,2018,643396,72
451596,530968,2018-07-27,2018,455139,97
451596,531038,2018-08-02,2018,643396,104
451596,531131,2018-08-08,2018,643396,102
451596,531210,2018-08-14,2018,643396,76
451596,531271,2018-08-19,2018,643396,94
451596,531370,2018-08-26,2018,643396,79
451596,531441,2018-09-01,2018,643396,84
451596,531524,2018-09-07,2018,643396,101
451596,531594,2018-09-12,2018,455139,68
451596,531673,2018-09-18,2018,455139,89
451596,531769,2018-09-25,2018,455139,83
451596,531835,2018-09-30,2018,542208,76
452657,529407,2018-03-29,2018,575929,71
452657,529499,2018-04-05,2018,575929,89
452657,529584,2018-04-11,2018,575929,96
452657,529680,2018-04-19,2018,575929,96
452657,529763,2018-04-25,2018,575929,107
452657,529830,2018-04-30,2018,575929,106
452657,529913,2018-05-06,2018,575929,91
452657,529989,2018-05-12,2018,575929,92
452657,530064,2018-05-18,2018,575929,99
452657,530135,2018-05-23,2018,575929,104
452657,530214,2018-05-29,2018,575929,90
452657,530286,2018-06-03,2018,575929,107
452657,530368,2018-06-09,2018,575929,104
452657,530436,2018-06-15,2018,575929,102
452657,530509,2018-06-20,2018,575929,119
452657,530585,2018-06-26,2018,575929,82
452657,530663,2018-07-01,2018,575929,100
452657,530750,2018-07-08,2018,575929,94
452657,530842,2018-07-15,2018,575929,101
452657,530872,2018-07-20,2018,575929,86
452657,530931,2018-07-25,2018,575929,103
452657,531011,2018-07-31,2018,575929,101
452657,531090,2018-08-05,2018,575929,97
452657,531171,2018-08-11,2018,575929,88
452657,531226,2018-08-16,2018,575929,92
452657,531305,2018-08-22,2018,575929,100
452657,531375,2018-08-27,2018,575929,94
452657,531450,2018-09-02,2018,575929,107
452657,531562,2018-09-10,2018,575929,89
452657,531621,2018-09-15,2018,575929,108
452657,531715,2018-09-22,2018,575929,102
452657,531791,2018-09-27,2018,575929,108
453178,529432,2018-03-31,2018,460077,105
453178,529523,2018-04-07,2018,460077,101
453178,529592,2018-04-12,2018,460077,104
453178,529676,2018-04-18,2018,460077,106
453178,529752,2018-04-24,2018,521692,58
453178,529817,2018-04-29,2018,460077,97
453178,529885,2018-05-04,2018,521692,103
453178,529965,2018-05-10,2018,521692,78
453178,530036,2018-05-15,2018,521692,101
453178,530112,2018-05-21,2018,521692,108
453178,530175,2018-05-26,2018,521692,91
453178,530263,2018-06-01,2018,521692,71
453178,530324,2018-06-06,2018,521692,99
