batter,year,prior_career_fp_per_pa,prior_career_pa
453400,2015,,0
453400,2016,0.22265625,256
453539,2015,,0
453568,2015,,0
453568,2016,0.6087591240875913,685
453568,2017,0.6787330316742082,1326
453568,2018,0.7225743539736714,2051
453568,2019,0.7023289665211062,2748
453568,2020,0.7123004139562389,3382
453568,2021,0.7052341597796143,3630
453568,2022,0.6888203180631379,4213
453568,2023,0.6674321503131524,4790
453568,2024,0.6631437355880092,5204
453895,2015,,0
453923,2015,,0
453923,2016,0.5806451612903226,372
453923,2017,0.4992248062015504,645
453923,2018,0.4933481152993348,902
453943,2015,,0
453943,2016,0.5988200589970502,678
453943,2017,0.5846953937592868,1346
453943,2018,0.5803432137285491,1923
453943,2019,0.5592160133444537,2398
453943,2020,0.5570492933471217,2901
454560,2015,,0
454560,2016,0.518348623853211,218
454560,2017,0.45652173913043476,414
454560,2018,0.4540727902946274,577
455104,2015,,0
455104,2016,0.3533123028391167,317
455104,2017,0.3246951219512194,656
455104,2018,0.40020576131687235,972
455104,2019,0.40960240060014996,1333
455117,2015,,0
455117,2016,0.2596899224806202,258
455117,2017,0.328125,512
455117,2018,0.32588832487309644,985
455117,2019,0.3338129496402878,1390
455117,2020,0.3486394557823129,1764
455117,2021,0.3561430793157076,1929
455117,2022,0.33970276008492567,2355
455117,2023,0.3361375274323336,2734
455117,2024,0.3209169054441261,3141
455117,2025,0.309212526603831,3289
455139,2015,,0
455139,2016,0.5109489051094891,274
455139,2017,0.5112107623318386,446
455139,2018,0.5436507936507936,756
455139,2019,0.5080304311073541,1183
455139,2021,0.5046267735965454,1621
455139,2022,0.500865551067513,1733
455755,2015,,0
455755,2016,,172
455755,2017,0.3578947368421052,285
455759,2015,,0
455759,2016,0.5674157303370787,356
455759,2017,0.5728987993138936,583
455759,2018,0.5383720930232558,860
455976,2015,,0
455976,2016,0.5058139534883721,688
455976,2017,0.5218340611353712,1374
455976,2018,0.5183194919394235,2047
455976,2019,0.5442670537010159,2756
455976,2020,0.5547286821705426,3225
456030,2015,,0
456030,2016,0.5811764705882353,425
456030,2017,0.6272241992882562,1124
456078,2015,,0
456078,2016,0.5105820105820106,378
456078,2017,0.474251497005988,835
456078,2018,0.4870940882597835,1201
456078,2019,0.4717800289435601,1382
456121,2015,,0
456124,2018,,0
456422,2015,,0
456422,2016,0.3008298755186722,482
456488,2015,,0
