key_year,n_years_rolling,venue_id,venue_name,main_team_id,team_abbr,name_display_club,n_pa,index_woba,index_runs,index_hr
2019,1,3,Fenway Park,111,BOS,Red Sox,17958,103,106,87
2019,1,17,Wrigley Field,112,CHC,Cubs,17492,99,98,96
2019,1,2602,Great American Ball Park,113,CIN,Reds,16977,99,98,110
2019,1,5,Progressive Field,114,CLE,Guardians,17152,97,94,100
2019,1,19,Coors Field,115,COL,Rockies,18124,118,139,121
2019,1,4,Rate Field,145,CWS,White Sox,17105,99,98,110
2019,1,2394,Comerica Park,116,DET,Tigers,17678,101,102,94
2019,1,2392,Daikin Park,117,HOU,Astros,19767,102,104,124
2019,1,7,Kauffman Stadium,118,KC,Royals,17619,100,100,70
2019,1,1,Angel Stadium,108,LAA,Angels,17702,100,100,103
2019,1,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,17508,97,94,114
2019,1,4169,loanDepot park,146,MIA,Marlins,17473,96,92,79
2019,1,32,American Family Field,158,MIL,Brewers,17597,99,98,110
2019,1,3312,Target Field,142,MIN,Twins,18350,100,100,95
2019,1,3289,Citi Field,121,NYM,Mets,17582,97,94,105
2019,1,3313,Yankee Stadium,147,NYY,Yankees,18290,97,94,103
2019,1,2681,Citizens Bank Park,143,PHI,Phillies,17805,103,106,118
2019,1,31,PNC Park,134,PIT,Pirates,17904,102,104,83
2019,1,2680,Petco Park,135,SD,Padres,17105,95,90,93
2019,1,680,T-Mobile Park,136,SEA,Mariners,17750,96,92,100
2019,1,2395,Oracle Park,137,SF,Giants,17749,91,83,69
2019,1,2889,Busch Stadium,138,STL,Cardinals,17851,95,90,84
2019,1,12,Tropicana Field,139,TB,Rays,18211,93,86,85
2019,1,13,Globe Life Park in Arlington,140,TEX,Rangers,18062,107,114,102
2019,1,14,Rogers Centre,141,TOR,Blue Jays,18181,100,100,123
2019,1,3309,Nationals Park,120,WSH,Nationals,19308,105,110,111
2019,3,10,Oakland Coliseum,133,ATH,Athletics,56543,97,94,93
2019,3,4705,Truist Park,144,ATL,Braves,56667,101,102,91
2019,3,15,Chase Field,109,AZ,D-backs,56818,101,102,101
2019,3,2,Oriole Park at Camden Yards,110,BAL,Orioles,56804,104,108,122
2019,3,3,Fenway Park,111,BOS,Red Sox,57167,102,104,86
2019,3,17,Wrigley Field,112,CHC,Cubs,56948,101,102,96
2019,3,2602,Great American Ball Park,113,CIN,Reds,55025,103,106,121
2019,3,5,Progressive Field,114,CLE,Guardians,55927,98,96,99
2019,3,19,Coors Field,115,COL,Rockies,55654,114,130,118
2019,3,4,Rate Field,145,CWS,White Sox,55306,100,100,106
2019,3,2394,Comerica Park,116,DET,Tigers,55580,102,104,95
2019,3,2392,Daikin Park,117,HOU,Astros,60242,98,96,110
2019,3,7,Kauffman Stadium,118,KC,Royals,55877,100,100,80
2019,3,1,Angel Stadium,108,LAA,Angels,55526,97,94,105
