batter,year,milb_aaa_pa_prior,milb_aaa_iso_prior,milb_aaa_kpct_prior,milb_aaa_bbpct_prior
453256,2016,72,0.0597014925373134,0.3333333333333333,0.0416666666666666
453256,2017,153,0.1142857142857142,0.392156862745098,0.0522875816993464
453256,2018,293,0.1213235294117647,0.4573378839590443,0.0580204778156996
453269,2016,208,0.1122994652406417,0.1971153846153846,0.0913461538461538
453269,2017,158,0.1241379310344827,0.1518987341772152,0.0569620253164556
453362,2016,376,0.1347305389221557,0.202127659574468,0.0664893617021276
453400,2018,264,0.2048192771084337,0.2840909090909091,0.0416666666666666
453454,2016,275,0.0655021834061135,0.2,0.1309090909090909
453527,2016,424,0.1158690176322418,0.0919811320754716,0.0400943396226415
453527,2017,347,0.1009174311926605,0.1498559077809798,0.0461095100864553
453527,2018,382,0.1322314049586777,0.1047120418848167,0.031413612565445
453527,2019,366,0.059171597633136,0.1038251366120218,0.0382513661202185
453527,2020,424,0.1601049868766404,0.1320754716981132,0.0754716981132075
453527,2022,276,0.140625,0.1594202898550724,0.0615942028985507
453575,2016,397,0.163076923076923,0.1561712846347607,0.1536523929471032
453575,2017,362,0.1395348837209302,0.1160220994475138,0.1464088397790055
453575,2018,376,0.0852459016393442,0.1276595744680851,0.1702127659574468
453575,2020,234,0.0687830687830687,0.1153846153846153,0.1709401709401709
453857,2016,114,0.1649484536082474,0.2894736842105263,0.1228070175438596
453895,2017,295,0.0639097744360902,0.2203389830508474,0.0745762711864406
453895,2018,408,0.0898876404494382,0.1813725490196078,0.1102941176470588
453923,2019,194,0.1352941176470588,0.2061855670103092,0.1185567010309278
453923,2020,426,0.1602209944751381,0.2206572769953051,0.1220657276995305
454975,2016,458,0.0491400491400491,0.1397379912663755,0.0873362445414847
454975,2017,410,0.0831099195710455,0.1463414634146341,0.0804878048780487
454975,2018,369,0.0970588235294117,0.1165311653116531,0.065040650406504
454975,2019,271,0.0843373493975903,0.1771217712177121,0.081180811808118
454977,2016,174,0.0580645161290322,0.1954022988505747,0.0747126436781609
454977,2017,493,0.1965601965601965,0.2413793103448276,0.1501014198782961
454998,2016,194,0.108433734939759,0.190721649484536,0.0927835051546391
455126,2016,237,0.1376146788990825,0.1645569620253164,0.0759493670886076
455126,2017,218,0.0788177339901477,0.146788990825688,0.036697247706422
455141,2016,438,0.1797468354430379,0.1347031963470319,0.0844748858447488
455141,2017,458,0.1618357487922705,0.1048034934497816,0.0676855895196506
455141,2018,450,0.1748768472906404,0.1355555555555555,0.0844444444444444
455141,2020,317,0.1305841924398625,0.2018927444794952,0.0630914826498422
455369,2016,447,0.100250626566416,0.0984340044742729,0.0671140939597315
455369,2017,245,0.1342592592592592,0.1428571428571428,0.0857142857142857
455369,2020,420,0.1904761904761904,0.0952380952380952,0.0547619047619047
455371,2016,295,0.1368821292775665,0.1966101694915254,0.0745762711864406
455378,2018,168,0.1392405063291139,0.2857142857142857,0.0476190476190476
455378,2019,69,0.0757575757575757,0.3478260869565217,0.0144927536231884
455378,2020,370,0.2222222222222222,0.2378378378378378,0.0594594594594594
455755,2019,156,0.0583941605839416,0.1089743589743589,0.0897435897435897
455755,2020,73,0.0769230769230769,0.136986301369863,0.0684931506849315
