batter,pa,woba,est_woba,year,gap
446359,507,0.392,0.33,2017,0.062
446359,253,0.289,0.295,2018,-0.006000000000000005
446359,107,0.15,0.247,2019,-0.097
446381,306,0.303,0.285,2016,0.018000000000000016
446381,362,0.263,0.252,2017,0.01100000000000001
446386,385,0.342,0.317,2015,0.025000000000000022
446386,345,0.351,0.328,2016,0.022999999999999965
446386,192,0.293,0.301,2017,-0.008000000000000007
446386,221,0.298,0.295,2018,0.0030000000000000027
446481,240,0.281,0.266,2015,0.015000000000000013
446481,342,0.363,0.342,2016,0.020999999999999963
446481,153,0.257,0.26,2017,-0.0030000000000000027
446481,173,0.264,0.268,2018,-0.0040000000000000036
446481,139,0.319,0.303,2019,0.016000000000000014
446653,155,0.256,0.283,2015,-0.02699999999999997
446653,114,0.301,0.337,2016,-0.03600000000000003
446653,158,0.232,0.294,2017,-0.06199999999999997
448602,432,0.311,0.29,2015,0.02100000000000002
448602,441,0.349,0.304,2016,0.044999999999999984
448602,593,0.357,0.32,2017,0.03699999999999998
448602,235,0.342,0.317,2018,0.025000000000000022
448602,162,0.267,0.272,2019,-0.0050000000000000044
448605,141,0.349,0.372,2015,-0.02300000000000002
448801,670,0.39,0.403,2015,-0.013000000000000012
448801,665,0.34,0.353,2016,-0.012999999999999956
448801,524,0.312,0.329,2017,-0.017000000000000015
448801,522,0.239,0.272,2018,-0.03300000000000003
448801,352,0.263,0.292,2019,-0.02899999999999997
449107,317,0.266,0.281,2015,-0.015000000000000013
449107,181,0.236,0.267,2016,-0.031000000000000028
449107,97,0.256,0.257,2017,-0.0010000000000000009
449181,251,0.303,0.302,2015,0.0010000000000000009
449181,483,0.317,0.313,2016,0.0040000000000000036
449181,89,0.228,0.312,2017,-0.08399999999999999
449181,93,0.176,0.231,2018,-0.05500000000000002
449786,121,0.242,0.241,2015,0.0010000000000000009
450314,535,0.349,0.324,2015,0.024999999999999967
450314,631,0.36,0.357,2016,0.0030000000000000027
450314,496,0.302,0.324,2017,-0.02200000000000002
450314,520,0.355,0.333,2018,0.021999999999999964
450314,176,0.303,0.303,2019,0.0
450317,73,0.388,0.353,2015,0.03500000000000003
451089,225,0.299,0.309,2015,-0.010000000000000009
451089,88,0.304,0.273,2017,0.030999999999999972
451192,93,0.312,0.318,2017,-0.006000000000000005
451192,185,0.291,0.253,2018,0.03799999999999998
451594,690,0.333,0.307,2015,0.026000000000000023
451594,551,0.367,0.35,2016,0.017000000000000015
451594,491,0.358,0.358,2017,0.0
451594,334,0.26,0.275,2018,-0.015000000000000013
451594,574,0.326,0.34,2019,-0.014000000000000012
451594,101,0.31,0.292,2020,0.018000000000000016
452095,361,0.288,0.266,2015,0.021999999999999964
452095,325,0.338,0.342,2016,-0.0040000000000000036
452095,370,0.358,0.347,2017,0.01100000000000001
452095,296,0.315,0.335,2018,-0.020000000000000018
452095,310,0.31,0.289,2019,0.02100000000000002
452104,642,0.307,0.323,2015,-0.016000000000000014
452104,529,0.312,0.308,2016,0.0040000000000000036
452104,586,0.329,0.316,2017,0.013000000000000012
452220,428,0.284,0.267,2015,0.01699999999999996
452220,165,0.362,0.352,2016,0.010000000000000009
452220,106,0.285,0.268,2017,0.01699999999999996
452234,452,0.331,0.337,2015,-0.006000000000000005
452234,438,0.331,0.36,2016,-0.02899999999999997
452234,373,0.332,0.349,2017,-0.01699999999999996
452239,274,0.271,0.281,2015,-0.010000000000000009
452252,572,0.351,0.327,2015,0.023999999999999966
452252,430,0.304,0.326,2016,-0.02200000000000002
452252,301,0.363,0.37,2017,-0.007000000000000006
452254,223,0.347,0.358,2015,-0.01100000000000001
452254,442,0.349,0.341,2016,0.007999999999999952
452254,539,0.303,0.319,2017,-0.016000000000000014
452254,248,0.254,0.263,2018,-0.009000000000000008
452254,316,0.377,0.364,2019,0.013000000000000012
