pitcher,year,split_day,ros_park_factor_weighted,n_ros_games
669461,2025,37,0.9974418604651162,129
669467,2025,37,0.9974418604651162,129
669713,2025,37,0.9987692307692307,130
669854,2025,37,0.9987692307692307,130
670102,2025,37,1.0010852713178293,129
671096,2025,37,1.0228125000000001,128
671106,2025,37,0.9824806201550387,129
671737,2025,37,0.981782945736434,129
672456,2025,37,0.994140625,128
673540,2025,37,0.9891472868217054,129
674370,2025,37,0.983203125,128
676106,2025,37,0.9524615384615385,130
676440,2025,37,0.9824806201550387,129
676664,2025,37,0.983203125,128
676962,2025,37,0.988671875,128
676974,2025,37,1.0061538461538462,130
676979,2025,37,1.0303149606299211,127
677958,2025,37,1.001171875,128
678368,2025,37,1.0061538461538462,130
678394,2025,37,1.0303149606299211,127
680573,2025,37,1.0096875,128
680730,2025,37,1.000859375,128
680732,2025,37,0.9966666666666666,129
680885,2025,37,1.000076923076923,130
681190,2025,37,0.9836923076923076,130
681293,2025,37,0.9987692307692307,130
681343,2025,37,0.9966666666666666,129
681857,2025,37,0.994140625,128
682243,2025,37,0.9524615384615385,130
682847,2025,37,0.9824806201550387,129
682990,2025,37,0.981796875,128
683004,2025,37,1.001171875,128
684007,2025,37,0.988671875,128
686563,2025,37,0.9966666666666666,129
686613,2025,37,0.9987692307692307,130
686752,2025,37,0.981782945736434,129
686799,2025,37,0.9976923076923077,130
687064,2025,37,0.9900769230769232,130
687134,2025,37,1.0583720930232559,129
687473,2025,37,0.9987692307692307,130
687922,2025,37,1.0010852713178293,129
689017,2025,37,1.0026356589147287,129
690916,2025,37,1.0303149606299211,127
690928,2025,37,1.0303149606299211,127
693433,2025,37,0.9524615384615385,130
693821,2025,37,1.000076923076923,130
694297,2025,37,1.007829457364341,129
694477,2025,37,0.981796875,128
694738,2025,37,0.98734375,128
694973,2025,37,1.004453125,128
695418,2025,37,1.000859375,128
695549,2025,37,0.994140625,128
700249,2025,37,0.9900769230769232,130
700363,2025,37,1.000076923076923,130
701542,2025,37,1.004341085271318,129
701581,2025,37,1.0096875,128
801403,2025,37,1.0583720930232559,129
808963,2025,37,1.0026356589147287,129
808967,2025,37,1.0026356589147287,129
434378,2025,44,0.9873770491803279,122
450203,2025,44,0.9891935483870967,124
471911,2025,44,1.0050406504065041,123
500779,2025,44,0.9825409836065574,122
518876,2025,44,1.0077049180327868,122
519242,2025,44,0.9999186991869918,123
527048,2025,44,0.9954098360655738,122
542881,2025,44,0.9975806451612903,124
543135,2025,44,0.9997540983606558,122
543243,2025,44,0.9971311475409836,122
543294,2025,44,0.9975806451612903,124
547179,2025,44,1.0150413223140498,121
554430,2025,44,1.0073983739837398,123
571510,2025,44,0.9895901639344262,122
571578,2025,44,0.9997540983606558,122
571760,2025,44,1.0044262295081967,122
571945,2025,44,0.9971311475409836,122
573186,2025,44,1.0050406504065041,123
579328,2025,44,0.9975806451612903,124
592332,2025,44,1.0026016260162602,123
592662,2025,44,0.9873770491803279,122
592791,2025,44,0.9895901639344262,122
592836,2025,44,1.0073983739837398,123
592866,2025,44,1.0000819672131147,122
593958,2025,44,1.0077049180327868,122
594798,2025,44,0.9997540983606558,122
594902,2025,44,0.9818699186991869,123
601713,2025,44,0.9808870967741935,124
605135,2025,44,1.0026016260162602,123
605280,2025,44,0.9887704918032787,122
605400,2025,44,1.0073983739837398,123
605483,2025,44,1.0022950819672132,122
605488,2025,44,0.9835245901639343,122
606996,2025,44,0.9808870967741935,124
607067,2025,44,0.9895901639344262,122
607074,2025,44,1.0050406504065041,123
607192,2025,44,1.0022950819672132,122
607200,2025,44,0.9971311475409836,122
607259,2025,44,1.023719008264463,121
607536,2025,44,1.0565853658536586,123
607625,2025,44,1.0150413223140498,121
608331,2025,44,1.0050406504065041,123
608337,2025,44,1.0288429752066117,121
608372,2025,44,0.9891935483870967,124
608379,2025,44,1.0150413223140498,121
608566,2025,44,1.0565853658536586,123
615698,2025,44,1.0062903225806452,124
621107,2025,44,0.9891935483870967,124
621111,2025,44,1.0288429752066117,121
621244,2025,44,1.0026016260162602,123
622491,2025,44,0.952258064516129,124
622608,2025,44,1.0565853658536586,123
622663,2025,44,0.9835245901639343,122
623211,2025,44,0.9887704918032787,122
624133,2025,44,1.0073983739837398,123
641154,2025,44,1.0087704918032787,122
641302,2025,44,0.9954098360655738,122
641482,2025,44,0.9808870967741935,124
641793,2025,44,0.9825203252032519,123
641816,2025,44,0.9997540983606558,122
641927,2025,44,1.0087704918032787,122
642232,2025,44,1.0050406504065041,123
642547,2025,44,0.9825409836065574,122
645261,2025,44,1.0062903225806452,124
647336,2025,44,1.0000819672131147,122
650633,2025,44,0.9808870967741935,124
650911,2025,44,1.0073983739837398,123
656288,2025,44,0.9887704918032787,122
656302,2025,44,0.9808870967741935,124
656427,2025,44,0.9912295081967213,122
656457,2025,44,0.9954098360655738,122
656550,2025,44,0.9999186991869918,123
656557,2025,44,1.0288429752066117,121
656605,2025,44,1.0044262295081967,122
656731,2025,44,0.9887704918032787,122
656849,2025,44,0.9887704918032787,122
656876,2025,44,0.9825203252032519,123
657277,2025,44,0.9873770491803279,122
