batter,year,game_date,team_id,pa,ab,k,bb,h,hr,tb,r,rbi,sb,hbp,fp
134181,2018,2018-09-15,140,5,4,0,1,2,0,4,1,0,0,0,6
134181,2018,2018-09-17,140,4,3,1,1,0,0,0,0,0,0,0,0
134181,2018,2018-09-18,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2018,2018-09-19,140,4,4,0,0,2,1,6,1,1,0,0,8
134181,2018,2018-09-21,140,3,3,1,0,2,1,5,2,5,0,0,11
134181,2018,2018-09-22,140,3,3,0,0,1,0,1,0,0,0,0,1
134181,2018,2018-09-23,140,2,2,2,0,0,0,0,0,0,0,0,-2
134181,2018,2018-09-25,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-09-26,140,4,4,0,0,1,1,4,1,1,0,0,6
134181,2018,2018-09-28,140,5,4,1,0,1,0,2,1,2,0,0,4
134181,2018,2018-09-29,140,4,4,1,0,1,0,2,0,1,0,0,2
134181,2018,2018-09-30,140,2,2,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-04-03,117,3,3,2,0,0,0,0,0,0,0,0,-2
136860,2017,2017-04-04,117,3,3,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-04-05,117,6,6,1,0,2,0,2,0,0,0,0,1
136860,2017,2017-04-06,117,4,4,1,0,1,0,1,0,0,0,0,0
136860,2017,2017-04-07,117,4,4,0,0,2,0,3,0,1,0,0,4
136860,2017,2017-04-08,117,4,4,2,0,2,0,3,1,0,0,0,2
136860,2017,2017-04-09,117,1,1,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-04-10,117,4,4,1,0,1,0,1,0,0,0,0,0
136860,2017,2017-04-11,117,5,5,1,0,2,0,2,0,1,0,0,2
136860,2017,2017-04-12,117,5,5,1,0,2,0,3,0,3,0,0,5
136860,2017,2017-04-14,117,5,4,1,1,1,0,1,0,0,0,0,1
136860,2017,2017-04-15,117,4,3,2,1,0,0,0,0,0,0,0,-1
136860,2017,2017-04-17,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-04-18,117,4,4,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-04-20,117,4,4,1,0,1,1,4,1,1,0,0,5
136860,2017,2017-04-21,117,4,4,1,0,2,1,5,2,1,0,0,7
136860,2017,2017-04-22,117,4,4,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-04-23,117,5,4,1,1,1,0,1,2,0,0,0,3
136860,2017,2017-04-25,117,4,4,2,0,0,0,0,0,0,0,0,-2
136860,2017,2017-04-26,117,5,4,2,0,0,0,0,0,0,0,1,-1
136860,2017,2017-04-27,117,1,1,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-04-28,117,5,5,0,0,1,0,1,2,1,0,0,4
136860,2017,2017-04-29,117,4,3,1,0,1,0,1,0,0,0,1,1
136860,2017,2017-05-01,117,4,4,3,0,0,0,0,0,0,0,0,-3
136860,2017,2017-05-02,117,5,5,2,0,3,0,4,2,0,0,0,4
136860,2017,2017-05-03,117,4,4,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-05-04,117,3,2,1,0,1,0,1,0,1,0,0,1
136860,2017,2017-05-05,117,5,5,2,0,2,0,4,2,0,0,0,4
136860,2017,2017-05-06,117,4,4,1,0,1,0,2,0,1,0,0,2
136860,2017,2017-05-07,117,4,4,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-05-09,117,4,4,2,0,2,1,6,2,1,0,0,7
136860,2017,2017-05-10,117,4,2,1,2,1,0,1,1,0,0,0,3
136860,2017,2017-05-11,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-05-12,117,4,4,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-05-14,117,5,5,1,0,2,0,3,1,1,0,0,4
136860,2017,2017-05-16,117,4,3,0,1,0,0,0,1,0,0,0,2
136860,2017,2017-05-19,117,4,4,1,0,1,0,1,0,1,0,0,1
136860,2017,2017-05-20,117,3,3,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-05-21,117,4,2,0,2,1,1,4,2,1,0,0,9
136860,2017,2017-05-22,117,4,4,1,0,1,0,2,0,0,0,0,1
136860,2017,2017-05-23,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-05-24,117,4,4,2,0,0,0,0,0,0,0,0,-2
136860,2017,2017-05-26,117,4,4,0,0,1,1,4,1,1,0,0,6
136860,2017,2017-05-28,117,4,3,0,1,1,0,2,1,0,0,0,4
