pitcher,year,split_day,cutoff_date,fps_pct_last100pa,putaway_pct_last50pa,fps_pct_to_sd,putaway_pct_to_sd,fps_pct_delta_l100,putaway_pct_delta_l50
434378,2019,90,2019-06-18,0.62,0.52,0.6430317848410758,0.5135135135135135,-0.02303178484107582,0.006486486486486531
434378,2019,120,2019-07-18,0.61,0.44,0.6358267716535433,0.501577287066246,-0.0258267716535433,-0.061577287066246045
434378,2022,30,2022-05-07,0.69,0.34,0.680672268907563,0.4305555555555556,0.009327731092436897,-0.09055555555555556
434378,2022,60,2022-06-06,0.6,0.42,0.6460905349794238,0.4326241134751773,-0.046090534979423836,-0.012624113475177334
434378,2022,90,2022-07-06,0.61,0.3,0.6363636363636364,0.4225352112676056,-0.026363636363636367,-0.12253521126760564
434378,2022,120,2022-08-05,0.58,0.5,0.6187624750499002,0.4487632508833922,-0.03876247504990027,0.051236749116607805
434378,2023,60,2023-05-29,0.59,0.3,0.5901639344262295,0.3384615384615385,-0.00016393442622952836,-0.03846153846153849
434378,2023,90,2023-06-28,0.45,0.44,0.5230125523012552,0.3828125,-0.0730125523012552,0.0571875
434378,2023,120,2023-07-28,0.56,0.4,0.5382513661202186,0.3819095477386934,0.02174863387978143,0.018090452261306622
434378,2024,30,2024-04-27,,,,,,
434378,2024,60,2024-05-27,0.67,0.44,0.6153846153846154,0.3888888888888889,0.05461538461538462,0.05111111111111111
434378,2024,90,2024-06-26,0.57,0.4,0.5850622406639004,0.3863636363636363,-0.015062240663900495,0.013636363636363724
434378,2024,120,2024-07-26,0.57,0.4,0.5850622406639004,0.3863636363636363,-0.015062240663900495,0.013636363636363724
434378,2025,30,2025-04-26,0.68,0.42,0.6541353383458647,0.3943661971830985,0.025864661654135368,0.025633802816901474
434378,2025,60,2025-05-26,0.55,0.36,0.6061946902654868,0.3796296296296296,-0.056194690265486735,-0.019629629629629608
434378,2025,90,2025-06-25,0.59,0.38,0.6133828996282528,0.3851851851851852,-0.023382899628252796,-0.005185185185185182
434378,2025,120,2025-07-25,0.63,0.36,0.6153846153846154,0.3723404255319149,0.014615384615384586,-0.01234042553191489
