bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
ravinjo01,2017,Josh Ravin,LAD,16.2,14,10,5,50.0
reedad01,2017,Addison Reed,TOT,76.0,77,33,13,61.0
reedco01,2017,Cody Reed*,CIN,17.2,12,2,0,100.0
reiniza01,2017,Zac Reininger,DET,9.2,10,11,6,45.0
rhameja01,2017,Jacob Rhame,NYM,9.0,9,0,0,
riosya01,2017,Yacksel Ríos,PHI,16.1,13,4,2,50.0
riverfe01,2017,Felipe Vazquez*,PIT,75.1,73,23,4,83.0
roarkta01,2017,Tanner Roark,WSN,181.1,32,0,0,
roberda08,2017,David Robertson,TOT,68.1,61,18,6,67.0
robleha01,2017,Hansel Robles,NYM,56.2,46,36,18,50.0
rodnefe01,2017,Fernando Rodney,ARI,55.1,61,7,1,86.0
rodried05,2017,Eduardo Rodríguez*,BOS,137.1,25,0,0,
rodrifr03,2017,Francisco Rodríguez,DET,25.1,28,10,6,40.0
rodrijo06,2017,Joely Rodríguez*,PHI,27.0,26,18,12,33.0
rodriri04,2017,Ricardo Rodríguez,TEX,13.0,16,10,6,40.0
rodriri05,2017,Richard Rodríguez,BAL,5.2,5,3,1,67.0
roech01,2017,Chaz Roe,TOT,10.2,12,12,3,75.0
rogerta01,2017,Taylor Rogers*,MIN,55.2,69,35,5,86.0
romeren01,2017,Enny Romero*,WSN,55.2,53,15,3,80.0
rominan01,2017,Andrew Romine,DET,1.0,2,2,2,0.0
romose01,2017,Sergio Romo,TOT,55.2,55,26,10,62.0
rondobr01,2017,Bruce Rondón,DET,15.2,21,2,0,100.0
rondohe01,2017,Héctor Rondón,CHC,57.1,61,23,10,57.0
rosajo01,2017,Jorge De La Rosa*,ARI,51.1,65,33,1,97.0
rosarra01,2017,Randy Rosario*,MIN,2.1,2,1,0,100.0
rosentr01,2017,Trevor Rosenthal,STL,47.2,50,6,1,83.0
rosscza01,2017,Zac Rosscup*,TOT,7.2,10,8,3,62.0
rossro01,2017,Robbie Ross*,BOS,9.0,8,5,0,100.0
rossty01,2017,Tyson Ross,TEX,49.0,12,0,0,
rowlech01,2017,Chris Rowley,TOR,18.2,6,0,0,
rucindr01,2017,Drew Rucinski,MIN,4.1,2,1,1,0.0
ruizca01,2017,Carlos Ruiz,SEA,1.0,1,0,0,
ruizjo01,2017,José Ruiz,SDP,1.0,1,0,0,
runzlda01,2017,Dan Runzler*,PIT,4.0,8,5,1,80.0
rusinch01,2017,Chris Rusin*,COL,85.0,60,33,6,82.0
ryanky01,2017,Kyle Ryan*,DET,5.2,8,7,3,57.0
ryuhy01,2017,Hyun Jin Ryu*,LAD,126.2,25,0,0,
rzepcma01,2017,Marc Rzepczynski*,SEA,31.1,64,52,8,85.0
salasfe01,2017,Fernando Salas,TOT,58.2,61,38,9,76.0
salazda01,2017,Danny Salazar,CLE,103.0,23,3,3,0.0
sanchan01,2017,Aníbal Sánchez,DET,105.1,28,3,2,33.0
sanchan03,2017,Ángel Sánchez,PIT,12.1,8,4,0,100.0
santaed01,2017,Edgar Santana,PIT,18.0,19,6,0,100.0
santihe01,2017,Héctor Santiago*,MIN,70.1,15,0,0,
santolu01,2017,Luis Santos,TOR,16.2,10,5,4,20.0
sardilu01,2017,Luis Sardiñas,SDP,1.0,1,0,0,
saupowa01,2017,Warwick Saupold,DET,62.2,45,32,12,62.0
scahiro01,2017,Rob Scahill,MIL,22.1,18,19,6,68.0
schepta01,2017,Tanner Scheppers,TEX,4.0,5,2,0,100.0
schugaj01,2017,A.J. Schugel,PIT,32.0,32,29,14,52.0
scottro02,2017,Robby Scott*,BOS,35.2,57,50,11,78.0
scottta01,2017,Tanner Scott*,BAL,1.2,2,1,0,100.0
scribev01,2017,Evan Scribner,SEA,7.1,8,2,0,100.0
scribtr01,2017,Troy Scribner,LAA,23.2,10,2,0,100.0
senzaan01,2017,Antonio Senzatela,COL,134.2,36,6,1,83.0
sewalpa01,2017,Paul Sewald,NYM,65.1,57,30,11,63.0
shackke01,2017,Kevin Shackelford,CIN,30.2,26,6,2,67.0
shawbr01,2017,Bryan Shaw,CLE,76.2,79,33,9,73.0
sherfji01,2017,James Sherfy,ARI,10.2,11,2,0,100.0
sherrry01,2017,Ryan Sherriff*,STL,14.1,13,9,2,78.0
shiplbr01,2017,Braden Shipley,ARI,25.0,10,2,2,0.0
shrevch01,2017,Chasen Shreve*,NYY,45.1,44,28,6,79.0
siegrke01,2017,Kevin Siegrist*,TOT,39.1,46,14,6,57.0
simmosh01,2017,Shae Simmons,SEA,7.2,9,4,1,75.0
simslu01,2017,Lucas Sims,ATL,57.2,14,3,0,100.0
sippto01,2017,Tony Sipp*,HOU,37.1,46,15,7,53.0
skogler01,2017,Eric Skoglund*,KCR,18.0,7,2,1,50.0
slanida01,2017,Dan Slania,SFG,1.0,1,0,0,
slegeaa01,2017,Aaron Slegers,MIN,15.1,4,0,0,
smithca02,2017,Carson Smith,BOS,6.2,8,2,1,50.0
smithca03,2017,Caleb Smith*,NYY,18.2,9,2,0,100.0
smithch08,2017,Chris Smith,OAK,55.2,14,0,0,
smithch10,2017,Chris Smith,TOR,5.0,4,2,0,100.0
smithjo05,2017,Joe Smith,TOT,54.0,59,25,5,80.0
smithjo07,2017,Josh A. Smith,OAK,35.0,26,8,3,62.0
smokejo01,2017,Josh Smoker*,NYM,56.1,54,38,11,71.0
socolmi01,2017,Miguel Socolovich,STL,18.2,15,6,3,50.0
solissa01,2017,Sammy Solís*,WSN,26.0,30,14,2,86.0
soriajo01,2017,Joakim Soria,KCR,56.0,59,7,3,57.0
sparkgl01,2017,Glenn Sparkman,TOR,1.0,2,2,2,0.0
stammcr01,2017,Craig Stammen,SDP,80.1,60,55,14,75.0
stanery01,2017,Ryne Stanek,TBR,20.0,21,11,5,55.0
steckdr01,2017,Drew Steckenrider,MIA,34.2,37,21,11,48.0
stephja01,2017,Jackson Stephens,CIN,25.0,7,2,0,100.0
stephro01,2017,Robert Stephenson,CIN,84.2,25,7,3,57.0
stewabr01,2017,Brock Stewart,LAD,34.1,17,1,0,100.0
storedr01,2017,Drew Storen,CIN,54.2,58,10,5,50.0
strahma01,2017,Matt Strahm*,KCR,34.2,24,16,7,56.0
stratch01,2017,Chris Stratton,SFG,58.2,13,0,0,
streehu01,2017,Huston Street,LAA,4.0,4,0,0,
strichu01,2017,Hunter Strickland,SFG,61.1,68,27,12,56.0
stripro01,2017,Ross Stripling,LAD,74.1,49,16,5,69.0
stroppe01,2017,Pedro Strop,CHC,60.1,69,40,13,67.0
stumpda01,2017,Daniel Stumpf*,DET,37.2,55,39,12,69.0
suareal01,2017,Albert Suárez,SFG,31.2,18,7,1,86.0
sucreje01,2017,Jesús Sucre,TBR,1.0,1,0,0,
suterbr01,2017,Brent Suter*,MIL,81.2,22,2,2,0.0
swarzan01,2017,Anthony Swarzak,TOT,77.1,70,44,13,70.0
taylobe10,2017,Ben Taylor,BOS,17.1,14,6,3,50.0
tazawju01,2017,Junichi Tazawa,MIA,55.1,55,16,0,100.0
teperry01,2017,Ryan Tepera,TOR,77.2,73,34,8,76.0
thompja03,2017,Jake Thompson,PHI,46.1,11,2,0,100.0
tillmch01,2017,Chris Tillman,BAL,93.0,24,1,0,100.0
tollias01,2017,Ashur Tolliver*,HOU,5.0,3,4,2,50.0
tonkimi01,2017,Michael Tonkin,MIN,21.0,16,10,1,90.0
torreca01,2017,Carlos Torres,MIL,72.2,67,33,7,79.0
torrejo02,2017,José Torres*,SDP,68.1,62,25,7,72.0
treinbl01,2017,Blake Treinen,TOT,75.2,72,36,16,56.0
tsengje01,2017,Jen-Ho Tseng,CHC,6.0,2,0,0,
tuivasa01,2017,Sam Tuivailala,STL,42.1,37,0,0,
turleni01,2017,Nik Turley*,MIN,17.2,10,3,1,67.0
turneja01,2017,Jacob Turner,WSN,39.0,18,7,3,57.0
ueharko01,2017,Koji Uehara,CHC,43.0,49,10,5,50.0
urenajo01,2017,José Ureña,MIA,169.2,34,1,1,0.0
valdece01,2017,César Valdez,TOT,30.2,11,3,1,67.0
valdejo03,2017,José Valdez,TOT,18.0,14,8,4,50.0
velazhe01,2017,Héctor Velázquez,BOS,24.2,8,1,0,100.0
verhadr01,2017,Drew VerHagen,DET,34.1,24,12,4,67.0
verrelo01,2017,Logan Verrett,BAL,10.2,4,3,0,100.0
vieirth01,2017,Thyago Vieira,SEA,1.0,1,0,0,
vinceni01,2017,Nick Vincent,SEA,64.2,69,32,7,78.0
vizcaar01,2017,Arodys Vizcaíno,ATL,57.1,62,12,4,67.0
