team_abbr,year,n_lhb_pa,n_rhb_pa,n_pa,pct_lhb,pct_rhb
PHI,2026,675,612,1287,0.5244755244755245,0.4755244755244755
PIT,2022,3524,2399,5923,0.5949687658281276,0.40503123417187237
PIT,2023,2654,3450,6104,0.43479685452162514,0.5652031454783748
PIT,2024,2157,3939,6096,0.35383858267716534,0.6461614173228346
PIT,2025,2103,3918,6021,0.34927752864972594,0.6507224713502741
PIT,2026,702,686,1388,0.5057636887608069,0.4942363112391931
SD,2022,2847,3341,6188,0.46008403361344535,0.5399159663865546
SD,2023,2404,3785,6189,0.38843108741315235,0.6115689125868476
SD,2024,2743,3282,6025,0.4552697095435685,0.5447302904564315
SD,2025,2757,3347,6104,0.4516710353866317,0.5483289646133683
SD,2026,362,866,1228,0.2947882736156352,0.7052117263843648
SEA,2022,3016,3109,6125,0.4924081632653061,0.5075918367346939
SEA,2023,2494,3717,6211,0.40154564482369987,0.5984543551763001
SEA,2024,2487,3589,6076,0.4093153390388413,0.5906846609611587
SEA,2025,3044,3167,6211,0.4900982128481726,0.5099017871518274
SEA,2026,815,514,1329,0.6132430398796087,0.3867569601203913
SF,2022,2840,3285,6125,0.4636734693877551,0.5363265306122449
SF,2023,2968,3133,6101,0.4864776266185871,0.5135223733814129
SF,2024,2374,3694,6068,0.3912326961107449,0.6087673038892552
SF,2025,2369,3709,6078,0.38976637051661733,0.6102336294833827
SF,2026,530,667,1197,0.4427736006683375,0.5572263993316625
STL,2022,2314,3859,6173,0.37485825368540415,0.6251417463145958
STL,2023,2293,3919,6212,0.3691242755956214,0.6308757244043787
STL,2024,2843,3285,6128,0.46393603133159267,0.5360639686684073
STL,2025,2648,3426,6074,0.43595653605531776,0.5640434639446823
STL,2026,634,684,1318,0.48103186646433993,0.5189681335356601
TB,2022,2625,3393,6018,0.4361914257228315,0.5638085742771685
TB,2023,2307,3870,6177,0.37348227294803304,0.626517727051967
TB,2024,2019,4005,6024,0.3351593625498008,0.6648406374501992
TB,2025,3099,2964,6063,0.5111331024245424,0.4888668975754577
