batter,year,split_day,cutoff_date,sb_to,sb_last21
607776,2018,30,2018-04-28,0,0
607968,2018,30,2018-04-28,0,0
608070,2018,30,2018-04-28,2,1
608324,2018,30,2018-04-28,2,2
608331,2018,30,2018-04-28,0,0
608336,2018,30,2018-04-28,1,1
608337,2018,30,2018-04-28,0,0
608348,2018,30,2018-04-28,0,0
608365,2018,30,2018-04-28,1,0
608369,2018,30,2018-04-28,0,0
608371,2018,30,2018-04-28,0,0
608379,2018,30,2018-04-28,0,0
608384,2018,30,2018-04-28,1,1
608385,2018,30,2018-04-28,0,0
608475,2018,30,2018-04-28,0,0
608566,2018,30,2018-04-28,0,0
608577,2018,30,2018-04-28,0,0
608596,2018,30,2018-04-28,0,0
608597,2018,30,2018-04-28,0,0
608652,2018,30,2018-04-28,0,0
608654,2018,30,2018-04-28,0,0
608671,2018,30,2018-04-28,0,0
608700,2018,30,2018-04-28,0,0
608701,2018,30,2018-04-28,0,0
608703,2018,30,2018-04-28,0,0
608717,2018,30,2018-04-28,0,0
608718,2018,30,2018-04-28,0,0
608723,2018,30,2018-04-28,0,0
609275,2018,30,2018-04-28,0,0
609280,2018,30,2018-04-28,0,0
612672,2018,30,2018-04-28,0,0
614173,2018,30,2018-04-28,2,2
614177,2018,30,2018-04-28,0,0
620439,2018,30,2018-04-28,0,0
620446,2018,30,2018-04-28,0,0
621002,2018,30,2018-04-28,1,1
621020,2018,30,2018-04-28,2,1
621028,2018,30,2018-04-28,0,0
621035,2018,30,2018-04-28,1,1
621043,2018,30,2018-04-28,2,1
621044,2018,30,2018-04-28,0,0
621107,2018,30,2018-04-28,0,0
621111,2018,30,2018-04-28,0,0
621141,2018,30,2018-04-28,0,0
621219,2018,30,2018-04-28,0,0
621244,2018,30,2018-04-28,0,0
621261,2018,30,2018-04-28,0,0
621311,2018,30,2018-04-28,0,0
621381,2018,30,2018-04-28,0,0
621389,2018,30,2018-04-28,0,0
621433,2018,30,2018-04-28,0,0
621439,2018,30,2018-04-28,4,2
621446,2018,30,2018-04-28,1,1
621453,2018,30,2018-04-28,0,0
621466,2018,30,2018-04-28,0,0
621493,2018,30,2018-04-28,0,0
621512,2018,30,2018-04-28,0,0
621514,2018,30,2018-04-28,0,0
621529,2018,30,2018-04-28,0,0
621550,2018,30,2018-04-28,0,0
621559,2018,30,2018-04-28,0,0
621563,2018,30,2018-04-28,2,2
621566,2018,30,2018-04-28,2,1
621573,2018,30,2018-04-28,0,0
622046,2018,30,2018-04-28,0,0
622072,2018,30,2018-04-28,0,0
622097,2018,30,2018-04-28,0,0
622110,2018,30,2018-04-28,2,1
622168,2018,30,2018-04-28,0,0
622194,2018,30,2018-04-28,0,0
622226,2018,30,2018-04-28,0,0
622441,2018,30,2018-04-28,0,0
622446,2018,30,2018-04-28,0,0
622491,2018,30,2018-04-28,0,0
622497,2018,30,2018-04-28,0,0
622534,2018,30,2018-04-28,2,2
622554,2018,30,2018-04-28,0,0
622569,2018,30,2018-04-28,0,0
622608,2018,30,2018-04-28,0,0
622663,2018,30,2018-04-28,0,0
622666,2018,30,2018-04-28,0,0
622682,2018,30,2018-04-28,1,1
622694,2018,30,2018-04-28,0,0
622713,2018,30,2018-04-28,0,0
623149,2018,30,2018-04-28,0,0
623182,2018,30,2018-04-28,0,0
623205,2018,30,2018-04-28,0,0
623214,2018,30,2018-04-28,0,0
623352,2018,30,2018-04-28,0,0
623402,2018,30,2018-04-28,0,0
623451,2018,30,2018-04-28,0,0
623454,2018,30,2018-04-28,0,0
623520,2018,30,2018-04-28,0,0
623993,2018,30,2018-04-28,1,0
624133,2018,30,2018-04-28,0,0
624407,2018,30,2018-04-28,0,0
624414,2018,30,2018-04-28,0,0
624419,2018,30,2018-04-28,0,0
624424,2018,30,2018-04-28,1,1
624428,2018,30,2018-04-28,0,0
624431,2018,30,2018-04-28,0,0
624507,2018,30,2018-04-28,0,0
624512,2018,30,2018-04-28,0,0
624577,2018,30,2018-04-28,4,3
624585,2018,30,2018-04-28,0,0
624636,2018,30,2018-04-28,0,0
624641,2018,30,2018-04-28,0,0
627894,2018,30,2018-04-28,0,0
628317,2018,30,2018-04-28,0,0
628318,2018,30,2018-04-28,0,0
628333,2018,30,2018-04-28,0,0
628336,2018,30,2018-04-28,0,0
628338,2018,30,2018-04-28,0,0
628356,2018,30,2018-04-28,0,0
628452,2018,30,2018-04-28,0,0
640447,2018,30,2018-04-28,1,1
640449,2018,30,2018-04-28,0,0
640455,2018,30,2018-04-28,0,0
640457,2018,30,2018-04-28,0,0
640461,2018,30,2018-04-28,0,0
641154,2018,30,2018-04-28,0,0
641313,2018,30,2018-04-28,8,4
641319,2018,30,2018-04-28,0,0
641343,2018,30,2018-04-28,0,0
641355,2018,30,2018-04-28,0,0
641432,2018,30,2018-04-28,0,0
641438,2018,30,2018-04-28,0,0
641477,2018,30,2018-04-28,0,0
641487,2018,30,2018-04-28,0,0
641505,2018,30,2018-04-28,0,0
