pitcher,year,own_stuff_plus,n_pitches
607481,2025,96.51148866878883,932
518585,2025,96.5056956319701,868
696136,2025,96.48745933616496,217
656605,2025,96.48457608038264,2870
542881,2025,96.45076674560238,2339
621363,2025,96.44868789430755,244
519242,2025,96.31416534113747,2031
687830,2025,96.29684262505745,463
605452,2025,96.2845483846809,903
605288,2025,96.25930021674958,1958
642121,2025,96.20726479984062,387
666200,2025,96.16102385643377,3205
693821,2025,96.11479784089067,2548
620454,2025,96.09296543844667,543
663893,2025,96.09277929957318,1370
673540,2025,96.04042908776619,1902
663767,2025,95.99533607856344,692
641927,2025,95.98289148234493,2397
687911,2025,95.97367962097374,1060
663671,2025,95.97154090386583,532
813349,2025,95.9645346792894,401
668834,2025,95.93213129558556,223
806188,2025,95.89087737946818,908
453286,2025,95.77601245033296,1672
606996,2025,95.7586554253102,760
700241,2025,95.713333032218,1523
668964,2025,95.70319613001534,853
702674,2025,95.5961346702224,562
678215,2025,95.58699338348612,207
657424,2025,95.56111603552516,531
642239,2025,95.55898451811409,368
692230,2025,95.49167700942515,208
670102,2025,95.42341132694469,1224
656986,2025,95.39674165400447,728
579328,2025,95.35371072578842,3182
656186,2025,95.35001939882405,512
608665,2025,95.32435033797272,324
663485,2025,95.31057136047005,1175
674285,2025,95.30811827901867,545
688297,2025,95.29201160890962,394
668909,2025,95.27753087500766,3085
669372,2025,95.24025561376473,1575
573124,2025,95.21788701278214,922
678394,2025,95.10623974720119,2669
689017,2025,95.09694474967755,743
669302,2025,95.06487739115052,2487
687606,2025,95.04533701693933,448
676428,2025,95.02491454692598,1091
676440,2025,94.98072677510169,3138
693433,2025,94.86063403633138,2858
608372,2025,94.84331295231779,2565
622491,2025,94.79260966173217,3210
663738,2025,94.78433977337532,1151
570632,2025,94.74937524434833,957
670955,2025,94.73025964340094,1216
701487,2025,94.72247498702617,544
678821,2025,94.70819893170854,466
605463,2025,94.70044342911868,550
605154,2025,94.6518221281358,483
656457,2025,94.61722582074995,839
628452,2025,94.60202161680877,964
690986,2025,94.58867590216941,588
641816,2025,94.58489814195177,1437
677944,2025,94.52175432046947,2110
669467,2025,94.45954510648518,2720
608337,2025,94.4439466461664,2367
656427,2025,94.44283317096053,3097
663978,2025,94.42344734604396,2710
656550,2025,94.37962827861325,1964
677958,2025,94.34907783396271,1271
669854,2025,94.31046520474796,793
663623,2025,94.22875477939704,2945
608717,2025,94.18417038577991,459
615698,2025,94.17657413513398,2004
686642,2025,94.11606767007108,373
681857,2025,93.96050659905137,1243
621053,2025,93.94626614277644,990
664062,2025,93.9051664480615,609
692285,2025,93.89106155602502,289
592791,2025,93.86359841211674,2114
657571,2025,93.80566284756033,1129
543859,2025,93.77501135258954,397
518489,2025,93.76276599257464,374
666157,2025,93.74376715331127,2562
657097,2025,93.74069779526126,994
665152,2025,93.73416886749727,2693
676092,2025,93.71713644098172,511
663455,2025,93.7089922308345,529
665871,2025,93.5377227323246,567
621199,2025,93.53133692235681,447
641656,2025,93.43310326309589,650
