batter,sb_per_pa_raw,sb,pa_ev
642020,0.0,0,76
670097,0.02273,2,88
673995,0.0,0,49
680769,0.0,0,8
688363,0.0,0,32
669699,0.07463,5,67
547989,0.0,0,120
656577,0.00645,1,155
670092,0.03448,1,29
668952,0.07692,5,65
455117,0.0,0,147
686555,0.05263,1,19
608596,0.0,0,38
677347,0.01695,1,59
670223,0.0,0,28
542963,0.0,0,9
681962,0.0,0,9
621458,0.0,0,10
669352,0.27778,5,18
656484,0.0,0,31
592348,0.0303,1,33
682634,0.0,0,10
805373,0.0,0,32
682119,0.0,0,11
694175,0.09524,2,21
691723,0.0,0,46
649557,0.0,0,34
623168,0.0,0,16
669326,0.0,0,12
676679,0.0,0,14
542364,0.11765,2,17
664059,0.0625,1,16
670224,0.0,0,15
679822,0.0,0,44
607054,0.0,0,26
657193,0.0,0,11
605119,0.0,0,5
675915,0.0,0,1
665856,0.0,0,7
622491,0.0,0,1
660758,0.0,0,5
605244,0.0,0,7
681508,0.0,0,23
694355,0.0,0,5
676551,0.2,1,5
669087,0.0,0,4
669450,0.125,1,8
669288,0.0,0,1
643393,0.0,0,10
666197,0.0,0,25
667428,0.0,0,8
665155,0.0,0,5
543518,0.0,0,1
676896,0.0,0,1
687066,0.0,0,1
