player_name,category
Kyle Stowers,FA-H
Ryan Jeffers,FA-H
Landen Roupp,FA-SP
Caleb Durbin,FA-H
Stephen Kolek,FA-SP
Edward Cabrera,FA-SP
Mitch Keller,FA-SP
Trent Grisham,FA-H
Ezequiel Duran,FA-H
Randy Vasquez,FA-SP
Gage Jump,FA-SP
Willi Castro,FA-H
Merrill Kelly,FA-SP
Michael McGreevy,FA-SP
Bubba Chandler,FA-SP
Paul Goldschmidt,FA-H
Troy Melton,FA-RP
Andre Pallante,FA-SP
Seranthony Dominguez,FA-RP
Alec Bohm,FA-H
Walbert Urena,FA-SP
Sam Antonacci,FA-H
Tatsuya Imai,FA-SP
Kody Clemens,FA-H
Aaron Ashby,FA-RP
Joey Cantillo,FA-RP
Bailey Ober,FA-SP
Dalton Rushing,FA-H
Brandon Young,FA-SP
Martin Perez,FA-SP
Clay Holmes,FA-SP
Tyler Rogers,FA-RP
Erik Sabrowski,FA-RP
Jason Adam,FA-RP
Spencer Horwitz,FA-H
Jack Leiter,FA-SP
Gavin Sheets,FA-H
J.T. Realmuto,FA-H
Colt Emerson,FA-H
Keider Montero,FA-SP
Lucas Erceg,FA-RP
Jeffrey Springs,FA-SP
Logan Henderson,FA-SP
Royce Lewis,FA-H
Chase Meidroth,FA-H
Josh Bell,FA-H
Carson Kelly,FA-H
Heliot Ramos,FA-H
Sean Burke,FA-SP
Troy Johnston,FA-H
Grant Holmes,FA-SP
Alex Vesia,FA-RP
Kerry Carpenter,FA-H
Andres Gimenez,FA-H
Lawrence Butler,FA-H
Daulton Varsho,FA-H
Matt McLain,FA-H
Luke Raley,FA-H
Jake Burger,FA-H
Nick Gonzales,FA-H
Adrian Morejon,FA-RP
Slade Cecconi,FA-SP
JoJo Romero,FA-RP
Carlos Correa,FA-H
Francisco Alvarez,FA-H
Ian Seymour,FA-RP
Walker Buehler,FA-SP
Cole Young,FA-H
Dennis Santana,FA-RP
Kevin Kelly,FA-RP
Carlos Cortes,FA-H
Nasim Nunez,FA-H
Jeremiah Jackson,FA-H
Yoendrys Gomez,FA-RP
Curtis Mead,FA-H
Jorge Soler,FA-H
Cam Smith,FA-H
Jeremiah Estrada,FA-RP
Ryne Nelson,FA-SP
Javier Assad,FA-SP
J.P. Crawford,FA-H
Masyn Winn,FA-H
Zebby Matthews,FA-SP
A.J. Ewing,FA-H
Jake McCarthy,FA-H
Andrew Painter,FA-SP
Blaze Alexander,FA-H
Fernando Cruz,FA-RP
Hogan Harris,FA-RP
Brady Singer,FA-SP
Jeff McNeil,FA-H
Colt Keith,FA-H
Adolis Garcia,FA-H
Andrew Vaughn,FA-H
Anthony Kay,FA-SP
Tony Santillan,FA-RP
Ramon Laureano,FA-H
Antonio Senzatela,FA-SP
Dylan Crews,FA-H
Christian Scott,FA-SP
Anthony Volpe,FA-H
Chad Patrick,FA-SP
Alex Lange,FA-RP
Luke Weaver,FA-RP
Kai-Wei Teng,FA-SP
Will Vest,FA-RP
Hunter Gaddis,FA-RP
Marcell Ozuna,FA-H
Trevor Larnach,FA-H
Henry Bolte,FA-H
Chase Dollander,FA-SP
Bryan King,FA-RP
Nolan Schanuel,FA-H
Colin Rea,FA-SP
Colton Cowser,FA-H
Brad Keller,FA-RP
Luis Severino,FA-SP
Elvis Alvarado,FA-RP
Noah Schultz,FA-SP
Jameson Taillon,FA-SP
Ezequiel Tovar,FA-H
David Peterson,FA-SP
Trevor McDonald,FA-SP
Eric Lauer,FA-SP
Steven Matz,FA-RP
Brad Lord,FA-RP
Matthew Liberatore,FA-SP
Javier Sanoja,FA-H
Andrew Benintendi,FA-H
Reynaldo Lopez,FA-SP
Justin Crawford,FA-H
Garrett Mitchell,FA-H
Chris Bassitt,FA-SP
Shane Drohan,FA-SP
