pitcher,n_qual_years,starts_pre,starts_playoff,fp_pre,fp_playoff,lift_std,career_rate_pre,career_rate_playoff,career_playoff_lift_pct,player_name
621107,4,82,29,934.3999999999999,302.99999999999994,39.071518047946974,11.39512195121951,10.448275862068964,-8.309222957014635,"Eflin, Zach"
621111,5,90,36,1142.0,474.9,55.19665342206988,12.688888888888888,13.191666666666666,3.962346760070056,"Buehler, Walker"
621121,3,53,19,669.5999999999999,251.5,23.377156697630046,12.633962264150941,13.236842105263158,4.771898383952726,"McCullers Jr., Lance"
621244,9,195,66,2178.7,687.4999999999999,36.03363845791095,11.172820512820511,10.416666666666664,-6.767797310322676,"Berríos, José"
622072,5,90,26,1035.0,267.4,28.729044437157597,11.5,10.284615384615384,-10.568561872909708,
622491,8,175,56,2228.7,727.5,42.362764429858196,12.73542857142857,12.991071428571429,2.007336115224128,"Castillo, Luis"
622608,4,64,26,275.8999999999999,178.19999999999996,13094.32363790028,4.310937499999999,6.853846153846153,58.98737000585498,"Senzatela, Antonio"
622663,7,128,43,1434.5,603.9,212.97397800966183,11.20703125,14.044186046511628,25.31584621495214,"Severino, Luis"
623167,4,57,30,333.0999999999999,230.5,3713.998577837848,5.843859649122805,7.683333333333334,31.47703392374666,"Flexen, Chris"
624133,5,80,36,945.9999999999999,394.69999999999993,82.25774274707496,11.825,10.963888888888887,-7.28212356119334,"Suarez, Ranger"
625643,5,73,32,703.6999999999999,346.2,50.83776484089052,9.63972602739726,10.81875,12.230886741509176,"López, Reynaldo"
628317,4,80,23,956.0999999999999,218.99999999999997,19.391948024164915,11.951249999999998,9.521739130434781,-20.32850847873835,"Maeda, Kenta"
628711,4,75,24,924.9999999999999,356.29999999999995,41.47894589870072,12.333333333333332,14.845833333333331,20.371621621621617,"Urías, Julio"
640455,7,121,48,1222.9999999999998,543.8,99.64167030204914,10.107438016528924,11.329166666666666,12.08742164077406,"Manaea, Sean"
641154,5,97,34,1255.4999999999998,356.0,35.46257892665166,12.943298969072163,10.470588235294118,-19.104176915688605,"López, Pablo"
641302,4,29,21,196.29999999999995,184.5,42.80064287038175,6.768965517241377,8.785714285714286,29.79404701259011,
641482,4,58,23,731.0999999999999,310.4,27.800707519727048,12.605172413793102,13.495652173913042,7.06439968362146,"Cortes, Nestor"
641540,3,62,18,606.3999999999999,98.69999999999999,31.010069071715236,9.78064516129032,5.4833333333333325,-43.93689533861037,"Dunning, Dane"
641712,3,52,20,316.3999999999999,169.69999999999996,101.3478224284802,6.084615384615383,8.484999999999998,39.45006321112515,"Hudson, Dakota"
641771,3,50,22,351.3999999999999,159.39999999999998,21.98631817995597,7.027999999999999,7.245454545454544,3.094117038340148,
641778,4,74,27,649.5999999999999,323.29999999999995,100.34393492600061,8.778378378378378,11.974074074074073,36.404168947272396,"Lauer, Eric"
641793,3,55,20,577.8999999999999,234.39999999999998,37.13345325857206,10.507272727272724,11.719999999999999,11.541789236892217,"Littell, Zack"
641927,5,82,33,900.6999999999999,402.29999999999995,41.53537782873086,10.984146341463413,12.19090909090909,10.986404513661094,"Ober, Bailey"
642545,3,29,22,289.0,126.79999999999998,21.311014485498482,9.96551724137931,5.763636363636363,-42.164202579427496,
642547,6,117,37,1561.8999999999999,528.5,25.560711758126345,13.349572649572648,14.283783783783784,6.998060228100576,"Peralta, Freddy"
643327,3,44,19,550.6999999999999,154.29999999999998,19.169635350551804,12.515909090909089,8.121052631578946,-35.11416092437376,
645261,5,119,37,1361.3999999999996,586.3999999999999,119.68938505599593,11.440336134453778,15.848648648648645,38.53306810556701,"Alcantara, Sandy"
650644,6,86,37,884.4999999999998,375.4,63.073600864475836,10.28488372093023,10.145945945945945,-1.3508930071959884,"Civale, Aaron"
650911,3,58,23,756.8,353.0,23.589228989084503,13.048275862068964,15.347826086956522,17.623402886294706,"Sánchez, Cristopher"
656302,6,129,47,1662.8999999999999,554.9,22.924656414773203,12.890697674418604,11.806382978723404,-8.411605974182503,"Cease, Dylan"
656427,6,113,42,1364.6999999999998,566.5,784.8710121018396,12.076991150442476,13.488095238095237,11.684235502657145,"Flaherty, Jack"
656557,3,44,20,515.5999999999999,178.09999999999997,10.601143008471524,11.718181818181817,8.904999999999998,-24.00698215671064,"Houck, Tanner"
656605,6,114,44,1005.9999999999999,394.9999999999999,3759.3840548748253,8.82456140350877,8.977272727272725,1.730525935297296,"Keller, Mitch"
656731,3,38,19,272.49999999999994,206.89999999999998,130.768126159635,7.171052631578946,10.889473684210525,51.85321100917433,"Megill, Tylor"
656756,5,110,34,1151.1,353.29999999999995,18.76813962411984,10.464545454545453,10.391176470588235,-0.7011196451475987,"Montgomery, Jordan"
656849,4,65,26,628.8999999999999,238.0,76.42796513759173,9.675384615384614,9.153846153846153,-5.390364127842254,"Peterson, David"
656876,3,49,20,567.5999999999999,238.39999999999998,35.41692283848965,11.583673469387753,11.919999999999998,2.9034531360112803,"Rasmussen, Drew"
657277,5,117,41,1530.2999999999997,537.0999999999999,11.973687549624996,13.079487179487177,13.099999999999998,0.15683199372671972,"Webb, Logan"
657746,3,64,22,863.4999999999999,241.89999999999998,48.56023399500994,13.492187499999998,10.995454545454544,-18.505027109543608,"Ryan, Joe"
660271,3,47,18,689.4999999999999,286.79999999999995,54.45017270984435,14.670212765957444,15.93333333333333,8.610103940053174,"Ohtani, Shohei"
