name,nk,position,proTeam,pct_owned,eligibleSlots,trend,flags,n_pos_flags,n_neg_flags,xfp_per_pa,ros_fp,signal,repl_delta,primary_pos
Caleb Durbin,calebdurbin,3B,Bos,29.99,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '-hard_hit_pct', '+bat_speed_mean']",4,2,0.4873828194648035,175.5,hold,-0.0206,3B
Moises Ballesteros,moisesballesteros,DH,ChC,9.81,"['DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",6,0,0.6428535410213583,174.9,add,0.1134,C
Adolis Garcia,adolisgarcia,RF,Phi,12.32,"['RF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+hard_hit_pct']",3,0,0.4401214490671658,173.0,hold,-0.0471,OF
Matt Chapman,mattchapman,3B,SF,64.4,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",1,5,0.4146549711719166,172.5,drop,-0.0934,3B
Chase Meidroth,chasemeidroth,SS,ChW,4.64,"['2B', 'SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct']",1,4,0.4200318501307141,172.2,drop,-0.0926,2B
Matt McLain,mattmclain,2B,Cin,9.48,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",0,5,0.405534898694046,171.1,drop,-0.1071,2B
Evan Carter,evancarter,CF,Tex,5.37,"['CF', 'OF', 'UTIL', 'BE', 'IL']",DECLINING,"['-whiff_per_swing', '-ev_mean', '-hard_hit_pct', '-bat_speed_mean']",0,4,0.4761130576908209,170.0,hold,-0.0112,OF
Cole Young,coleyoung,2B,Sea,12.79,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '+bat_speed_mean']",6,1,0.4074668796851011,169.5,drop,-0.1052,2B
Heliot Ramos,heliotramos,LF,SF,16.61,"['LF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+ev_mean', '+ev_p90', '+hard_hit_pct']",4,0,0.4549272515046242,169.2,hold,-0.0323,OF
Jake Bauers,jakebauers,1B,Mil,20.11,"['1B', '1B/3B', 'IF', 'LF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",6,0,0.4631438848660801,168.1,drop,-0.1026,1B
J.P. Crawford,jpcrawford,SS,Sea,7.74,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-bat_speed_mean']",2,1,0.4957755210026655,168.1,hold,-0.0293,SS
Carter Jensen,carterjensen,C,KC,18.98,"['C', 'DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct', '+bat_speed_mean']",5,0,0.4941629584117883,167.5,hold,-0.0353,C
Teoscar Hernandez,teoscarhernandez,RF,LAD,62.84,"['RF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",5,0,0.4628358011444876,166.6,hold,-0.0244,OF
