owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
FA,Bailey Falter,KC,0.0,6.45,,rp3_dd·vol,0.052,,,21.0,6.0
FA,Ryne Nelson,Ari,4.3,11.28,105.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-09-01,20.0,12.0
FA,Clarke Schmidt,NYY,0.5,9.64,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,19.0,11.0
FA,Kutter Crawford,Bos,0.1,9.62,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,19.0,11.0
FA,Tanner Houck,Bos,0.1,9.74,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,19.0,11.0
FA,Reese Olson,Det,0.3,9.73,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,19.0,11.0
FA,Jose Quintana,Col,0.2,6.51,80.0,Stuff+·vol,0.084,SIXTY_DAY_DL,2026-08-14,18.0,10.0
FA,Quinn Priester,Mil,1.2,9.46,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,18.0,11.0
FA,DJ Herz,Wsh,0.1,9.6,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,18.0,11.0
FA,Braxton Garrett,Mia,0.5,7.63,,rp3_dd·vol,0.036,,,17.0,5.0
FA,David Festa,Min,0.1,8.43,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,16.0,10.0
FA,George Klassen,LAA,0.1,7.41,,rp3_dd·vol,0.033,,,16.0,5.0
FA,Bowden Francis,Tor,0.0,8.2,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,16.0,10.0
FA,Mick Abel,Min,2.4,9.85,,talent_prior·vol,0.09,FIFTEEN_DAY_DL,2026-09-01,15.0,9.0
FA,Alec Marsh,KC,0.0,7.79,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,15.0,9.0
FA,Tylor Megill,NYM,0.1,7.74,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,15.0,9.0
FA,Jordan Montgomery,Tex,0.1,7.79,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,15.0,9.0
FA,Luis Morales,Oak,0.1,5.82,,rp3_dd·vol,0.034,,,13.0,4.0
FA,Trevor Williams,Wsh,0.0,6.61,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,13.0,7.0
FA,Logan Evans,Sea,0.0,7.1,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,13.0,8.0
FA,Bradley Blalock,Mia,0.0,0.51,,talent_prior·flat↓,,,,4.0,1.0
FA,Cole Ragans,KC,53.3,13.35,109.0,Stuff+·vol,0.097,SIXTY_DAY_DL,2027-08-02,0.0,0.0
FA,Chase Dollander,Col,3.1,9.09,,talent_prior·vol,0.08,SIXTY_DAY_DL,2027-04-01,0.0,0.0
FA,Cade Horton,ChC,7.4,9.71,,talent_prior·vol,0.083,SIXTY_DAY_DL,2027-08-01,0.0,0.0
FA,Ryan Pepiot,TB,32.5,9.86,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-02-01,0.0,0.0
FA,Jose Berrios,Tor,1.1,9.58,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-08-01,0.0,0.0
FA,Zach Eflin,Bal,0.4,9.56,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-07-01,0.0,0.0
FA,Jack Kochanowicz,LAA,0.8,10.0,95.0,Stuff+·vol,0.087,SIXTY_DAY_DL,2027-09-01,0.0,0.0
FA,Mitchell Parker,Wsh,0.1,6.5,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-09-01,0.0,0.0
FA,Ken Waldichuk,Wsh,0.0,5.92,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-06-01,0.0,0.0
