mlb_id,player_name_fg,season,ip,g,gs,so,h,er,bb,hbp,k_pct,bb_pct,swstr_pct,siera,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command
621051,Steven Wilson,,43.0,47.0,0.0,39.0,46.0,18.0,16.0,3.0,0.2,0.08205128,0.10608021,4.413339898658624,98.73349994119722,104.96105374573678,104.96663177701986,58.29308089262613,57.109787438551095
641927,Bailey Ober,,98.0,18.0,18.0,80.0,105.0,63.0,19.0,3.0,0.1937046,0.04600484,0.11153601,4.547599972880615,95.89690120730666,99.76767551793039,95.90366441976553,39.041112521283566,58.133091964636534
665871,Javier Assad,,37.0,8.0,7.0,23.0,33.0,15.0,12.0,4.0,0.1503268,0.07843137,0.0670194,4.830743539595545,93.33101543498057,96.49367043607567,92.18554142315362,40.65246476190477,53.47002959435626
678906,Kai-Wei Teng,,29.2,8.0,7.0,39.0,29.0,21.0,17.0,7.0,0.28057554,0.12230216,0.11692845,4.002902842080285,95.40572459547039,89.6563070925375,84.76791568273858,52.74535178010472,42.5241637521815
642152,Lou Trivino,,35.1,36.0,2.0,26.0,35.0,13.0,13.0,5.0,0.16993464,0.08496732,0.10509554,4.743470235723134,95.79820547088262,97.74147378298451,94.57918647634212,44.30443455414013,45.73195087579618
657044,Ryan Thompson,,24.2,31.0,0.0,19.0,25.0,8.0,7.0,1.0,0.18811881,0.06930693,0.10187668,3.76790325873649,117.67708132260952,101.56924977658622,115.26818319928506,54.79242160112361,40.69738766853932
801403,Chase Dollander,,64.0,14.0,14.0,50.0,69.0,45.0,33.0,5.0,0.17301038,0.11418685,0.09807209,5.170900410503164,97.16154861130609,98.22368000888356,95.45634880241289,49.77325618608549,47.38228089689857
607455,Anthony Banda,,44.1,51.0,1.0,46.0,27.0,13.0,25.0,1.0,0.25,0.13586957,0.12398922,4.242326103823901,105.18862612309074,95.09541632973946,99.22550651392633,58.50749398097827,46.02705374999999
681870,Erik Sabrowski,,29.1,33.0,0.0,42.0,14.0,6.0,21.0,3.0,0.34710744,0.17355372,0.15936255,3.777100745021432,111.25239596289408,85.45335694996274,93.58451851740904,60.14358125498008,44.29099501992031
669330,Tyler Wells,,21.2,4.0,4.0,18.0,17.0,7.0,2.0,0.0,0.2195122,0.02439024,0.11403509,3.9288286204235545,99.07066786283892,105.62369085592769,100.3148956671983,34.399045263157895,63.11076909356726
689520,Cody Laweryson,,7.2,5.0,0.0,7.0,4.0,1.0,0.0,0.0,0.26923077,0.0,0.10752688,2.418066794265255,98.19913978494624,126.68881720430105,116.3236559139785,45.738329139784945,80.0
671212,Joe Boyle,,47.0,12.0,8.0,51.0,43.0,27.0,26.0,2.0,0.24519231,0.125,0.10813953,4.369444393299953,106.04148837209304,89.18620930232557,96.74139534883722,63.86321813953489,45.7572106627907
682254,Mason Montgomery,,30.2,39.0,0.0,43.0,37.0,22.0,22.0,1.0,0.29452055,0.15068493,0.15224359,3.9284327659839158,121.03360700197234,83.34245315581855,102.14620069033529,77.27044599358975,39.88263341346154
518489,Ryan Brasier,,25.0,27.0,1.0,19.0,25.0,12.0,4.0,0.0,0.19191919,0.04040404,0.09358289,3.641853004963844,95.50475935828877,102.65508021390374,98.0544385026738,42.72730759358288,57.17740013368982
669456,Shane Bieber,,40.1,7.0,7.0,37.0,34.0,16.0,7.0,1.0,0.2327044,0.04402516,0.12248062,3.5194020855399875,91.67017054263566,106.41475968992249,101.36384496124032,55.094729534883726,53.55024612403101
