mlb_id,player_name_fg,team,season,ip,g,gs,tbf,so,h,er,r,bb,hbp,hr,era,fip,xfip,siera,k_pct,bb_pct,swstr_pct,csw_pct,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
671922,Cade Smith,CLE,,47.1,48.0,0.0,187.0,63.0,33.0,16.0,21.0,9.0,2.0,4.0,3.0422539246553435,2.268939020214641,2.6360856005843147,2.26113650438373,0.3368984,0.04812834,0.16351351,,111.48893752394929,107.46308061519827,117.20486810973874,60.73201421621622,58.209075932432434,-1.0242094864864864
670955,Edwin Uceta,TBR,,50.1,41.0,0.0,205.0,79.0,33.0,17.0,18.0,15.0,6.0,4.0,3.0397355396948678,2.2808315586847008,2.5954646476611787,2.073130672152937,0.38536585,0.07317073,0.19465649,,101.97863630744506,97.19864872103926,103.27427820873383,56.19044842036554,54.41860107049608,0.023283146214099222
669302,Logan Gilbert,SEA,,100.2,19.0,19.0,418.0,129.0,86.0,42.0,45.0,25.0,6.0,17.0,3.7549670178515617,3.6914277282588706,3.2879525470014555,3.0604289690918622,0.30861244,0.05980861,0.14725407,,103.22240631309793,101.60804348400676,106.92963895331452,53.69204812311406,55.8054150090525,-0.22329905250452628
695243,Mason Miller,- - -,,39.1,38.0,0.0,141.0,64.0,12.0,6.0,6.0,16.0,0.0,2.0,1.3728815053761836,1.7622548128306037,2.1595504874199394,1.9581234368114862,0.45390071,0.11347518,0.21131448,,127.69615934227267,93.44617100583993,117.24265268669862,74.82100612312811,40.7447321797005,-0.4179008319467554
571578,Patrick Corbin,TEX,,94.0,20.0,19.0,414.0,88.0,107.0,52.0,55.0,33.0,2.0,11.0,4.978723656812813,3.901093803870297,4.052768387192466,4.275892750313107,0.21256039,0.07971014,0.12232416,,93.37874691600949,102.26632799458233,96.6869269026682,46.81140889296636,52.37023955963303,0.13932310703363918
628452,Raisel Iglesias,ATL,,43.1,45.0,0.0,158.0,48.0,20.0,6.0,6.0,10.0,1.0,1.0,1.2461539161452215,1.9812900995538045,3.673691770651269,3.0094670250424755,0.30379747,0.06329114,0.15358362,,98.16699914675766,105.34241894197952,102.84633361774745,47.38664720136518,63.891579522184294,-0.35025831058020485
666157,Nick Lodolo,CIN,,81.0,16.0,15.0,331.0,92.0,70.0,31.0,31.0,17.0,5.0,13.0,3.4444446066606593,3.7647659774888433,3.2581531527403533,3.220424667076375,0.27794562,0.05135952,0.14683153,,108.14649966201526,104.63380244518254,108.19277102539088,45.2683424343122,56.179454343122096,-0.21345723338485317
676282,Joey Cantillo,CLE,,67.0,13.0,13.0,278.0,72.0,53.0,22.0,22.0,28.0,0.0,5.0,2.955224006790503,3.2097631870651333,3.781353272536276,4.005034610988449,0.25899281,0.10071942,0.12678571,,99.70418339768338,100.59129536679536,100.84922104247104,46.27582504464286,51.34044839285714,0.16125791964285713
543294,Kyle Hendricks,LAA,,99.2,19.0,19.0,417.0,73.0,101.0,48.0,53.0,23.0,1.0,14.0,4.334448271134502,4.218748385990413,4.388156801100683,4.504769435177224,0.17505995,0.05515588,0.0897184,,98.77684445689924,94.82395553311302,91.79153311363395,33.78148796332679,63.58963808775376,-0.04852261951538965
670280,David Bednar,- - -,,42.0,40.0,0.0,164.0,56.0,25.0,7.0,8.0,14.0,0.0,2.0,1.500000139432307,2.0875171732064466,2.6431281313633126,2.572319553993726,0.34146341,0.08536585,0.14842579,,107.37544227886056,105.30356821589204,107.34143928035982,46.50731662668666,55.32864026986507,-0.18189601199400302
670970,Adrian Morejon,SDP,,47.2,47.0,0.0,181.0,46.0,28.0,9.0,11.0,12.0,0.0,1.0,1.699301153318048,2.2330381750873296,3.124701672046915,3.059226449690944,0.25414365,0.06629834,0.11287758,,128.74488152017562,100.19694904989024,124.62543720190779,68.1974521621622,68.72674890302066,-1.392286279809221
650556,Bryan Abreu,HOU,,42.0,41.0,0.0,176.0,68.0,33.0,13.0,13.0,15.0,4.0,3.0,2.7857145505900536,2.182755275270017,2.759215137381328,2.210418626826079,0.38636364,0.08522727,0.19113573,,114.0259833795014,94.85504155124653,109.70698060941828,65.10455743767312,49.484067631578945,-0.15397011080332407
682052,Jacob Lopez,ATH,,72.2,14.0,14.0,301.0,87.0,56.0,26.0,29.0,27.0,5.0,9.0,3.2201835566744577,3.67183357765253,3.843935908610659,3.636637950040809,0.28903654,0.089701,0.12183544,,98.69724637090138,101.90742423523483,101.05053928067404,45.8399583227848,48.16851098101266,0.23335005537974685
680736,Justin Wrobleski,LAD,,51.2,21.0,0.0,216.0,63.0,50.0,20.0,22.0,11.0,3.0,3.0,3.4838712155881137,2.264168514309759,2.4940536414037617,2.489328235744914,0.29166667,0.05092593,0.10864486,,101.63323644205073,113.84162106469317,113.23613299796203,50.223433528037376,61.619930432242995,-0.6237755373831776
543135,Nathan Eovaldi,TEX,,60.2,10.0,10.0,230.0,56.0,44.0,13.0,14.0,11.0,3.0,6.0,1.928571448782737,3.267004451456889,3.3027810073700024,3.431279952294185,0.24347826,0.04782609,0.12177986,,95.49236902566216,105.54219028805218,103.05604989320254,45.97644470725995,58.33289389929743,-0.020380644028103058
607067,Colin Rea,CHC,,101.2,19.0,18.0,420.0,84.0,94.0,47.0,49.0,27.0,5.0,12.0,4.160655919838524,3.961365862571884,4.216368225988003,4.245887575250114,0.2,0.06428571,0.09713574,,94.05165754425036,103.09550647875919,96.44445179256876,39.886335585305105,57.73204958281445,0.053289009962640105
