pitcher,player_name,pitch_type,pitch_group,pitches,plv,plv_raw,avg_velo,swing_rate,whiff_rate,e_xwoba_in_play,plv_pctile
605347,"López, Jorge",KC,Breaking,65,5.115481977684808,-0.051424239901812156,81.28615384615384,0.47128925281812095,0.28059775136775994,0.3361763066268701,55.8
693645,"Schlittler, Cam",FC,Fastball,294,5.115299181342915,-0.05143087094635313,92.33367346938773,0.4973420788316392,0.37862110525988757,0.3139619349656724,55.8
663765,"Woodford, Jake",FC,Fastball,62,5.115082103572452,-0.05143874556982715,88.96451612903225,0.43422333284983733,0.3522486292502504,0.311594507776965,55.7
453286,"Scherzer, Max",CU,Breaking,205,5.1148674251383985,-0.05144653315596518,76.77170731707315,0.4268674192437606,0.3053882941808603,0.3340242272440884,55.7
573204,"Thielbar, Caleb",SL,Breaking,131,5.114465293110537,-0.05146112073118978,88.69083969465649,0.5708952180004254,0.4065734164705131,0.30926943910272076,55.7
683232,"Mears, Nick",SL,Breaking,375,5.113704769420888,-0.051488709174198934,86.59999999999994,0.5645959299633626,0.44011057514467217,0.3212439348220799,55.6
621053,"Ferguson, Tyler",FC,Fastball,108,5.113623262800111,-0.05149166587468415,89.85555555555554,0.4617465831841746,0.28988660316989945,0.3393863667731382,55.6
700363,"Smith-Shawver, AJ",SL,Breaking,30,5.113153213978094,-0.05150871717146069,86.93333333333334,0.3949248612100947,0.4133078220723044,0.32887527590618354,55.6
669704,"Strowd, Kade",ST,Breaking,53,5.113112109915665,-0.05151020824543933,84.58301886792455,0.49350782874167365,0.3863474837685064,0.3178099070825176,55.5
693312,"Nicolas, Kyle",FF,Fastball,330,5.1130990774478615,-0.0515106810058547,97.60999999999997,0.4895394716638486,0.29342069998617304,0.35958379229108883,55.5
683004,"Leiter, Jack",SL,Breaking,621,5.112856497688015,-0.051519480728954,87.61545893719808,0.5035755078190121,0.4375776500333921,0.3190751618877744,55.5
656686,"Martin, Corbin",FF,Fastball,147,5.112588809525798,-0.05152919127408002,95.87619047619047,0.4890099439360888,0.30145514658958555,0.3535968048033055,55.4
663554,"Mize, Casey",FS,Offspeed,615,5.11253691172293,-0.05153107389732528,88.6107317073171,0.5737022347601898,0.42675510433073083,0.3085807107527355,55.4
641656,"Hamilton, Ian",SL,Breaking,245,5.112515518340225,-0.0515318499548336,87.85714285714286,0.46927362140003576,0.5240394268247521,0.2933751375189854,55.4
642546,"Hernández, Jonathan",SL,Breaking,28,5.111955830351128,-0.05155215296498346,88.68928571428572,0.5603231132532469,0.5106766932701808,0.31439429779276323,55.3
