mlbam_id,player_name,team,proj_ros_g_per_teamgame,naive_pace,proj_ros_g,team_games_remaining_implied,volume_percentile,g_to,team_games_to,g_per_teamgame_to,g_last21,ip_per_g_to,gf_pct_to,sv_per_g_to,hld_per_g_to,fp_skill_per_g_to,prior1_g_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
676775,Keaton Winn,SF,0.2821,0.3333,16.9,60.0,67.5,34,102.0,0.3333,5.0,0.9804,0.0588,0.0294,0.2353,2.2059,0.0,0.0,0.0,13.0,1.0,119
573124,Taylor Rogers,MIN,0.2799,0.4078,16.5,59.0,67.2,42,103.0,0.4078,5.0,0.8333,0.0952,0.0476,0.2143,0.9643,0.3519,9.0,0.0,173.0,0.0,119
656794,Sean Newcomb,CWS,0.279,0.3564,17.0,61.0,67.0,36,101.0,0.3564,5.0,1.4444,0.1389,0.0556,0.2222,3.5444,0.2963,7.0,0.0,173.0,0.0,119
572955,Pierce Johnson,CIN,0.2772,0.3267,16.9,61.0,66.7,33,101.0,0.3267,5.0,0.8788,0.0606,0.0303,0.1818,1.3848,0.4012,8.0,0.0,31.0,1.0,119
641941,Emilio Pagán,CIN,0.2764,0.2079,16.9,61.0,66.4,21,101.0,0.2079,5.0,0.9206,0.7143,0.4762,0.0,1.5619,0.4321,9.0,0.0,23.0,1.0,119
489446,Kirby Yates,LAA,0.2753,0.2524,16.2,59.0,66.1,26,103.0,0.2524,6.0,0.859,0.3846,0.1154,0.0,2.0269,0.3086,9.0,0.0,173.0,0.0,119
621237,José Alvarado,PHI,0.275,0.4078,16.2,59.0,65.8,42,103.0,0.4078,5.0,0.8492,0.0476,0.0476,0.2381,1.3262,0.1728,9.0,0.0,173.0,0.0,119
660761,José Suarez,ATH,0.2737,0.3137,16.4,60.0,65.5,32,102.0,0.3137,7.0,1.4583,0.0625,0.0312,0.0625,1.9375,0.0,2.0,0.0,173.0,0.0,119
621074,Michael Rucker,SEA,0.273,0.1456,16.1,59.0,65.2,15,103.0,0.1456,8.0,1.0444,0.2,0.0,0.0,2.1133,0.0,5.0,0.0,173.0,0.0,119
694361,Will Klein,LAD,0.2718,0.3061,17.4,64.0,64.9,30,98.0,0.3061,5.0,1.1222,0.1,0.0667,0.3,2.5367,0.0,0.0,0.0,173.0,0.0,114
592779,Brock Stewart,LAD,0.2715,0.1165,16.0,59.0,64.6,12,103.0,0.1165,6.0,1.0278,0.1667,0.0,0.25,2.8917,0.2654,3.0,0.0,31.0,1.0,119
690925,Clayton Beeter,WSH,0.2706,0.301,16.0,59.0,64.3,31,103.0,0.301,6.0,0.9355,0.3548,0.2258,0.0645,1.6032,0.1605,1.0,0.0,173.0,0.0,119
621053,Tyler Ferguson,CHC,0.2701,0.1275,16.2,60.0,64.1,13,102.0,0.1275,7.0,0.9744,0.1538,0.0,0.1538,1.6769,0.3457,2.0,0.0,173.0,0.0,119
681892,Kody Funderburk,MIN,0.27,0.2816,15.9,59.0,63.8,29,103.0,0.2816,6.0,0.9195,0.0345,0.0345,0.1379,1.5517,0.2407,2.0,0.0,173.0,0.0,119
665622,Luis Medina,ATH,0.2692,0.3235,16.2,60.0,63.5,33,102.0,0.3235,6.0,1.3434,0.1818,0.0,0.1212,2.4636,0.0,0.0,0.0,173.0,0.0,119
664849,Danny Young,ATL,0.2689,0.0693,16.4,61.0,63.2,7,101.0,0.0693,7.0,0.8095,0.0,0.0,0.4286,1.2429,0.0,2.0,0.0,173.0,0.0,119
622608,Antonio Senzatela,COL,0.2683,0.2981,15.6,58.0,62.9,31,104.0,0.2981,6.0,1.5914,0.2581,0.1613,0.0323,3.0581,0.0,0.0,0.0,173.0,0.0,119
670990,Yohan Ramírez,PIT,0.2662,0.3981,15.7,59.0,62.6,41,103.0,0.3981,5.0,1.2195,0.0976,0.0488,0.1463,2.4634,0.1481,5.0,0.0,173.0,0.0,119
696147,Sam Bachman,LAA,0.2658,0.3592,15.7,59.0,62.3,37,103.0,0.3592,5.0,1.1351,0.0541,0.027,0.2432,2.4757,0.142,1.0,0.0,173.0,0.0,119
643410,Mark Leiter Jr.,ATH,0.2655,0.3529,15.9,60.0,62.0,36,102.0,0.3529,4.0,0.9074,0.1111,0.1111,0.1111,1.8556,0.3642,8.0,0.0,20.0,1.0,119
663947,Tyler Holton,DET,0.2649,0.3922,15.9,60.0,61.7,40,102.0,0.3922,5.0,1.0167,0.075,0.025,0.175,1.63,0.0,3.0,0.0,173.0,0.0,119
668941,JoJo Romero,STL,0.2645,0.4356,16.1,61.0,61.4,44,101.0,0.4356,5.0,0.9697,0.0227,0.0,0.4091,2.0409,0.4012,3.0,1.0,0.0,1.0,119
