batter,total_pa,annual_rate,n_parks,hot1_park,hot1_lift,hot1_pa,hot2_park,hot2_lift,hot3_park,hot3_lift,cold1_park,cold1_lift,cold1_pa,cold2_park,cold2_lift,cold3_park,cold3_lift,player_name,team,rank
572041,1437,0.2978,10,LAD,36.3,399,AZ,17.3,DET,14.5,SEA,-79.0,96,CHC,-61.8,SD,-51.1,,,
572122,1495,0.2535,10,DET,188.6,41,TEX,63.5,MIN,59.7,LAA,-43.1,104,ATH,-36.0,SEA,-22.1,,,
572191,2085,0.1271,18,COL,372.1,45,BAL,150.3,MIA,127.3,PHI,-271.0,46,MIL,-196.0,PIT,-168.2,,,
572228,1155,0.2208,12,BAL,129.7,71,AZ,76.8,STL,72.5,MIL,-157.6,55,NYM,-67.6,SD,-38.7,,,
572233,3299,0.2749,19,LAD,140.9,154,TEX,107.0,COL,101.2,HOU,-81.0,325,NYM,-79.8,CHC,-72.4,Christian Walker,HOU,30.0
572287,1110,0.0919,10,TEX,236.8,42,LAA,172.1,BOS,134.4,NYY,-272.7,63,CLE,-138.4,SEA,-95.2,,,
572761,1619,0.2644,12,NYY,167.9,72,AZ,84.7,CHC,57.9,WSH,-168.8,55,SD,-86.1,NYM,-62.9,,,
572816,1362,0.3267,12,CHC,90.1,66,CIN,66.6,TOR,30.2,NYM,-87.2,48,ATL,-70.1,SF,-51.3,,,
573262,2660,0.2526,19,STL,121.7,50,ATH,67.5,COL,47.8,MIN,-67.0,48,PHI,-63.5,CHC,-61.1,Mike Yastrzemski,ATL,263.0
575929,3078,0.2775,17,CLE,89.2,40,SD,68.9,ATL,45.0,SF,-100.0,56,AZ,-70.8,LAD,-30.5,Willson Contreras,BOS,106.0
578428,2383,0.2984,23,WSH,57.7,68,CHC,50.8,NYM,32.8,ATH,-74.7,53,STL,-41.2,MIL,-38.6,,,
592178,2143,0.2888,13,CIN,52.7,102,MIA,41.6,CHC,19.9,STL,-76.6,74,SD,-44.8,PHI,-43.6,,,
592192,2942,0.2903,23,WSH,40.0,64,MIA,38.8,LAA,25.8,BOS,-62.6,46,KC,-56.6,PHI,-41.2,,,
592206,4302,0.2857,27,CHC,106.5,200,MIN,64.5,CIN,49.6,HOU,-108.0,44,SF,-73.1,SD,-56.2,Nick Castellanos,SD,219.0
592273,1717,0.2015,17,TB,142.8,47,COL,142.6,NYM,112.7,TEX,-181.0,49,CLE,-153.9,NYY,-133.5,,,
592325,1249,0.2058,11,STL,36.7,64,SEA,31.0,NYM,19.0,PHI,-87.9,40,HOU,-69.6,AZ,-64.4,,,
592348,981,0.1213,7,MIN,147.3,80,CWS,79.7,DET,-1.1,LAA,-224.4,53,KC,-72.1,CLE,-15.9,,,
592450,3816,0.4101,17,CWS,91.0,83,SEA,60.6,MIN,55.9,DET,-65.5,92,TB,-51.2,TEX,-39.9,Aaron Judge,NYY,2.0
592518,4387,0.3515,24,BAL,73.7,226,STL,32.9,COL,30.4,SEA,-78.1,65,TOR,-65.1,HOU,-58.5,Manny Machado,SD,53.0
592567,1120,0.2518,6,PHI,19.1,40,STL,16.3,PIT,1.9,CHC,-17.7,82,CIN,-9.3,MIL,-7.3,,,
592626,2750,0.3167,17,WSH,133.9,54,PIT,91.0,PHI,27.1,SEA,-113.2,48,COL,-72.3,ATL,-45.6,Joc Pederson,TEX,206.0
592663,3407,0.273,16,CIN,74.2,82,SD,67.7,AZ,58.2,TB,-65.1,42,NYM,-60.3,CHC,-47.0,J.T. Realmuto,PHI,224.0
592669,2983,0.2675,26,TOR,50.6,67,COL,41.2,CIN,36.9,AZ,-140.9,64,PIT,-117.4,SEA,-48.7,,,
592696,2416,0.269,20,AZ,90.4,41,BOS,70.4,DET,55.7,SD,-133.8,44,WSH,-72.5,PIT,-72.1,,,
592743,1383,0.2863,12,HOU,47.9,85,TEX,42.5,DET,22.2,CHC,-83.4,63,CLE,-65.1,NYY,-33.5,,,
592885,3645,0.341,17,WSH,51.8,85,CIN,44.6,PIT,39.0,ATL,-65.0,67,CLE,-58.1,CHC,-49.8,Christian Yelich,MIL,137.0
593160,3451,0.2866,21,DET,66.1,166,TB,63.4,BOS,51.7,ATH,-91.2,79,PHI,-58.2,STL,-53.9,,,
593428,4087,0.3421,27,COL,76.9,81,PHI,28.2,WSH,25.9,CHC,-52.3,49,SF,-40.0,STL,-35.0,Xander Bogaerts,SD,89.0
593871,3196,0.3013,16,CWS,53.6,162,TOR,43.5,NYY,17.5,ATH,-42.3,92,MIL,-42.1,LAA,-29.9,Jorge Polanco,NYM,156.0
593934,1181,0.1558,9,BOS,63.6,51,CLE,54.9,CWS,28.4,DET,-242.6,81,SEA,-161.1,LAA,-31.9,,,
594777,1650,0.1842,12,TOR,84.5,50,ATH,32.9,CLE,31.2,CWS,-137.0,44,KC,-51.5,HOU,-37.6,,,
594807,1869,0.1808,17,CHC,211.0,48,PHI,119.7,NYM,112.0,MIL,-200.5,44,PIT,-112.0,LAD,-100.0,,,
594809,972,0.2829,8,ATL,29.6,60,NYM,25.9,PHI,21.9,MIN,-92.0,44,LAA,-41.1,CWS,-31.0,,,
595281,1807,0.1765,13,DET,118.9,44,BAL,103.2,BOS,86.9,MIA,-173.9,46,CWS,-88.4,ATH,-87.4,,,
595751,1219,0.0763,9,CHC,251.1,56,CIN,151.0,COL,114.0,ATL,-145.2,87,WSH,-115.6,SD,-100.0,,,
595777,3551,0.3284,24,BAL,78.3,41,MIA,54.4,DET,49.6,LAD,-62.2,129,SEA,-57.4,NYM,-51.9,,,
595879,3478,0.2105,25,LAA,108.6,41,COL,91.9,AZ,75.4,HOU,-128.5,50,SF,-69.8,TB,-69.7,Javier Báez,DET,260.0
595909,1003,0.1585,7,COL,35.4,177,KC,17.6,MIN,13.4,DET,-78.5,88,CWS,-40.3,PHI,-22.0,,,
595978,1451,0.0538,13,COL,339.2,72,MIN,254.3,AZ,181.9,SF,-265.4,45,KC,-205.3,LAD,-168.9,,,
596019,4706,0.3532,29,ATH,59.0,73,AZ,49.7,TOR,33.2,TB,-68.5,54,STL,-67.8,HOU,-55.1,Francisco Lindor,NYM,54.0
596059,1843,0.1883,14,KC,203.5,42,BOS,54.4,BAL,36.2,CWS,-203.9,46,ATH,-119.4,HOU,-108.9,,,
596103,1149,0.1958,7,AZ,93.1,82,SD,70.2,CWS,2.1,BAL,-100.0,40,COL,-79.4,SF,-3.7,,,
596115,2970,0.2704,21,ATH,62.4,41,COL,57.8,ATL,57.6,CHC,-106.5,57,NYM,-81.5,TB,-78.7,Trevor Story,BOS,275.0
