pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position
606996,Kyle Hart,578,5.24,1.542,-0.047,0.471,0.359,0.506,0.322,0.641,84.2,P
621237,José Alvarado,723,5.24,1.43,-0.047,0.469,0.353,0.435,0.302,0.647,84.1,P
592773,Ryne Stanek,676,5.237,1.479,-0.047,0.502,0.379,0.46,0.326,0.621,83.9,P
685801,Hunter Bigge,352,5.235,1.355,-0.047,0.42,0.399,0.43,0.325,0.601,83.7,P
607455,Anthony Banda,631,5.234,1.474,-0.047,0.43,0.387,0.448,0.325,0.613,83.6,P
662253,Andrés Muñoz,615,5.232,1.47,-0.047,0.46,0.408,0.438,0.317,0.592,83.4,P
680755,Braydon Fisher,774,5.229,1.371,-0.047,0.468,0.382,0.49,0.328,0.618,83.3,P
661395,Jhoan Durán,531,5.229,1.502,-0.047,0.511,0.394,0.449,0.31,0.606,83.1,P
518585,Fernando Cruz,696,5.228,1.466,-0.047,0.449,0.433,0.437,0.33,0.567,82.9,P
548384,Brooks Raley,587,5.226,1.452,-0.047,0.451,0.338,0.502,0.317,0.662,82.8,P
661563,Luis Gil,406,5.221,1.429,-0.048,0.466,0.366,0.459,0.328,0.634,82.6,P
663941,Tristan Beck,193,5.221,1.347,-0.048,0.493,0.354,0.515,0.338,0.646,82.4,P
519141,Drew Pomeranz,447,5.221,1.398,-0.048,0.482,0.298,0.531,0.347,0.702,82.3,P
596133,Luke Weaver,620,5.22,1.364,-0.048,0.513,0.332,0.506,0.337,0.668,82.1,P
640448,Kyle Finnegan,671,5.219,1.437,-0.048,0.475,0.385,0.469,0.334,0.615,82.0,P
664126,Pete Fairbanks,558,5.219,1.423,-0.048,0.494,0.322,0.487,0.329,0.678,81.8,P
680702,Joey Gerber,129,5.218,1.359,-0.048,0.44,0.299,0.503,0.342,0.701,81.6,P
806188,Cade Gibson,482,5.217,1.53,-0.048,0.46,0.352,0.481,0.307,0.648,81.5,P
686218,Emmet Sheehan,1546,5.217,1.409,-0.048,0.494,0.37,0.47,0.332,0.63,81.3,P
679775,Kyle Backhus,282,5.217,1.362,-0.048,0.43,0.282,0.532,0.315,0.718,81.1,P
621242,Edwin Díaz,157,5.217,1.478,-0.048,0.484,0.39,0.47,0.334,0.61,81.0,P
623454,Drew Anderson,956,5.215,1.421,-0.048,0.499,0.366,0.455,0.332,0.634,80.8,P
643377,Griffin Jax,1146,5.215,1.419,-0.048,0.48,0.387,0.464,0.321,0.613,80.7,P
677161,Zack Kelly,308,5.214,1.395,-0.048,0.477,0.358,0.489,0.32,0.642,80.5,P
668873,Caleb Kilian,678,5.213,1.419,-0.048,0.487,0.335,0.482,0.333,0.665,80.3,P
695239,Robby Ahlstrom,259,5.211,1.294,-0.048,0.495,0.356,0.466,0.324,0.644,80.2,P
666661,Juan Morillo,642,5.211,1.392,-0.048,0.49,0.347,0.482,0.327,0.653,80.0,P
808967,Yoshinobu Yamamoto,1639,5.209,1.414,-0.048,0.52,0.347,0.495,0.326,0.653,79.8,P
543037,Gerrit Cole,871,5.207,1.423,-0.048,0.496,0.299,0.543,0.343,0.701,79.7,P
684007,Shota Imanaga,1782,5.205,1.288,-0.048,0.486,0.341,0.473,0.338,0.659,79.5,P
663878,Nate Pearson,346,5.205,1.389,-0.048,0.472,0.367,0.45,0.329,0.633,79.3,P
683627,Anthony Molina,123,5.205,1.343,-0.048,0.471,0.384,0.395,0.323,0.616,79.2,P
688158,David Morgan,422,5.204,1.461,-0.048,0.448,0.358,0.463,0.32,0.642,79.0,P
666142,Cole Ragans,724,5.203,1.456,-0.048,0.45,0.354,0.468,0.34,0.646,78.9,P
656234,Jake Bird,523,5.202,1.43,-0.048,0.462,0.316,0.525,0.316,0.684,78.7,P
669302,Logan Gilbert,1783,5.201,1.523,-0.048,0.527,0.366,0.502,0.338,0.634,78.5,P
681799,Ethan Roberts,436,5.197,1.501,-0.048,0.427,0.356,0.492,0.328,0.644,78.4,P
663158,Robert Suarez,500,5.196,1.3,-0.048,0.53,0.333,0.474,0.328,0.667,78.2,P
808963,Roki Sasaki,1582,5.196,1.561,-0.048,0.514,0.379,0.476,0.332,0.621,78.0,P
641816,Tyler Mahle,1300,5.196,1.336,-0.049,0.47,0.326,0.499,0.337,0.674,77.9,P
668909,Gavin Williams,1914,5.194,1.511,-0.049,0.48,0.341,0.501,0.334,0.659,77.7,P
681151,Jayden Murray,304,5.189,1.399,-0.049,0.467,0.321,0.478,0.34,0.679,77.6,P
701121,Logan Vanwey,111,5.189,1.285,-0.049,0.464,0.32,0.548,0.341,0.68,77.4,P
676879,Aaron Ashby,1049,5.188,1.567,-0.049,0.43,0.387,0.442,0.305,0.613,77.2,P
694973,Paul Skenes,1875,5.184,1.342,-0.049,0.502,0.344,0.475,0.328,0.656,77.1,P
805299,Brandyn Garcia,340,5.183,1.407,-0.049,0.474,0.326,0.533,0.298,0.674,76.9,P
690925,Clayton Beeter,485,5.183,1.441,-0.049,0.44,0.378,0.447,0.333,0.622,76.7,P
668941,Jojo Romero,721,5.182,1.495,-0.049,0.445,0.323,0.481,0.304,0.677,76.6,P
663554,Casey Mize,1211,5.181,1.384,-0.049,0.476,0.34,0.511,0.339,0.66,76.4,P
641329,Bryan Baker,566,5.18,1.424,-0.049,0.546,0.314,0.493,0.33,0.686,76.3,P
573124,Taylor Rogers,647,5.18,1.41,-0.049,0.426,0.277,0.51,0.313,0.723,76.1,P
680767,Victor Vodnik,537,5.179,1.495,-0.049,0.456,0.402,0.465,0.32,0.598,75.9,P
694738,Landen Roupp,1833,5.179,1.432,-0.049,0.438,0.344,0.437,0.31,0.656,75.8,P
640451,Hunter Harvey,114,5.179,1.284,-0.049,0.555,0.331,0.569,0.341,0.669,75.6,P
641755,Tyler Kinley,588,5.177,1.456,-0.049,0.503,0.409,0.487,0.328,0.591,75.4,P
683000,Riley Cornelio,298,5.176,1.401,-0.049,0.437,0.39,0.45,0.329,0.61,75.3,P
677960,Ryan Weathers,1697,5.176,1.49,-0.049,0.481,0.342,0.486,0.336,0.658,75.1,P
605447,Jordan Romano,320,5.175,1.625,-0.049,0.437,0.402,0.436,0.328,0.598,75.0,P
