batter,name,pa_total,ev_p90_first,ev_p90_last,ev_p90_delta,ev_p90_drift_adj,k_pct_first,k_pct_last,k_pct_delta,k_pct_drift_adj,whiff_per_swing_first,whiff_per_swing_last,whiff_per_swing_delta,whiff_per_swing_drift_adj,ev_mean_first,ev_mean_last,ev_mean_delta,ev_mean_drift_adj,hard_hit_pct_first,hard_hit_pct_last,hard_hit_pct_delta,hard_hit_pct_drift_adj,bb_pct_first,bb_pct_last,bb_pct_delta,bb_pct_drift_adj,barrel_pct_first,barrel_pct_last,barrel_pct_delta,barrel_pct_drift_adj
660844,Leo Rivas,112,93.17,95.89,2.72,94.612,35.849,25.424,-10.425,30.949,25.275,21.839,-3.436,23.66,77.752,78.394,0.642,78.04,3.226,11.29,8.065,6.855,18.868,6.78,-12.088,14.395,0.0,1.613,1.613,0.258
665966,Carlos Narváez,86,101.2,100.18,-1.02,100.659,32.558,23.256,-9.302,28.186,27.273,22.222,-5.051,24.899,82.267,82.811,0.544,82.512,26.23,18.462,-7.768,22.734,2.326,9.302,6.977,4.907,1.639,0.0,-1.639,1.377
701807,Carson Benge,127,101.8,102.55,0.75,102.197,25.397,20.312,-5.084,23.007,23.016,16.522,-6.494,19.964,81.642,86.149,4.507,83.67,19.78,32.558,12.778,25.53,9.524,7.812,-1.711,8.891,0.0,0.0,0.0,0.0
686452,Drew Millas,72,86.86,98.8,11.94,93.188,21.212,33.333,12.121,26.909,18.182,24.242,6.061,21.03,74.283,80.713,6.43,77.177,4.762,19.565,14.803,11.423,12.121,5.128,-6.993,9.534,0.0,0.0,0.0,0.0
643446,Jeff McNeil,136,98.41,97.21,-1.2,97.774,16.176,10.294,-5.882,13.412,16.154,11.724,-4.43,14.072,80.073,78.408,-1.665,79.324,19.388,19.167,-0.221,19.288,8.824,5.882,-2.941,7.735,0.0,0.0,0.0,0.0
807799,Masataka Yoshida,80,102.69,102.0,-0.69,102.324,15.789,4.762,-11.028,10.607,12.0,9.091,-2.909,10.633,85.19,82.43,-2.76,83.948,33.333,28.0,-5.333,30.933,21.053,7.143,-13.91,15.906,0.0,0.0,0.0,0.0
664954,Brett Sullivan,68,99.1,98.86,-0.24,98.973,26.667,21.053,-5.614,24.028,15.385,25.373,9.989,20.079,80.392,78.65,-1.742,79.608,17.647,16.667,-0.98,17.206,3.333,7.895,4.561,5.021,1.961,0.0,-1.961,1.647
702332,Caleb Durbin,141,97.68,99.2,1.52,98.486,13.846,13.158,-0.688,13.523,15.625,13.934,-1.691,14.83,79.903,80.955,1.052,80.376,17.949,22.581,4.632,20.033,7.692,7.895,0.202,7.767,0.0,0.0,0.0,0.0
621438,Tyrone Taylor,76,98.18,98.93,0.75,98.578,11.111,20.408,9.297,15.481,19.643,20.213,0.57,19.911,79.407,81.519,2.112,80.357,13.953,25.0,11.047,18.924,3.704,2.041,-1.663,3.088,0.0,0.0,0.0,0.0
621439,Byron Buxton,176,103.28,103.68,0.4,103.492,25.0,27.083,2.083,25.979,28.571,32.195,3.624,30.275,86.425,83.098,-3.327,84.928,35.87,29.508,-6.361,33.007,7.5,5.208,-2.292,6.652,3.261,5.738,2.477,3.657
672640,Otto Lopez,169,104.16,103.64,-0.52,103.884,18.75,16.854,-1.896,17.859,20.863,18.065,-2.799,19.548,84.756,83.383,-1.374,84.138,32.407,27.826,-4.581,30.346,6.25,1.124,-5.126,4.353,1.852,1.739,-0.113,1.834
