pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning
543135,Nathan Eovaldi,2622,4.973,1.467,-0.057,0.514,0.321,0.51,0.33,0.679,43.5,P,False
552640,Andrew Kittredge,1063,4.972,1.58,-0.057,0.522,0.335,0.5,0.317,0.665,43.4,P,False
502624,Chase Anderson,1092,4.97,1.362,-0.057,0.483,0.336,0.482,0.32,0.664,43.2,P,False
450203,Charlie Morton,2839,4.967,1.582,-0.057,0.456,0.329,0.485,0.327,0.671,43.1,P,False
676614,Bryan Sammons,374,4.965,1.503,-0.057,0.455,0.329,0.481,0.342,0.671,43.0,P,False
680730,Mitchell Parker,2404,4.965,1.439,-0.057,0.484,0.317,0.499,0.345,0.683,42.8,P,False
656605,Mitch Keller,2901,4.965,1.511,-0.057,0.482,0.294,0.517,0.331,0.706,42.7,P,False
607200,Erick Fedde,2972,4.964,1.508,-0.057,0.471,0.342,0.477,0.32,0.658,42.5,P,False
621244,José Berríos,2992,4.964,1.543,-0.057,0.463,0.291,0.492,0.332,0.709,42.4,P,False
700249,Cade Povich,1389,4.964,1.471,-0.057,0.48,0.3,0.509,0.345,0.7,42.3,P,False
680744,Ty Madden,436,4.964,1.499,-0.057,0.491,0.343,0.488,0.335,0.657,42.1,P,False
667725,Kyle Tyler,580,4.963,1.483,-0.057,0.431,0.361,0.431,0.327,0.639,42.0,P,False
680897,Nick Nastrini,734,4.963,1.528,-0.057,0.394,0.412,0.417,0.327,0.588,41.9,P,False
656731,Tylor Megill,1560,4.963,1.557,-0.057,0.494,0.333,0.48,0.334,0.667,41.7,P,False
800049,Adam Mazur,584,4.962,1.442,-0.057,0.471,0.344,0.463,0.331,0.656,41.6,P,False
677958,Kumar Rocker,218,4.961,1.487,-0.057,0.515,0.346,0.48,0.334,0.654,41.4,P,False
657649,Jared Koenig,1024,4.96,1.578,-0.057,0.482,0.262,0.535,0.333,0.738,41.3,P,False
676664,Jp Sears,2926,4.959,1.407,-0.057,0.478,0.283,0.518,0.34,0.717,41.2,P,False
642520,Gerson Garabito,492,4.959,1.504,-0.057,0.468,0.327,0.467,0.33,0.673,41.0,P,False
687798,Nick Robertson,249,4.959,1.439,-0.057,0.496,0.351,0.5,0.343,0.649,40.9,P,False
686613,Hunter Brown,3061,4.958,1.458,-0.057,0.507,0.318,0.474,0.328,0.682,40.7,P,False
656288,Griffin Canning,2919,4.957,1.489,-0.057,0.468,0.343,0.463,0.33,0.657,40.6,P,False
669721,Davis Daniel,508,4.956,1.382,-0.057,0.503,0.315,0.505,0.335,0.685,40.5,P,False
663773,Bryan Hoeing,862,4.956,1.678,-0.057,0.461,0.324,0.508,0.314,0.676,40.3,P,False
641771,Chad Kuhl,980,4.955,1.517,-0.057,0.426,0.363,0.45,0.316,0.637,40.2,P,False
571882,Derek Law,1366,4.954,1.539,-0.057,0.49,0.372,0.469,0.319,0.628,40.1,P,False
663767,Chase Shugart,167,4.952,1.583,-0.057,0.503,0.307,0.463,0.313,0.693,39.9,P,True
663485,Cole Sands,1175,4.952,1.472,-0.057,0.508,0.309,0.499,0.329,0.691,39.8,P,False
665152,Dean Kremer,2171,4.95,1.486,-0.057,0.468,0.314,0.487,0.334,0.686,39.6,P,False
669438,Mason Englert,407,4.948,1.489,-0.057,0.502,0.367,0.457,0.322,0.633,39.5,P,False
681882,Colin Selby,112,4.948,1.418,-0.058,0.419,0.345,0.447,0.323,0.655,39.4,P,True
571927,Steven Matz,807,4.948,1.488,-0.058,0.491,0.27,0.525,0.334,0.73,39.2,P,False
676477,Garrett Whitlock,388,4.947,1.696,-0.058,0.499,0.345,0.512,0.328,0.655,39.1,P,False
543518,Scott Mcgough,614,4.946,1.425,-0.058,0.489,0.33,0.478,0.338,0.67,39.0,P,False
657514,Brennan Bernardino,860,4.946,1.592,-0.058,0.464,0.299,0.539,0.317,0.701,38.8,P,False
641401,Connor Brogdon,151,4.945,1.458,-0.058,0.44,0.371,0.441,0.326,0.629,38.7,P,True
605452,Joe Ross,1210,4.944,1.598,-0.058,0.485,0.337,0.507,0.325,0.663,38.5,P,False
684320,Yariel Rodríguez,1537,4.944,1.489,-0.058,0.449,0.333,0.46,0.327,0.667,38.4,P,False
680880,Grant Holman,292,4.944,1.625,-0.058,0.448,0.37,0.425,0.334,0.63,38.3,P,False
674944,Sean Guenther,294,4.944,1.462,-0.058,0.472,0.27,0.528,0.319,0.73,38.1,P,False
519326,Hunter Strickland,1172,4.943,1.453,-0.058,0.494,0.313,0.506,0.333,0.687,38.0,P,False
669212,Eli Morgan,724,4.941,1.478,-0.058,0.512,0.359,0.497,0.333,0.641,37.8,P,False
543243,Sonny Gray,2483,4.94,1.639,-0.058,0.481,0.347,0.505,0.327,0.653,37.7,P,False
621363,Colin Poche,587,4.938,1.473,-0.058,0.461,0.338,0.472,0.333,0.662,37.6,P,False
641793,Zack Littell,2564,4.938,1.562,-0.058,0.528,0.324,0.518,0.336,0.676,37.4,P,False
605488,Jeffrey Springs,565,4.937,1.486,-0.058,0.473,0.348,0.429,0.339,0.652,37.3,P,False
657044,Ryan Thompson,1027,4.935,1.498,-0.058,0.487,0.302,0.517,0.31,0.698,37.2,P,False
592767,Drew Smyly,1053,4.935,1.555,-0.058,0.498,0.319,0.488,0.34,0.681,37.0,P,False
675540,Xzavion Curry,639,4.934,1.453,-0.058,0.489,0.305,0.515,0.344,0.695,36.9,P,False
642048,Tayler Saucedo,626,4.934,1.427,-0.058,0.432,0.336,0.446,0.301,0.664,36.7,P,False
676974,Max Meyer,968,4.933,1.539,-0.058,0.48,0.371,0.475,0.334,0.629,36.6,P,False
572971,Dallas Keuchel,308,4.932,1.527,-0.058,0.364,0.344,0.422,0.31,0.656,36.5,P,False
669713,Hayden Wesneski,1075,4.931,1.608,-0.058,0.471,0.331,0.478,0.33,0.669,36.3,P,False
570632,José Ureña,1759,4.931,1.398,-0.058,0.435,0.345,0.476,0.31,0.655,36.2,P,False
667755,José Soriano,1736,4.93,1.527,-0.058,0.473,0.336,0.47,0.308,0.664,36.0,P,False
477132,Clayton Kershaw,504,4.93,1.446,-0.058,0.492,0.33,0.529,0.345,0.67,35.9,P,False
675650,Michael Mercado,260,4.93,1.507,-0.058,0.474,0.314,0.5,0.337,0.686,35.8,P,False
668933,Graham Ashcraft,1342,4.93,1.567,-0.058,0.505,0.35,0.491,0.313,0.65,35.6,P,False
685116,Austin Kitchen,158,4.929,1.483,-0.058,0.46,0.282,0.516,0.312,0.718,35.5,P,True
691172,Yosver Zulueta,286,4.927,1.684,-0.058,0.4,0.342,0.453,0.308,0.658,35.4,P,False
641755,Tyler Kinley,1233,4.927,1.549,-0.058,0.475,0.395,0.459,0.326,0.605,35.2,P,False
570257,Joely Rodríguez,273,4.927,1.572,-0.058,0.498,0.288,0.537,0.321,0.712,35.1,P,False
670766,Darren Mccaughan,804,4.927,1.564,-0.058,0.456,0.282,0.52,0.332,0.718,34.9,P,False
671111,Sammy Peralta,282,4.926,1.624,-0.058,0.438,0.28,0.486,0.332,0.72,34.8,P,False
681857,Reese Olson,2065,4.926,1.529,-0.058,0.45,0.377,0.43,0.322,0.623,34.7,P,False
641585,J. P. France,532,4.926,1.334,-0.058,0.426,0.364,0.429,0.325,0.636,34.5,P,False
592866,Trevor Williams,1115,4.926,1.402,-0.058,0.482,0.347,0.473,0.33,0.653,34.4,P,False
608648,Tyler Duffey,189,4.926,1.672,-0.058,0.456,0.338,0.458,0.33,0.662,34.3,P,True
646242,Jhonathan Díaz,166,4.925,1.565,-0.058,0.442,0.265,0.515,0.328,0.735,34.1,P,True
672456,Keider Montero,1622,4.925,1.522,-0.058,0.479,0.303,0.523,0.343,0.697,34.0,P,False
688107,Robert Gasser,399,4.923,1.469,-0.058,0.498,0.28,0.589,0.344,0.72,33.8,P,False
621107,Zach Eflin,2522,4.923,1.545,-0.058,0.48,0.295,0.527,0.327,0.705,33.7,P,False
