batter,Cold_lift_pct,Cool_lift_pct,Dome_lift_pct,Hot_lift_pct,Warm_lift_pct,Cold_pa,Cool_pa,Dome_pa,Hot_pa,Warm_pa,Cold_rate,Cool_rate,Dome_rate,Hot_rate,Warm_rate,annual_rate,total_pa,player_name,team,rank
518735,-20.4,-6.2,29.4,2.9,1.6,302.0,475.0,194.0,663.0,915.0,0.2251655629139073,0.26526315789473687,0.36597938144329895,0.2911010558069382,0.28743169398907104,0.28285602196939974,2549,,,
518792,-5.9,-3.1,-25.5,8.5,2.8,287.0,494.0,145.0,541.0,837.0,0.2613240418118467,0.2692307692307692,0.20689655172413793,0.30129390018484287,0.2855436081242533,0.2777777777777778,2304,,,
518934,-26.4,-22.5,11.1,23.7,-5.9,338.0,612.0,412.0,1014.0,1012.0,0.22189349112426035,0.23366013071895425,0.33495145631067963,0.3727810650887574,0.283596837944664,0.301357733175915,3388,,,
518960,-10.6,0.1,-2.5,60.4,-21.8,84.0,300.0,77.0,104.0,240.0,0.21428571428571427,0.24,0.23376623376623376,0.38461538461538464,0.1875,0.23975155279503105,805,,,
519048,28.7,10.3,23.1,-10.9,-30.3,167.0,237.0,160.0,189.0,293.0,0.3592814371257485,0.3080168776371308,0.34375,0.24867724867724866,0.1945392491467577,0.27915869980879543,1046,,,
519058,-8.7,4.8,13.6,-9.2,6.5,237.0,443.0,169.0,669.0,577.0,0.2616033755274262,0.3002257336343115,0.3254437869822485,0.2600896860986547,0.3050259965337955,0.2863961813842482,2095,,,
519203,16.2,-18.4,-2.0,12.0,-4.0,440.0,627.0,304.0,770.0,1057.0,0.41363636363636364,0.2902711323763955,0.34868421052631576,0.3987012987012987,0.3415326395458846,0.35584740462789244,3198,,,
519317,-22.8,-37.1,-30.7,31.4,13.5,299.0,491.0,434.0,828.0,911.0,0.18729096989966554,0.15274949083503056,0.16820276497695852,0.3188405797101449,0.27552140504939626,0.24265946675666555,2963,Giancarlo Stanton,NYY,229.0
520471,79.8,-61.2,-10.2,31.9,0.5,143.0,308.0,358.0,341.0,489.0,0.3916083916083916,0.08441558441558442,0.19553072625698323,0.2873900293255132,0.21881390593047034,0.2178157413056742,1639,,,
521692,6.9,-16.6,-40.9,17.3,-4.6,327.0,563.0,314.0,1400.0,950.0,0.29357798165137616,0.2291296625222025,0.1624203821656051,0.3221428571428571,0.26210526315789473,0.2746201463140124,3554,Salvador Perez,KC,138.0
527038,-9.0,-7.8,6.6,2.5,11.9,348.0,1043.0,410.0,497.0,612.0,0.3017241379310345,0.3058485139022052,0.35365853658536583,0.34004024144869216,0.3709150326797386,0.3316151202749141,2910,,,
541645,-2.2,-44.5,17.4,52.8,-77.1,169.0,184.0,936.0,350.0,340.0,0.20118343195266272,0.11413043478260869,0.24145299145299146,0.3142857142857143,0.047058823529411764,0.20565942395149064,1979,,,
542194,-59.4,-44.8,11.6,-84.6,77.2,63.0,139.0,361.0,83.0,166.0,0.06349206349206349,0.08633093525179857,0.1745152354570637,0.024096385542168676,0.27710843373493976,0.1564039408866995,812,,,
542255,-53.3,-0.5,-23.9,16.4,1.3,100.0,101.0,66.0,401.0,319.0,0.13,0.27722772277227725,0.21212121212121213,0.32418952618453867,0.28213166144200624,0.2786220871327254,987,,,
542303,-51.1,-6.9,0.0,20.2,-9.2,275.0,571.0,313.0,1425.0,1171.0,0.14545454545454545,0.276707530647986,0.2971246006389776,0.35719298245614034,0.2698548249359522,0.29720372836218373,3755,Marcell Ozuna,PIT,170.0
542340,18.0,-49.4,-60.9,47.4,0.7,191.0,317.0,256.0,578.0,612.0,0.2356020942408377,0.10094637223974763,0.078125,0.29411764705882354,0.20098039215686275,0.19959058341862845,1954,,,
