pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla
681867,Cooper Criswell,299,5.131,1.375,-0.051,0.495,0.325,0.476,0.317,0.675,65.9,P,False,RP,37.375,5.242,5.1643,0.9283520070560571,0.3445966992610783,0.8136065071142018,0.4187325650356999,0.033,2.1997,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
678020,Seth Halvorsen,654,5.099,1.437,-0.052,0.492,0.353,0.479,0.325,0.647,59.9,P,False,RP,14.863636363636363,5.252,5.1449,0.9314949117423004,0.3402050782504006,0.7974491745347796,0.4306051608403695,0.033,2.1996,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,4.984448755134328,3.369230162162123
547184,Michael Kelly,657,5.064,1.454,-0.053,0.448,0.34,0.518,0.333,0.66,52.6,P,False,RP,15.642857142857142,5.239,5.1165,0.9099740271994288,0.26496902909428965,0.8242698374342421,0.4444429580201932,0.033,2.1988,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,4.92637065177107,3.470517483057918
642100,Gabe Speier,1034,5.232,1.42,-0.047,0.521,0.299,0.521,0.335,0.701,82.3,P,False,RP,12.16470588235294,4.994,5.1606,0.9137880917352814,0.2554290346381316,0.8553453534784519,0.4367225950476039,0.033,2.1966,,2.2,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.213197983815937,2.4764787077305765
656731,Tylor Megill,1322,5.211,1.511,-0.048,0.483,0.359,0.469,0.33,0.641,79.8,P,False,SP,88.13333333333334,5.041,5.16,0.9424961144481848,0.3588625190541974,0.7918036607301355,0.4320807990584456,0.033,2.1947,12.07,,,,0,0,0.0,5.02895338098078,3.257575321667522
663554,Casey Mize,2516,5.106,1.441,-0.052,0.503,0.332,0.513,0.337,0.668,61.7,P,False,SP,81.16129032258064,5.207,5.136299999999999,0.9167222470758467,0.2733045593433201,0.8304802348673297,0.4439377625261885,0.033,2.1921,12.06,,,,0,0,0.0,5.104896461720831,2.842905062358952
695549,Jackson Jobe,945,5.163,1.482,-0.05,0.491,0.35,0.471,0.325,0.65,72.4,P,False,SP,85.9090909090909,5.134,5.1543,0.9350846987380637,0.35534831657586163,0.7980236065163994,0.42855261718187465,0.033,2.1916,12.05,,,,0,0,0.0,5.02105408250952,3.2705029437181192
641401,Connor Brogdon,840,5.068,1.344,-0.053,0.502,0.35,0.48,0.337,0.65,53.8,P,False,RP,19.53488372093023,5.392,5.1652,0.9409304351982923,0.33657105031417933,0.8052365816931113,0.4376272825548591,0.033,2.1909,,2.19,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.065992478786948,3.067801408851029
668941,Jojo Romero,1007,5.083,1.52,-0.053,0.465,0.331,0.498,0.312,0.669,56.0,P,False,RP,15.257575757575758,5.16,5.1061,0.9000419728321439,0.3055756266371046,0.818359730707076,0.42666805784753026,0.033,2.1898,,2.19,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.102467265620481,2.780258285169376
660825,Eduard Bazardo,1407,5.093,1.513,-0.052,0.46,0.268,0.553,0.337,0.732,58.5,P,False,RP,16.951807228915662,5.269,5.1457999999999995,0.8908520282038845,0.19300753150074468,0.8915503204328072,0.44186338329685887,0.033,2.1896,,2.19,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.102835919285131,2.763358033215677
596133,Luke Weaver,1091,5.258,1.363,-0.046,0.476,0.349,0.482,0.337,0.651,85.9,P,False,RP,16.044117647058822,4.939,5.1623,0.9388913174100257,0.3328298329437591,0.8069697816043329,0.43826051410907546,0.033,2.1896,,2.19,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.040031415696132,3.219566823678054
682274,Yaramil Hiraldo,314,5.124,1.283,-0.051,0.492,0.391,0.448,0.323,0.609,64.3,P,False,RP,17.444444444444443,5.166,5.1366,0.9454291151701041,0.40251128427887095,0.760201989441583,0.4305083894540112,0.033,2.1887,,2.19,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
696147,Sam Bachman,334,5.188,1.507,-0.049,0.436,0.36,0.5,0.319,0.64,76.2,P,False,RP,14.521739130434783,4.842,5.084199999999999,0.902327942381403,0.3033748674629697,0.801015891085386,0.4381319810402424,0.033,2.1887,,2.19,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
573124,Taylor Rogers,923,5.152,1.63,-0.05,0.43,0.259,0.543,0.315,0.741,70.2,P,False,RP,15.64406779661017,5.058,5.123799999999999,0.8746988231082832,0.21467291962465707,0.8877712181802675,0.42566684745822764,0.033,2.1879,,2.19,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.043823637222694,2.974950142685965
601713,Nick Pivetta,3011,5.241,1.273,-0.047,0.493,0.295,0.518,0.332,0.705,83.1,P,False,SP,91.24242424242425,4.958,5.1560999999999995,0.9094393938728212,0.2617583899062419,0.8579642865024288,0.43484151008668,0.033,2.187,12.03,,,,0,0,0.0,5.163411049457381,2.6642800501588617
695534,Chase Petty,169,5.125,1.45,-0.051,0.437,0.383,0.418,0.31,0.617,64.7,P,True,SP,56.333333333333336,5.243,5.1604,0.954322559435598,0.4602267567544799,0.7512259959979377,0.4129022191184307,0.033,2.1841,12.01,,,,0,0,0.0,,
671305,Michel Otañez,121,5.135,1.484,-0.051,0.391,0.464,0.355,0.31,0.536,67.0,P,True,RP,20.166666666666668,5.231,5.163799999999999,0.9953362387675182,0.5852058038365731,0.6699929542717726,0.4121598097100393,0.033,2.1828,,2.18,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
667297,Tommy Nance,509,5.15,1.488,-0.05,0.456,0.344,0.524,0.321,0.656,69.8,P,False,RP,15.424242424242424,4.861,5.0633,0.8833778632494832,0.25735329223222414,0.8238973522167997,0.44460473911043513,0.033,2.1799,,2.18,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.069108187300938,2.8653288726234143
656986,Bennett Sousa,728,5.177,1.487,-0.049,0.49,0.355,0.5,0.345,0.645,74.6,P,False,RP,16.545454545454547,5.04,5.1358999999999995,0.9276358170792572,0.29918319963412965,0.8144285084907832,0.45166159987219856,0.033,2.1777,,2.18,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,5.112701787184292,2.8636989267366664
673540,Kodai Senga,1901,5.113,1.533,-0.051,0.46,0.398,0.454,0.333,0.602,62.5,P,False,SP,86.4090909090909,5.172,5.1307,0.9456517199395332,0.3910606172755262,0.7630964985952629,0.44134230696161625,0.033,2.1758,11.97,,,,0,0,0.0,4.934758485804049,3.5880689570260733
625643,Reynaldo López,166,5.063,1.446,-0.053,0.457,0.367,0.518,0.345,0.633,52.2,P,True,SP,83.0,5.164,5.093299999999999,0.9105951386098623,0.2668500096287014,0.8134084512140398,0.4609635530479298,0.033,2.1754,11.96,,,,0,0,0.0,,
606160,Rafael Montero,1098,5.264,1.388,-0.046,0.515,0.37,0.43,0.323,0.63,86.5,P,False,RP,18.3,4.975,5.1773,0.9570963410989989,0.4349985201039277,0.7706369199745977,0.42162131212414594,0.033,2.1752,,2.18,+5/save (role-dependent),+3/hold (role-dependent),28,0,140.0,5.12439669015191,3.0014304959109044
671737,Taj Bradley,2373,5.056,1.414,-0.054,0.485,0.328,0.494,0.335,0.672,51.5,P,False,SP,84.75,5.378,5.1526,0.9235287160365764,0.3097582377680069,0.8286172494211654,0.43846944071440785,0.033,2.1752,11.96,,,,0,0,0.0,4.926390164798151,3.595722854385655
694738,Landen Roupp,1851,5.18,1.468,-0.049,0.434,0.324,0.482,0.313,0.676,75.3,P,False,SP,84.13636363636364,5.01,5.129,0.9089365717162832,0.3355296886246175,0.8202862471046681,0.4226222740091376,0.033,2.1749,11.96,,,,0,0,0.0,5.098152527184415,2.8670026411341043
688107,Robert Gasser,162,5.154,1.353,-0.05,0.429,0.327,0.492,0.325,0.673,70.6,P,True,RP,40.5,5.09,5.134799999999999,0.9134986373990049,0.3151777438049066,0.8258259935409872,0.43281055349470965,0.033,2.1739,,2.17,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
681293,Spencer Arrighetti,618,5.132,1.447,-0.051,0.465,0.348,0.493,0.334,0.652,66.5,P,False,SP,88.28571428571429,5.119,5.1281,0.9200658187772476,0.31373278804235416,0.8142016254846185,0.44286459368616127,0.033,2.1734,11.95,,,,0,0,0.0,4.977040388567732,3.3751076217400664
622786,Jesús Tinoco,330,5.087,1.405,-0.052,0.488,0.35,0.478,0.31,0.65,57.1,P,False,RP,15.714285714285714,5.12,5.0969,0.9043007287548388,0.3460849320833116,0.8001933940839496,0.4267678065986874,0.033,2.1715,,2.17,+5/save (role-dependent),+3/hold (role-dependent),2,18,64.0,,
655889,Manuel Rodríguez,438,5.048,1.439,-0.054,0.501,0.341,0.492,0.313,0.659,49.7,P,False,RP,13.6875,5.191,5.0908999999999995,0.8967284212155368,0.3187370130057976,0.8131555315712891,0.43094162649729156,0.033,2.17,,2.17,+5/save (role-dependent),+3/hold (role-dependent),0,8,24.0,5.001476581663769,3.223102288544263
680885,Spencer Schwellenbach,1573,5.163,1.468,-0.05,0.539,0.334,0.535,0.338,0.666,72.1,P,False,SP,92.52941176470588,4.904,5.0853,0.890338296327518,0.2336997341397009,0.8423613650586504,0.45602846553489745,0.033,2.1692,11.93,,,,0,0,0.0,5.210185837214184,2.401352786289455
666974,Yennier Cano,994,5.012,1.553,-0.055,0.49,0.351,0.485,0.303,0.649,45.1,P,False,RP,15.06060606060606,5.2,5.0684,0.8894998350888675,0.3344784295974641,0.8006516258237415,0.4263090111068404,0.033,2.1688,,2.17,+5/save (role-dependent),+3/hold (role-dependent),0,8,24.0,5.049674058334804,2.979966540225538
