batter_name,batter,pa,confidence,primary_position,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Teoscar Hernández,606192,92,Signal,OF,OF,107.6,87.1,89.2,114.6,0.445,0.299,0.427,0.067,Power+ strong (top 25%); xwOBA above model expectation
Leody Taveras,665750,65,Watch,OF,OF,115.5,109.0,96.0,114.6,0.481,0.306,0.442,0.066,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Jorge Soler,624585,101,Signal,OF,DH,108.6,102.0,84.8,114.6,0.459,0.289,0.439,0.067,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ketel Marte,606466,100,Signal,2B,2B,121.1,91.1,116.1,114.4,0.491,0.307,0.44,0.066,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Cam Smith,701358,104,Signal,OF,OF,113.4,95.7,98.2,114.2,0.467,0.335,0.438,0.065,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Jake Burger,669394,107,Signal,1B,1B,112.1,72.5,106.1,114.2,0.495,0.328,0.425,0.065,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Edouard Julien,666397,79,Watch,2B,2B,112.7,86.3,101.5,114.1,0.37,0.227,0.453,0.064,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Jesús Sánchez,660821,83,Signal,OF,OF,118.6,99.4,108.5,113.8,0.558,0.338,0.421,0.063,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Bryan Reynolds,668804,106,Signal,OF,OF,109.6,87.4,96.4,113.3,0.421,0.247,0.431,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ildemaro Vargas,545121,72,Watch,2B,,123.7,74.6,131.6,113.0,0.507,0.338,0.426,0.059,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Moisés Ballesteros,694208,64,Watch,C,DH,121.5,110.7,112.0,112.6,0.455,0.268,0.428,0.057,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Hunter Goodman,696100,104,Signal,C,C,106.2,99.2,85.5,112.6,0.538,0.338,0.428,0.057,Power+ strong (top 25%); xwOBA above model expectation
José Ramírez,608070,116,Signal,3B,3B,117.6,95.6,111.0,112.5,0.438,0.303,0.432,0.056,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Brandon Nimmo,607043,117,Signal,OF,OF,116.5,104.2,105.2,112.3,0.492,0.27,0.425,0.055,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Jeremiah Jackson,669236,83,Signal,2B,2B,119.5,132.1,99.3,112.2,0.607,0.348,0.426,0.055,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Carter Jensen,695600,82,Signal,C,DH,109.1,94.6,95.0,112.0,0.422,0.277,0.424,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Corey Seager,608369,104,Signal,SS,SS,112.2,114.4,92.7,111.9,0.503,0.284,0.408,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Jackson Merrill,701538,102,Signal,OF,OF,114.4,108.5,100.3,111.7,0.59,0.378,0.395,0.052,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ezequiel Tovar,678662,107,Signal,SS,SS,112.2,111.9,94.8,111.5,0.62,0.402,0.403,0.051,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Roman Anthony,701350,112,Signal,OF,OF,106.0,64.5,103.1,111.4,0.353,0.244,0.419,0.051,Power+ strong (top 25%); xwOBA above model expectation
Carlos Cortes,666126,58,Watch,OF,,119.3,106.3,114.2,110.5,0.476,0.253,0.423,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Brandon Lowe,664040,94,Signal,2B,2B,110.7,101.0,98.7,110.5,0.478,0.316,0.41,0.046,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Brady House,691781,99,Signal,3B,3B,110.0,104.9,96.2,110.2,0.496,0.326,0.411,0.044,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Wilyer Abreu,677800,105,Signal,OF,OF,111.5,98.3,102.1,110.2,0.472,0.279,0.394,0.044,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
