rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_p25,xfp_rp3_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,mlb_id,atc,steamer,thebatx,zips,ext_n_systems,ext_mean_fp_per_g,ensemble_fp_per_start
21,668909,"Williams, Gavin",7,4.0,17.099999999999998,16.4,-0.7,11.524159519691588,mlb_lag,0,12.78588918570805,3.550589473597954,10.39101658576623,15.18076178564987,MIN,0.9818,0.9818,1.0145805163082555,12.97,11.285,1.501,hold,96.5,55.0,70.4,0.7266,0.0753,668909,11.97169518540103,11.677582846003892,11.495814141272291,11.964642857142858,4,11.777433757455016,12.382507014406837
22,601713,"Pivetta, Nick",4,0.0,10.7,10.7,0.0,14.076842151529954,mlb_lag,1,12.732119049109794,3.550589473597954,10.337246449167974,15.126991649051616,,,,1.0,12.73,11.285,1.448,il,75.2,155.0,68.0,0.7111,0.126,601713,14.078198895788699,13.64669753086419,13.933268805510238,13.826923076923077,4,13.871272077271552,13.187780260374497
23,608331,"Fried, Max",7,4.0,17.085714285714285,16.049999999999997,-1.036,14.379858154474435,mlb_lag,0,12.674818133270712,3.550589473597954,10.279945533328892,15.069690733212532,,,,1.0,12.67,11.285,1.39,hold,64.4,114.0,73.7,0.8331,0.0922,608331,14.420475944885457,13.954249512670563,14.684542635118655,13.914285714285715,4,14.243388451740095,13.302246260658464
24,543135,"Eovaldi, Nathan",7,4.0,10.128571428571428,13.624999999999998,3.496,14.755473043390015,mlb_lag,0,12.417807633090428,3.550589473597954,10.022935033148608,14.812680233032248,,,,1.0,12.42,11.285,1.133,hold,24.1,51.0,100.0,0.7083,0.2341,543135,14.107938391951327,13.369766803840877,13.880978426497713,12.378333333333334,4,13.434254238905812,12.82438627541658
25,657746,"Ryan, Joe",7,3.0,11.614285714285712,10.999999999999998,-0.614,13.693337578674686,mlb_lag,0,12.341102110406974,3.550589473597954,9.946229510465152,14.735974710348794,CLE,0.9754,0.9754,1.0212375957673212,12.6,11.285,1.056,hold,22.4,24.0,100.0,0.8443,0.2255,657746,14.43229206489855,14.002153635116594,13.870128626554237,13.196785714285713,4,13.875340010213773,12.954797270329692
26,690997,"McLean, Nolan",7,4.0,16.942857142857143,16.15,-0.793,10.354950255469117,mlb_lag,0,12.32868854172563,3.550589473597954,9.93381594178381,14.72356114166745,AZ,0.9477,0.9477,1.0394899422435482,12.82,11.285,1.044,hold,100.0,2.0,,,,690997,12.731223906238512,11.848456790123452,12.694054712892745,11.392307692307694,4,12.1665107753906,12.26381743519162
27,666142,"Ragans, Cole",6,4.0,10.699999999999998,11.124999999999996,0.425,14.830233979817717,mlb_lag,0,12.1681352554818,3.550589473597954,9.77326265553998,14.56300785542362,,,,1.0,12.17,11.285,0.884,hold,10.0,6.0,100.0,0.9404,0.4279,666142,15.254294841502373,15.223779149519888,15.76635401308079,14.038571428571426,4,15.070749858168622,13.329181096556528
28,693433,"Woo, Bryan",7,4.0,10.171428571428567,5.224999999999998,-4.946,15.014729802280623,mlb_lag,0,12.161653946710196,3.550589473597954,9.766781346768376,14.556526546652016,,,,1.0,12.16,11.285,0.877,hold,1.6,1.0,100.0,0.9381,0.4702,693433,15.521066198688247,14.235315624999997,15.723838642493769,14.973703703703702,4,15.113481042471427,13.342384785014689
29,677952,"Ashcraft, Braxton",7,4.0,15.185714285714283,14.349999999999998,-0.836,10.354950255469117,mlb_lag,0,12.099062592238656,3.550589473597954,9.704189992296834,14.493935192180476,,,,1.0,12.1,11.285,0.814,hold,0.0,0.0,,,,677952,11.948426967292672,12.015582010582012,12.56713446126447,13.67,4,12.55028585978479,12.279551899257111
30,656876,"Rasmussen, Drew",6,3.0,14.199999999999998,10.133333333333333,-4.067,11.670467195483408,mlb_lag,0,12.079660328780092,3.550589473597954,9.684787728838272,14.474532928721912,,,,1.0,12.08,11.285,0.795,hold,65.8,50.0,65.2,0.855,0.0909,656876,11.95325557666596,11.991130604288498,10.555241010484833,10.64607142857143,4,11.286424655002682,11.762366059269127
