pitcher,fp_per_start_5-day,fp_per_start_6-day,fp_per_start_7+ day,fp_per_start_short(<=4),gs_5-day,gs_6-day,gs_7+ day,gs_short(<=4),annual_rate,total_gs,lift_short(<=4)_pct,lift_5-day_pct,lift_6-day_pct,lift_7+ day_pct,player_name,rank
641154,11.945614035087717,13.460526315789473,11.01,13.2,57.0,76.0,20.0,1.0,12.579870129870129,154,4.9,-5.0,7.0,-12.5,,
641302,3.6529411764705872,8.7,9.633333333333333,,17.0,14.0,18.0,,7.291836734693876,49,,-49.9,19.3,32.1,,
641482,14.691176470588234,12.692307692307692,12.185714285714285,,34.0,39.0,14.0,,13.391954022988505,87,,9.7,-5.2,-9.0,,
641540,11.302439024390244,8.139285714285714,7.2714285714285705,10.0,41.0,28.0,21.0,1.0,9.384615384615383,91,6.6,20.4,-13.3,-22.5,,
641712,6.916216216216215,8.39032258064516,5.937499999999998,,37.0,31.0,16.0,,7.273809523809523,84,,-4.9,15.3,-18.4,,
641745,8.72272727272727,7.845238095238094,8.273333333333332,,44.0,42.0,15.0,,8.29108910891089,101,,5.2,-5.4,-0.2,,
641771,8.411764705882351,6.053333333333332,4.936363636363636,,17.0,30.0,11.0,,6.532758620689654,58,,28.8,-7.3,-24.4,,
641778,11.393333333333333,9.366666666666665,8.282857142857143,,30.0,54.0,35.0,,9.558823529411763,119,,19.2,-2.0,-13.3,"Lauer, Eric",160.0
641793,10.637037037037036,11.115151515151513,9.428571428571427,,27.0,33.0,14.0,,10.62162162162162,74,,0.1,4.6,-11.2,"Littell, Zack",175.0
641816,12.719999999999997,10.451999999999998,5.774999999999999,18.5,50.0,50.0,20.0,1.0,10.682644628099172,121,73.2,19.1,-2.2,-45.9,"Mahle, Tyler",97.0
641927,12.054285714285713,12.468421052631578,12.377777777777776,,35.0,57.0,18.0,,12.32181818181818,110,,-2.2,1.2,0.5,"Ober, Bailey",99.0
642232,8.270588235294115,8.38235294117647,9.96296296296296,,17.0,17.0,27.0,,9.050819672131146,61,,-8.6,-7.4,10.1,,
642545,9.076923076923077,7.809523809523808,7.849999999999999,,13.0,21.0,18.0,,8.140384615384615,52,,11.5,-4.1,-3.6,,
642547,12.766666666666667,13.965822784810126,12.666666666666664,,45.0,79.0,30.0,,13.36233766233766,154,,-4.5,4.5,-5.2,"Peralta, Freddy",20.0
