pitcher,fp_per_start_5-day,fp_per_start_6-day,fp_per_start_7+ day,fp_per_start_short(<=4),gs_5-day,gs_6-day,gs_7+ day,gs_short(<=4),annual_rate,total_gs,lift_short(<=4)_pct,lift_5-day_pct,lift_6-day_pct,lift_7+ day_pct,player_name,rank
605488,11.195833333333333,11.895999999999999,9.376923076923076,,24.0,25.0,13.0,,11.096774193548386,62,,0.9,7.2,-15.5,"Springs, Jeffrey",81.0
605507,4.154545454545453,8.98181818181818,9.575,,11.0,11.0,12.0,,7.629411764705882,34,,-45.5,17.7,25.5,,
605513,8.069230769230767,13.076470588235292,6.912499999999999,,26.0,17.0,8.0,,9.556862745098037,51,,-15.6,36.8,-27.7,,
605540,15.249999999999998,16.03934426229508,15.941176470588236,,22.0,61.0,17.0,,15.848999999999998,100,,-3.8,1.2,0.6,"Woodruff, Brandon",35.0
607067,10.242105263157892,9.273333333333333,9.666666666666666,,19.0,30.0,24.0,,9.654794520547945,73,,6.1,-4.0,0.1,"Rea, Colin",79.0
607074,13.822222222222221,13.138709677419353,13.906896551724136,,63.0,62.0,29.0,,13.562987012987012,154,,1.9,-3.1,2.5,,
607192,16.875999999999998,16.419047619047618,15.159999999999998,,25.0,42.0,25.0,,16.20108695652174,92,,4.2,1.3,-6.4,"Glasnow, Tyler",6.0
607200,9.165306122448978,6.483333333333332,7.989655172413792,,49.0,48.0,29.0,,7.873015873015872,126,,16.4,-17.7,1.5,"Fedde, Erick",135.0
607231,9.227272727272727,8.155555555555555,9.355555555555554,,11.0,18.0,9.0,,8.749999999999998,38,,5.5,-6.8,6.9,,
607259,11.056249999999999,9.079999999999998,11.153333333333332,0.7999999999999989,16.0,25.0,15.0,1.0,10.035087719298243,57,-92.0,10.2,-9.5,11.1,"Martinez, Nick",107.0
607536,7.996551724137929,8.411267605633801,8.133333333333331,34.4,87.0,71.0,24.0,1.0,8.31967213114754,183,313.5,-3.9,1.1,-2.2,"Freeland, Kyle",113.0
607625,13.854761904761904,11.678124999999998,8.574999999999998,,42.0,32.0,12.0,,12.308139534883718,86,,12.6,-5.1,-30.3,"Lugo, Seth",66.0
607644,13.661904761904761,10.996153846153845,10.518181818181818,,21.0,26.0,11.0,,11.870689655172415,58,,15.1,-7.4,-11.4,,
608331,15.048387096774192,13.988571428571428,12.39310344827586,,62.0,70.0,29.0,,14.109316770186334,161,,6.7,-0.9,-12.2,"Fried, Max",23.0
608337,12.41038961038961,10.867142857142856,9.335714285714285,,77.0,70.0,28.0,,11.301142857142857,175,,9.8,-3.8,-17.4,,
608344,8.46470588235294,10.756756756756754,10.470588235294116,,34.0,37.0,17.0,,9.81590909090909,88,,-13.8,9.6,6.7,,
608379,9.196491228070174,12.055072463768115,12.777142857142856,5.6,57.0,69.0,35.0,1.0,11.16543209876543,162,-49.8,-17.6,8.0,14.4,"Wacha, Michael",54.0
