mlbam_id,player_name,team,proj_ros_pa_per_teamgame,naive_pace,volume_percentile,pa_to,team_games_to,pa_per_teamgame_to,started_pct_to,lineup_spot_to,pa_per_started_game_to,pa_last21,prior1_pa_per_g,is_catcher,is_on_il_at_split,career_stage,split_day
675961,Alika Williams,ATH,1.3471,0.95,30.2,95,100.0,0.95,0.7419,8.8696,3.6522,29.0,0.0,0,0.0,3,117
699393,Pedro Ramírez,CHC,1.3449,0.76,30.0,76,100.0,0.76,0.5185,7.3571,4.0714,22.0,0.0,0,0.0,0,117
683357,Owen Caissie,MIA,1.343,2.4356,29.8,246,101.0,2.4356,0.8734,6.5217,3.3188,20.0,0.1667,0,1.0,1,117
519317,Giancarlo Stanton,NYY,1.3398,0.96,29.6,96,100.0,0.96,0.9583,4.5217,4.1304,0.0,1.7346,0,1.0,11,117
596142,Gary Sánchez,MIL,1.3367,1.81,29.4,181,100.0,1.81,0.7455,4.8049,4.0,23.0,0.6235,1,0.0,11,117
682997,Tyler Callihan,PIT,1.3362,0.9307,29.2,94,101.0,0.9307,0.7333,7.0455,3.7273,27.0,0.037,0,0.0,1,117
664056,Harrison Bader,SF,1.3283,1.11,29.0,111,100.0,1.11,0.9,7.3333,3.9259,0.0,3.0926,0,1.0,9,117
642708,Amed Rosario,NYY,1.3195,1.66,28.8,166,100.0,1.66,0.7321,4.0488,3.561,22.0,1.179,0,0.0,9,117
686668,Brenton Doyle,COL,1.3188,1.1961,28.7,122,102.0,1.1961,0.7632,5.7931,3.7241,0.0,3.321,0,1.0,3,117
663494,Bryan Torres,STL,1.3148,0.7475,28.5,74,99.0,0.7475,0.6923,6.6667,3.5556,21.0,0.0,0,0.0,0,117
669720,Austin Hays,CWS,1.3043,0.4444,28.3,44,99.0,0.4444,0.8333,4.7,4.0,0.0,2.5679,0,1.0,9,117
624641,Edmundo Sosa,PHI,1.3023,1.6535,28.1,167,101.0,1.6535,0.7963,6.814,3.5349,22.0,1.6111,0,0.0,8,117
