batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag,season_stage
Luke Raley,670042,463,Tier A,OF,1B|OF,"1B, OF",108.3,111.2,89.3,110.4,0.52,0.302,0.321,0.045,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Ronald Acuña,660670,224,Tier C,OF,OF,OF,110.7,120.5,90.5,110.3,0.471,0.231,0.351,0.045,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Starling Marte,516782,448,Tier A,OF,OF,OF,113.3,106.4,102.3,110.2,0.502,0.329,0.348,0.044,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Nick Castellanos,592206,703,Tier A,OF,OF,OF,114.8,112.4,102.8,110.2,0.581,0.388,0.342,0.044,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Bryan Reynolds,668804,706,Tier A,OF,OF|DH,"OF, DH",112.4,113.9,97.3,110.1,0.502,0.276,0.355,0.044,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Manny Machado,592518,674,Tier A,3B,3B|DH,"3B, DH",114.7,104.7,107.0,109.7,0.52,0.298,0.343,0.042,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Jarred Kelenic,672284,453,Tier A,OF,OF,OF,106.8,101.7,92.2,109.7,0.5,0.294,0.312,0.042,Power+ strong (top 25%); xwOBA above model expectation,mature
Wilyer Abreu,677800,468,Tier A,OF,OF,OF,107.6,104.2,93.0,109.5,0.484,0.268,0.324,0.041,Power+ strong (top 25%); xwOBA above model expectation,mature
Willy Adames,642715,700,Tier A,SS,SS,SS,109.0,113.4,92.3,109.3,0.498,0.294,0.339,0.04,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Ian Happ,664023,662,Tier A,OF,OF,OF,106.1,105.9,90.2,109.0,0.459,0.241,0.348,0.038,Power+ strong (top 25%); xwOBA above model expectation,mature
Freddie Freeman,518692,697,Tier A,1B,1B,1B,114.1,114.0,103.2,109.0,0.497,0.265,0.372,0.038,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Jake Bauers,641343,352,Tier B,1B,1B,1B,101.9,114.3,77.9,108.9,0.459,0.245,0.308,0.038,Power+ strong (top 25%); xwOBA above model expectation,mature
Mj Melendez,669004,468,Tier A,OF,OF,OF,108.4,117.9,91.0,108.4,0.528,0.261,0.324,0.035,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Brenton Doyle,686668,614,Tier A,OF,OF,OF,110.8,114.7,97.8,108.2,0.514,0.31,0.331,0.034,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Dominic Canzone,686527,195,Tier C,OF,OF,OF,105.9,90.4,98.7,108.1,0.52,0.393,0.311,0.034,Power+ strong (top 25%); xwOBA above model expectation,mature
Jarren Duran,680776,748,Tier A,OF,OF,OF,111.4,97.5,107.0,108.1,0.485,0.305,0.342,0.034,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
