name,team,inj,pl_rank,pl_inj_tier,pl_stream,rp3_rank,rp3_ps,tag,gs_pre,gs_post,pre_fp,post_fp,l8,z_kbb,z_fp,mech,persist,verdict,price,own
Cal Quantrill,Tex,ACTIVE,83.0,,,230.0,8.56,data_driven_full,4.0,6.0,10.03,14.33,13.54,1.34,0.75,"SI-7pp,FF+7pp,FS+11pp,FC-9pp,K%+9.2",False,WATCH,8.56,17.2
Gabriel Hughes,Col,ACTIVE,,,#13 Do Not Start,245.0,8.39,data_driven_full,1.0,8.0,14.8,3.95,3.95,,,,,INSUFFICIENT,8.39,0.4
Brandon Young,Bal,ACTIVE,,,#25 Do Not Start,248.0,8.36,data_driven_full,15.0,7.0,11.09,10.53,10.85,0.15,0.15,—,False,VARIANCE,8.36,17.9
Jackson Kent,Wsh,ACTIVE,,,#21 Do Not Start,251.0,8.34,data_driven_thin,0.0,3.0,,2.23,2.23,,,,,INSUFFICIENT,8.34,0.3
Jose Cabrera,Ari,ACTIVE,,,#11 Do Not Start,257.0,8.24,data_driven_thin,4.0,1.0,4.83,9.3,5.72,,,,,INSUFFICIENT,8.24,0.2
Jackson Jobe,Det,ACTIVE,62.0,,,266.0,8.13,data_driven_thin,0.0,4.0,,7.62,7.62,,,,,INSUFFICIENT,8.13,8.9
Cristian Javier,Hou,ACTIVE,86.0,,,192.0,9.12,data_driven_full,4.0,4.0,-3.57,6.92,1.67,2.51,3.43,"swstr+2.6,FC+6pp",True,NEW LEAF,8.02,2.1
Martin Perez,Atl,ACTIVE,97.0,,,273.0,8.02,data_driven_full,14.0,7.0,9.61,10.89,9.44,0.26,0.34,SI+8pp,True,VARIANCE,8.02,9.4
Rhett Lowder,Cin,ACTIVE,,,#26 Do Not Start,267.0,8.09,data_driven_full,13.0,7.0,6.83,7.17,6.2,0.15,0.06,"velo+0.8,whiff-5.1,FF-6pp,CU+7pp,K%-4.8",False,MIXED,7.95,3.0
Tylor Megill,NYM,SIXTY_DAY_DL,,81-90,,292.0,7.74,marcel_il,0.0,0.0,,,,,,,,INSUFFICIENT,7.74,0.0
Kohl Drake,Ari,ACTIVE,,,#27 Do Not Start,327.0,6.97,data_driven_thin,0.0,4.0,,4.75,4.75,,,,,INSUFFICIENT,6.97,0.2
Tomoyuki Sugano,Col,ACTIVE,,,#29 Do Not Start,351.0,6.34,data_driven_full,16.0,7.0,7.71,7.6,6.09,1.07,0.02,FF-6pp,False,VARIANCE,6.34,3.5
Zac Thornton,NYM,ACTIVE,98.0,,,,,,,,,,,,,,,UNRESOLVED,,10.4
Cody Ponce,Tor,SIXTY_DAY_DL,,61-70,,,,,,,,,,,,,,UNRESOLVED,,1.6
Robby Snelling,Mia,SIXTY_DAY_DL,,51-60,,,,,,,,,,,,,,UNRESOLVED,,0.7
Cooper Hjerpe,StL,ACTIVE,,,#14 Do Not Start,,,,,,,,,,,,,UNRESOLVED,,0.1
