pitcher,pitcher_name,year,num_pitches,pl_plv,pl_pla,pl_plv_FF,pl_plv_SI,pl_plv_SL,pl_plv_ST,pl_plv_CH,pl_plv_CU,pl_plv_FC,pl_plv_FS
681517,"Leahy, Kyle",2024,713,5.08540360274777,2.9099674853901805,3.411031076308337,,2.59712148680714,1.9003680592134682,3.777469293638056,3.788811389239637,,
666142,"Ragans, Cole",2024,3285,5.083718985149325,3.0503037727723727,2.5615167402403305,,2.9061964258079964,,3.057694170772514,3.9783956001072234,3.5585433122512207,
660896,"Alcala, Jorge",2024,1005,5.082087888709595,2.975698441976416,2.965743084239749,3.5697733078480205,2.7802813769342034,,3.700756543715679,,,
686752,"Pepiot, Ryan",2024,2364,5.081878016186626,3.104289649522446,2.915849785492915,,3.1627202614112804,,2.7776049463441996,5.588878796065387,2.6843202196235794,
605400,"Nola, Aaron",2024,3354,5.079718679757885,3.044788508012534,3.642094531441087,2.5888048774031187,,,3.616126191170304,2.4804826975197063,3.6414313779888676,
657044,"Thompson, Ryan",2024,1027,5.07914732186268,2.810189936646524,2.501494161095769,3.241772429398514,2.2634190447110196,,,,,
641154,"López, Pablo",2024,3059,5.078243593087174,2.979034002142975,3.199755734137181,3.0715676104481044,,2.7125641571686145,2.9963039469454884,3.714774870936015,,
625643,"López, Reynaldo",2024,2110,5.077300437251475,3.0222233751272833,2.847471802352139,,3.209962222986354,,3.306583064480934,3.5018745057077254,,
669622,"Bender, Anthony",2024,981,5.076609652180158,2.857399646079548,6.300969875703903,3.470584851263755,2.044317438950033,2.4030244365951923,2.8541750773787875,,3.693305602828202,
657277,"Webb, Logan",2024,3199,5.075284275731341,3.0145800369233733,5.440133249584264,3.253387992740649,,2.4227799786658224,2.690810246302801,,3.626927332994196,
572143,"Smith, Burch",2024,911,5.075192307946015,2.9715347021178795,2.9749547768837417,,,1.6246542151089738,,3.3433124510329613,2.805693202404756,
572955,"Johnson, Pierce",2024,929,5.074653142202472,2.982285546699539,3.8330160162621745,,,,,3.0279647750245253,3.6186594930969846,
656302,"Cease, Dylan",2024,3383,5.0737514427225925,3.1034033622428376,3.0751925837026413,,2.711272026038749,4.0980475059346215,3.22926902922579,4.050867114279145,3.9111092503545013,
682243,"Miller, Bryce",2024,2825,5.073723357163,3.047142284831831,2.790024315590612,3.420296379476911,3.5888492807607513,3.2145631309223734,,2.9031966527967867,4.716628079298124,3.361071382362052
607259,"Martinez, Nick",2024,2125,5.073634859078514,2.9555086570351676,3.2055389666559435,3.6610048905960753,2.4219593846295684,,2.612101742013923,3.2401624612684454,2.220300521297009,
596295,"Gomber, Austin",2024,2697,5.072479642941505,2.920274358310338,3.941519665879378,,2.54408941919891,,2.187886970570476,2.9657890890235397,,
663568,"Kolek, Stephen",2024,811,5.071796167276052,2.926914022594131,3.0167346654282667,2.8490218929027957,2.7893294576720216,3.5794764849819884,2.3611532021843082,,2.3232386013362536,
642207,"Williams, Devin",2024,435,5.0708356514805955,3.1870943638414646,3.7907223615481467,,,,2.2816283093371155,,,
642232,"Yarbrough, Ryan",2024,1542,5.066960866150889,2.9056449902087893,3.928708713469975,3.3683952376831883,,1.4106183575240543,3.2184791794154783,,4.1497886473913415,
683155,"Estes, Joey",2024,2027,5.066774966930051,2.957829557988923,3.419688319931282,4.68947577758817,2.860352188260208,1.537613559586168,3.95282487311165,,3.793329895931631,
571927,"Matz, Steven",2024,807,5.065765341041025,2.9641176265719764,,2.9119632115877874,3.700977893177585,,3.1719676151277874,3.1800394678582737,,
458677,"Wilson, Justin",2024,816,5.0657632111161295,3.068044411874478,2.9878247359814605,,2.5164356051196304,,,,2.727146734477742,
607192,"Glasnow, Tyler",2024,2011,5.0651156538373,2.9923576349631196,3.0478824694130413,3.312602530179202,2.5470254521843128,,,3.9362597801605332,,
688297,"Roycroft, Chris",2024,596,5.064866066836876,3.0130361413023525,4.1169872360568895,2.075253647492433,,3.0462700489497117,,,,
656546,"Hoffman, Jeff",2024,1085,5.064693918350304,3.0820528786030303,2.27337045110834,3.1736165417390083,3.6825019445941347,,,,,3.765337192797242
670280,"Bednar, David",2024,1053,5.064154058877165,3.1581142233767903,3.017887458455057,,,,,4.113422206204929,,3.3316675761301706
680573,"Woods Richardson, Simeon",2024,2295,5.063191731817267,2.9966651074501245,3.913546524235068,,2.7333157710417844,,2.3642353330964987,2.5664201588865208,,
668674,"Erceg, Lucas",2024,1073,5.062237208709038,3.053629965019769,3.490915776219108,3.008764031013188,2.9001247903700964,,2.729340380432756,,,
681867,"Criswell, Cooper",2024,1756,5.06035649074663,3.0100214359195547,,3.003719399159566,3.4997011825906963,2.5791384442139087,3.1344801957764084,,3.437305705273168,
656427,"Flaherty, Jack",2024,3113,5.0602821779796905,3.1197385138810256,3.3414111925244434,6.211729620445869,2.656138039165482,,5.7064106767665805,2.8892660507323757,,
608379,"Wacha, Michael",2024,2736,5.059697502136264,3.005527022916997,3.1326613894287068,4.0540518068865,3.9226707947091892,,1.886596242227034,3.7485386494587445,3.323373574356662,
622491,"Castillo, Luis",2024,2858,5.0574751432367,3.1302719992484773,3.2302354038557564,2.956508037729952,2.670448259134794,,3.404795086454058,,,
681982,"Anderson, Grant",2024,504,5.057384230603057,2.8956144808677307,3.692632541018062,2.855884138778853,2.4063976796795608,,4.601500762384626,,2.865690276431838,
607481,"Bummer, Aaron",2024,1002,5.055963345486828,3.0133522449208225,3.9618030724860045,2.9139026576350737,,2.70376706887029,4.277197665518349,6.313503282761178,3.3199656315323107,
681799,"Roberts, Ethan",2024,474,5.055849361502861,3.033704952124131,,4.103244770267306,,2.5043581612674792,,,3.2685497868801825,
670955,"Uceta, Edwin",2024,712,5.054925619837275,3.1815570893644702,3.087431915998266,,,2.731210049546073,3.5505958175056254,,2.061454159936499,
