player_name,pitcher,pitches,confidence,plv,plv_pctile,swing_pct,whiff_pct,cs_pct,xwoba_model,rolling_plv_30d,rolling_pitches_30d,rolling_trend_pitcher,tag
Seranthony Domínguez,622554,865,Tier B,5.122,66.3,0.443,0.365,0.457,0.321,5.133,194,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Connor Brogdon,641401,288,Tier C,5.118,65.8,0.473,0.365,0.477,0.339,4.895,36,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Eric Orze,679358,701,Tier B,5.117,65.7,0.495,0.384,0.495,0.331,5.344,44,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Yennier Cano,666974,673,Tier B,5.117,65.5,0.511,0.374,0.468,0.297,5.121,158,improving,"PLV-result divergence: whiff rate elite, results may catch up"
Justin Lawrence,664875,714,Tier B,5.117,65.4,0.387,0.381,0.451,0.308,4.719,40,flat,"PLV-result divergence: whiff rate elite, results may catch up"
José Fermin,820862,731,Tier B,5.114,64.9,0.508,0.388,0.479,0.317,5.033,192,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Joel Payamps,606303,198,Tier C,5.111,64.2,0.486,0.37,0.475,0.333,4.677,31,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Yunior Tur,814305,120,Tier C,5.11,64.0,0.486,0.381,0.469,0.323,5.377,73,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Lance Mccullers,621121,792,Tier B,5.103,63.3,0.436,0.362,0.457,0.319,5.3,47,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Edward Cabrera,665795,1363,Tier A,5.102,62.9,0.47,0.361,0.449,0.316,5.234,77,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Tyler Glasnow,607192,687,Tier B,5.101,62.7,0.459,0.37,0.459,0.331,5.21,111,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Jack Flaherty,656427,1720,Tier A,5.1,62.4,0.445,0.367,0.466,0.337,4.656,82,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Ken Waldichuk,686610,160,Tier C,5.097,62.0,0.413,0.368,0.439,0.334,5.355,25,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Chayce Mcdermott,694646,107,Tier C,5.097,61.8,0.451,0.384,0.436,0.334,5.213,68,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Mason Barnett,686930,743,Tier B,5.096,61.5,0.46,0.365,0.457,0.33,5.137,359,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Adam Macko,671936,400,Tier B,5.093,61.4,0.485,0.365,0.467,0.325,5.045,26,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Dax Fulton,690978,238,Tier C,5.092,60.9,0.417,0.415,0.396,0.319,5.011,75,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Trey Yesavage,702056,1549,Tier A,5.091,60.5,0.465,0.368,0.461,0.328,5.097,217,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Kyle Leahy,681517,2022,Tier A,5.085,59.1,0.476,0.366,0.498,0.334,5.034,453,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Nick Frasso,693308,111,Tier C,5.085,59.0,0.436,0.361,0.454,0.335,5.085,111,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Cj Van Eyk,669310,128,Tier C,5.082,58.8,0.448,0.362,0.437,0.319,5.066,91,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Scott Barlow,605130,613,Tier B,5.079,57.9,0.395,0.409,0.408,0.314,5.53,24,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Sam Bachman,696147,761,Tier B,5.077,57.7,0.443,0.362,0.468,0.311,4.913,74,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Max Rajcic,691008,179,Tier C,5.075,57.2,0.438,0.37,0.447,0.329,5.284,34,hot,"PLV-result divergence: whiff rate elite, results may catch up"
José Soriano,667755,2369,Tier A,5.074,57.1,0.485,0.367,0.453,0.312,4.932,360,improving,"PLV-result divergence: whiff rate elite, results may catch up"
Kendry Rojas,696070,521,Tier B,5.07,56.5,0.466,0.386,0.448,0.33,5.144,179,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Tyler Phillips,663969,1634,Tier A,5.069,56.3,0.469,0.394,0.466,0.321,4.991,404,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Chase Silseth,681217,884,Tier B,5.069,56.2,0.496,0.362,0.46,0.331,5.23,179,hot,"PLV-result divergence: whiff rate elite, results may catch up"
Yariel Rodríguez,684320,172,Tier C,5.069,56.0,0.459,0.372,0.442,0.316,5.031,27,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Paul Gervase,801434,124,Tier C,5.063,54.7,0.427,0.363,0.458,0.339,5.045,32,flat,"PLV-result divergence: whiff rate elite, results may catch up"
Shane Bieber,669456,829,Tier B,5.06,54.4,0.437,0.365,0.433,0.331,5.109,396,flat,"PLV-result divergence: whiff rate elite, results may catch up"
George Soriano,666277,906,Tier B,5.055,54.2,0.484,0.365,0.47,0.321,5.087,243,improving,"PLV-result divergence: whiff rate elite, results may catch up"
