player_type,mlbam_id,player_name,team,position,own,proj_vol,naive_pace,gap,volume_percentile,recent_raw,rate,rate_source,impact,flags,unit,direction
H,810938,Ben Williamson,TB,2B,FA,2.056,2.3565,-0.3005,50.0,44.0,0.3957006621167334,rh3,-0.11890804896607837,IL@split,PA/tg,FADER
SP,625643,Reynaldo López,ATL,SP,FA,0.1071,0.0948,0.012300000000000005,39.4,2.0,9.631497422329112,rp3_marcel_prior,0.11846741829464813,IL@split+IL-return+marcel-rate,GS/tg,RISER
H,642851,Austin Wynns,ATH,C,FA,0.9351,0.6379,0.2972,11.2,17.0,0.3964020957092012,rh3,0.1178107028447746,,PA/tg,RISER
H,686681,Michael Massey,KC,2B,FA,2.4588,2.7009,-0.24209999999999976,61.4,65.0,0.4850546054091856,rh3,-0.11743171996956371,,PA/tg,FADER
SP,693433,Bryan Woo,SEA,SP,Late Night Bettsing,0.1796,0.188,-0.00839999999999999,92.7,4.0,13.837010808511105,rp3,-0.11623089079149315,,GS/tg,FADER
H,641584,Jake Fraley,TB,OF,FA,1.0467,0.7826,0.2641,14.4,0.0,0.4384387038447164,rh3,0.1157916616853896,IL@split,PA/tg,RISER
H,823550,Sung-Mun Song,SD,2B,FA,1.3455,1.0855,0.26,27.6,28.0,0.4443697633861511,rh3,0.11553613848039929,,PA/tg,RISER
H,596117,Garrett Stubbs,PHI,?,FA,0.5757,0.3248,0.2509,3.6,6.0,0.4589797855457472,median_fallback,0.11515802819342798,med-rate,PA/tg,RISER
H,660688,Keibert Ruiz,WSH,C,2015 Draft First Round,2.0008,2.2203,-0.21950000000000003,48.5,49.0,0.5231288231835527,rh3,-0.11482677668878984,,PA/tg,FADER
SP,691951,Sam Aldegheri,LAA,SP,FA,0.0683,0.0517,0.016599999999999997,12.8,0.0,6.910800439516244,rp3,0.11471928729596963,,GS/tg,RISER
SP,700712,Walbert Ureña,LAA,SP,FA,0.1459,0.1552,-0.009300000000000003,64.6,3.0,12.320817657656264,rp3,-0.11458360421620328,,GS/tg,FADER
SP,669432,Trevor Rogers,BAL,SP,FA,0.1715,0.181,-0.00949999999999998,88.7,4.0,11.950180832385444,rp3,-0.11352671790766149,,GS/tg,FADER
H,672016,Denzel Clarke,ATH,OF,FA,0.8083,0.5172,0.2911,7.8,0.0,0.3881561528123518,rh3,0.11299225608367561,IL@split,PA/tg,RISER
H,606115,Orlando Arcia,MIN,SS,FA,0.7112,0.4274,0.28380000000000005,5.9,0.0,0.3911567581908988,rh3,0.1110102879745771,,PA/tg,RISER
SP,682052,Jacob Lopez,ATH,SP,FA,0.1417,0.1293,0.012399999999999994,60.2,4.0,8.877408949618552,rp3,0.11007987097526999,,GS/tg,RISER
SP,669387,Carmen Mlodzinski,PIT,SP,FA,0.0985,0.0847,0.013800000000000007,34.3,1.0,7.894682916421475,rp3,0.10894662424661641,,GS/tg,RISER
H,672580,Maikel Garcia,KC,3B,FA,2.2997,2.5128,-0.21309999999999985,56.8,0.0,0.5108792633659578,rh3,-0.10886837102328553,IL@split,PA/tg,FADER
H,664983,Jake McCarthy,COL,OF,Late Night Bettsing,3.1522,3.3534,-0.20120000000000005,77.4,78.0,0.5396711832186029,rh3,-0.10858184206358291,,PA/tg,FADER
H,624424,Michael Conforto,CHC,DH,FA,1.4498,1.7009,-0.2511000000000001,31.0,34.0,0.4315902462738992,rh3,-0.10837231083937614,,PA/tg,FADER
H,677588,José Tena,WSH,DH,FA,1.6598,1.9237,-0.2639,38.0,40.0,0.4064139051821454,rh3,-0.10725262957756818,,PA/tg,FADER
H,666181,Will Benson,CIN,OF,FA,0.7104,0.9913,-0.2808999999999999,5.7,0.0,0.3799259159391031,rh3,-0.10672118978729403,,PA/tg,FADER
H,687363,Victor Scott II,STL,OF,FA,1.2707,1.5862,-0.3155000000000001,25.1,0.0,0.3377760185342806,rh3,-0.10656833384756556,,PA/tg,FADER
SP,500779,Jose Quintana,COL,SP,FA,0.0928,0.0776,0.015199999999999991,29.6,0.0,6.920706920511664,rp3_marcel_prior,0.10519474519177724,IL@split+IL-return+marcel-rate,GS/tg,RISER
H,693307,Dillon Dingler,DET,C,Boone's Bad Bullpen,3.6998,3.9052,-0.20539999999999958,91.4,88.0,0.5120007747937072,rh3,-0.10516495914262725,,PA/tg,FADER
H,702332,Caleb Durbin,BOS,3B,FA,3.3893,3.5739,-0.1846000000000001,82.1,85.0,0.5650472844539741,rh3,-0.10430772871020368,,PA/tg,FADER
H,641857,Ryan McMahon,NYY,3B,FA,2.1153,2.3966,-0.2812999999999999,51.1,50.0,0.3666429884682921,rh3,-0.10313667265613052,,PA/tg,FADER
H,676439,Hunter Feduccia,TB,C,FA,1.1292,1.4348,-0.3056000000000001,19.4,25.0,0.3362025057507801,rh3,-0.10274348575743843,,PA/tg,FADER
H,543309,Kyle Higashioka,TEX,C,FA,1.3406,1.6034,-0.2627999999999999,27.4,9.0,0.384454131431832,rh3,-0.10103454574028542,IL@split,PA/tg,FADER
H,681351,Logan O'Hoppe,LAA,C,FA,1.881,2.2069,-0.3259000000000001,46.0,20.0,0.3086155002559342,rh3,-0.10057779153340898,,PA/tg,FADER
H,800050,Chase DeLauter,CLE,OF,U Just Lost To Edwin Diaz,3.7473,3.5812,0.16610000000000014,93.3,86.0,0.6007274657033154,rh3,0.09978083205332076,,PA/tg,RISER
SP,527048,Martín Pérez,ATL,SP,FA,0.1669,0.1552,0.011699999999999988,85.8,4.0,8.465453203644316,rp3,0.09904580248263839,IL-return,GS/tg,RISER
H,695336,Thomas Saggese,STL,OF,FA,1.0221,0.7069,0.31520000000000004,13.5,0.0,0.3128052310498536,rh3,0.09859620882691386,,PA/tg,RISER
H,672761,Wenceel Pérez,DET,OF,FA,1.3073,1.5086,-0.20130000000000003,26.8,0.0,0.4883004825129912,rh3,-0.09829488712986514,IL@split,PA/tg,FADER
H,669224,Austin Wells,NYY,C,FA,2.0302,2.2672,-0.2370000000000001,49.4,40.0,0.4141382972956006,rh3,-0.09815077645905738,,PA/tg,FADER
SP,669194,Ryne Nelson,AZ,SP,FA,0.1096,0.1197,-0.010099999999999998,41.2,0.0,9.604344404163692,rp3_marcel_prior,-0.09700387848205327,IL@split+IL-return+marcel-rate,GS/tg,FADER
H,677870,Leo Jiménez,MIA,3B,FA,1.563,1.3333,0.22970000000000002,35.4,29.0,0.4202295130434645,rh3,0.09652671914608381,,PA/tg,RISER
