date,team_id,team_name,action,player,role,ros_fp,still_held
2026-04-19 21:58:13.292,9,Frendy's Fantastic Team,FA ADDED,Jorge Soler,hitter,192.8,False
2026-04-19 21:58:13.292,9,Frendy's Fantastic Team,DROPPED,Shane McClanahan,pitcher,271.57936070366026,False
2026-04-19 11:32:40.310,8,New York Ligers,DROPPED,Ceddanne Rafaela,hitter,142.1,False
2026-04-19 11:32:40.310,8,New York Ligers,FA ADDED,Kyle Stowers,hitter,69.5,False
2026-04-19 11:21:39.023,8,New York Ligers,FA ADDED,Louis Varland,pitcher,194.9,False
2026-04-19 11:21:39.023,8,New York Ligers,DROPPED,Trey Yesavage,pitcher,237.57494611486914,False
2026-04-19 11:05:52.734,8,New York Ligers,DROPPED,Bubba Chandler,pitcher,227.3433735951119,False
2026-04-19 11:05:52.734,8,New York Ligers,FA ADDED,Parker Messick,pitcher,273.5356591916,True
2026-04-19 10:23:13.882,10,Treasure Island Mashers,FA ADDED,Nolan Arenado,hitter,167.2,True
2026-04-18 13:40:33.667,8,New York Ligers,DROPPED,Daniel Palencia,pitcher,155.1,True
2026-04-18 13:40:33.667,8,New York Ligers,FA ADDED,Alex Vesia,pitcher,143.9,False
2026-04-17 07:48:20.806,9,Frendy's Fantastic Team,DROPPED,Yainer Diaz,hitter,138.4,False
2026-04-17 07:48:20.806,9,Frendy's Fantastic Team,FA ADDED,Jo Adell,hitter,194.2,True
2026-04-16 20:03:55.556,7,2015 Draft First Round,DROPPED,Michael Busch,hitter,197.8,False
2026-04-16 20:03:55.556,7,2015 Draft First Round,FA ADDED,Ildemaro Vargas,hitter,186.6,True
2026-04-16 09:13:00.647,2,Team Solomon,DROPPED,Merrill Kelly,pitcher,198.1861189366781,False
2026-04-16 09:13:00.647,2,Team Solomon,FA ADDED,Jazz Chisholm Jr.,hitter,170.0,True
2026-04-16 08:23:17.545,9,Frendy's Fantastic Team,FA ADDED,Cam Smith,hitter,161.4,True
2026-04-16 08:23:17.545,9,Frendy's Fantastic Team,DROPPED,Jeremy Pena,,0.0,False
2026-04-15 11:21:38.622,5,U Just Lost To Edwin Diaz,DROPPED,Joey Wiemer,hitter,82.8,False
2026-04-15 11:21:38.622,5,U Just Lost To Edwin Diaz,FA ADDED,Ramon Laureano,hitter,180.6,False
2026-04-15 03:15:16.744,10,Treasure Island Mashers,FA ADDED,Agustin Ramirez,hitter,156.2,True
2026-04-14 09:29:50.277,8,New York Ligers,DROPPED,Andrew Abbott,pitcher,206.99931834380857,False
2026-04-14 09:29:50.277,8,New York Ligers,FA ADDED,Jeffrey Springs,pitcher,241.1234286916393,False
2026-04-12 11:22:33.535,5,U Just Lost To Edwin Diaz,DROPPED,Kyle Harrison,pitcher,269.4985698269903,False
2026-04-12 11:22:33.535,5,U Just Lost To Edwin Diaz,FA ADDED,Taj Bradley,pitcher,270.3847651227194,True
2026-04-12 00:45:49.019,10,Treasure Island Mashers,DROPPED,Jurickson Profar,,0.0,False
2026-04-11 20:48:09.796,1,Boone's Bad Bullpen,DROPPED,Jazz Chisholm Jr.,hitter,170.0,False
2026-04-11 20:48:09.796,1,Boone's Bad Bullpen,FA ADDED,Mauricio Dubon,hitter,189.4,True
2026-04-11 11:43:58.356,2,Team Solomon,DROPPED,Marcus Semien,hitter,186.9,False
2026-04-11 11:43:58.356,2,Team Solomon,FA ADDED,Riley O'Brien,pitcher,193.5,True
2026-04-10 05:44:50.050,9,Frendy's Fantastic Team,DROPPED,Emmet Sheehan,pitcher,278.9740021967001,False
2026-04-10 05:44:50.050,9,Frendy's Fantastic Team,FA ADDED,Emerson Hancock,pitcher,252.1403696384329,True
2026-04-08 18:54:33.965,2,Team Solomon,DROPPED,Jo Adell,hitter,194.2,False
2026-04-08 18:54:33.965,2,Team Solomon,FA ADDED,Jordan Walker,hitter,219.2,False
2026-04-07 00:25:29.365,8,New York Ligers,FA ADDED,Jose Soriano,pitcher,319.07802300351636,True
2026-04-07 00:25:29.365,8,New York Ligers,DROPPED,Cade Horton,pitcher,241.92716521641358,False
2026-04-06 21:07:22.523,5,U Just Lost To Edwin Diaz,DROPPED,Eric Lauer,pitcher,183.55892220691118,False
2026-04-06 21:07:22.523,5,U Just Lost To Edwin Diaz,FA ADDED,Liam Hicks,hitter,198.4,True
2026-04-06 14:16:08.784,1,Boone's Bad Bullpen,FA ADDED,Casey Mize,pitcher,258.9296934633513,True
2026-04-06 06:41:31.546,9,Frendy's Fantastic Team,FA ADDED,Erik Sabrowski,pitcher,135.6,True
2026-04-06 06:41:31.546,9,Frendy's Fantastic Team,DROPPED,Jose Caballero,hitter,151.8,False
2026-04-05 10:45:12.433,5,U Just Lost To Edwin Diaz,DROPPED,Bailey Ober,pitcher,230.8407052098832,False
2026-04-05 10:45:12.433,5,U Just Lost To Edwin Diaz,FA ADDED,Kyle Harrison,pitcher,269.4985698269903,False
2026-04-05 10:18:51.887,7,2015 Draft First Round,FA ADDED,Lance McCullers Jr.,pitcher,195.08882742244765,False
2026-04-05 10:18:51.887,7,2015 Draft First Round,DROPPED,Bryson Stott,hitter,160.5,False
2026-04-04 20:37:47.184,2,Team Solomon,DROPPED,Robert Suarez,pitcher,161.9,False
2026-04-04 20:37:47.184,2,Team Solomon,FA ADDED,Sonny Gray,pitcher,215.38181805573913,True
2026-04-04 15:38:04.613,5,U Just Lost To Edwin Diaz,FA ADDED,Eric Lauer,pitcher,183.55892220691118,False
2026-04-03 10:04:47.653,5,U Just Lost To Edwin Diaz,FA ADDED,Shane Bieber,pitcher,241.20000000000002,True
2026-04-03 10:04:20.176,5,U Just Lost To Edwin Diaz,FA ADDED,Bryce Miller,pitcher,236.16,True
2026-04-02 20:45:21.965,5,U Just Lost To Edwin Diaz,DROPPED,Tatsuya Imai,,0.0,False
2026-04-02 20:45:21.965,5,U Just Lost To Edwin Diaz,FA ADDED,Corbin Burnes,pitcher,289.44,False
2026-04-02 11:24:29.768,5,U Just Lost To Edwin Diaz,DROPPED,TJ Friedl,hitter,188.0,False
2026-04-02 11:24:29.768,5,U Just Lost To Edwin Diaz,FA ADDED,Joey Wiemer,hitter,82.8,False
2026-04-02 05:18:46.182,1,Boone's Bad Bullpen,FA ADDED,Paul Sewald,pitcher,186.3,False
2026-03-31 19:34:50.005,9,Frendy's Fantastic Team,FA ADDED,Andrew Painter,pitcher,218.1484637727084,True
2026-03-31 19:34:50.005,9,Frendy's Fantastic Team,DROPPED,Cody Ponce,,0.0,False
2026-03-31 07:54:18.351,9,Frendy's Fantastic Team,FA ADDED,Sal Stewart,hitter,251.3,True
2026-03-31 07:54:18.351,9,Frendy's Fantastic Team,DROPPED,Christian Walker,hitter,244.5,False
2026-03-30 11:27:32.217,9,Frendy's Fantastic Team,DROPPED,Kyle Stowers,hitter,69.5,False
2026-03-30 11:27:32.217,9,Frendy's Fantastic Team,FA ADDED,Cody Ponce,,0.0,False
2026-03-30 08:24:16.733,7,2015 Draft First Round,FA ADDED,Jordan Romano,pitcher,149.4,False
2026-03-30 08:24:16.733,7,2015 Draft First Round,DROPPED,Sonny Gray,pitcher,215.38181805573913,False
2026-03-27 22:35:59.028,9,Frendy's Fantastic Team,FA ADDED,Munetaka Murakami,hitter,222.1,True
2026-03-27 22:35:59.028,9,Frendy's Fantastic Team,DROPPED,Isaac Paredes,hitter,189.0,False
2026-03-27 10:07:44.057,9,Frendy's Fantastic Team,DROPPED,Agustin Ramirez,hitter,156.2,False
2026-03-27 10:07:44.057,9,Frendy's Fantastic Team,FA ADDED,Kevin McGonigle,hitter,238.5,True
2026-03-26 15:21:25.813,9,Frendy's Fantastic Team,FA ADDED,Giancarlo Stanton,hitter,119.9,False
2026-03-26 15:21:25.813,9,Frendy's Fantastic Team,DROPPED,Gabriel Moreno,hitter,78.9,False
