pitcher,tto1_delta_vs_overall,tto2_delta_vs_overall,tto3_delta_vs_overall,tto4_delta_vs_overall,tto1_pa,tto2_pa,tto3_pa,tto4_pa,tto1_rate,tto2_rate,tto3_rate,tto4_rate,overall_rate,total_pa,tto3_minus_tto1,player_name
547943,0.0665,-0.049,-0.0354,,824.0,789.0,456.0,,-0.14805825242718446,-0.26362484157160965,-0.25,,-0.21459642339294346,2069,-0.1019,Hyun Jin Ryu
547973,0.0,,,,1632.0,,,,0.004901960784313725,,,,0.004901960784313725,1632,,Aroldis Chapman
548384,0.0,,,,833.0,,,,-0.08283313325330131,,,,-0.08283313325330131,833,,Brooks Raley
548389,0.025,-0.0127,-0.0629,,1321.0,942.0,335.0,,-0.22558667676003027,-0.2632696390658174,-0.31343283582089554,,-0.25057736720554274,2598,-0.0878,Ross Stripling
552640,0.0,,,,1293.0,,,,-0.18793503480278423,,,,-0.18793503480278423,1293,,Andrew Kittredge
554340,0.0,,,,1356.0,,,,-0.18289085545722714,,,,-0.18289085545722714,1356,,Yimi García
554430,0.0613,0.0225,-0.1025,-0.1472,1872.0,1865.0,1409.0,84.0,-0.053418803418803416,-0.09222520107238606,-0.21717530163236337,-0.2619047619047619,-0.1147227533460803,5230,-0.1638,Zack Wheeler
570240,0.0465,-0.0334,-0.0543,,371.0,318.0,122.0,,-0.1778975741239892,-0.2578616352201258,-0.2786885245901639,,-0.22441430332922319,811,-0.1008,Félix Peña
570632,0.018,0.0025,-0.0535,,1358.0,1007.0,503.0,,-0.3122238586156112,-0.32770605759682225,-0.3836978131212724,,-0.3301952580195258,2868,-0.0715,José Ureña
570663,0.0,,,,928.0,,,,-0.20581896551724138,,,,-0.20581896551724138,928,,Hansel Robles
570666,0.0027,0.1044,-0.4883,,987.0,227.0,54.0,,-0.2867274569402229,-0.18502202643171806,-0.7777777777777778,,-0.2894321766561514,1268,-0.4911,Luis Cessa
571510,0.0583,-0.0216,-0.07,,1277.0,1189.0,697.0,,-0.14722004698512137,-0.2270815811606392,-0.27546628407460544,,-0.20550110654441986,3163,-0.1282,Matthew Boyd
571578,0.0359,0.0175,-0.0872,0.0794,2043.0,2009.0,1302.0,64.0,-0.2310327949094469,-0.24937779990044798,-0.35407066052227343,-0.1875,-0.26688815060908083,5418,-0.123,Patrick Corbin
571656,0.0,,,,1561.0,,,,-0.23510570147341447,,,,-0.23510570147341447,1561,,Buck Farmer
571666,0.0183,-0.024,0.0081,,591.0,566.0,342.0,,-0.27918781725888325,-0.3215547703180212,-0.2894736842105263,,-0.29753168779186123,1499,-0.0103,
571670,0.0,,,,1474.0,,,,-0.18317503392130258,,,,-0.18317503392130258,1474,,Dylan Floro
571710,0.0,,,,1071.0,,,,-0.1792717086834734,,,,-0.1792717086834734,1071,,Mychal Givens
571760,0.0597,-0.0348,-0.0626,,1641.0,1513.0,724.0,,-0.18708104814137722,-0.28155981493721083,-0.30939226519337015,,-0.24677668901495617,3878,-0.1223,Andrew Heaney
571800,0.0127,0.0199,-0.1229,,414.0,255.0,84.0,,-0.34057971014492755,-0.3333333333333333,-0.47619047619047616,,-0.35325365205843295,753,-0.1356,Drew Hutchison
571863,0.0441,-0.098,-0.0155,,397.0,167.0,74.0,,-0.37279596977329976,-0.5149700598802395,-0.43243243243243246,,-0.4169278996865204,638,-0.0596,Matt Koch
571882,0.0,,,,1093.0,,,,-0.2506861848124428,,,,-0.2506861848124428,1093,,Derek Law
571901,0.0,,,,903.0,,,,-0.2059800664451827,,,,-0.2059800664451827,903,,Aaron Loup
571927,0.0131,0.0077,-0.0518,,1558.0,1161.0,567.0,,-0.23491655969191272,-0.24031007751937986,-0.2998236331569665,,-0.2480219111381619,3286,-0.0649,Steven Matz
571945,0.06,-0.0196,-0.0668,,1893.0,1845.0,1160.0,,-0.2266244057052298,-0.3062330623306233,-0.35344827586206895,,-0.28664761126990607,4898,-0.1268,Miles Mikolas
571946,0.0158,-0.1337,,,836.0,99.0,,,-0.21411483253588517,-0.36363636363636365,,,-0.22994652406417113,935,,Shelby Miller
571948,0.0,,,,1300.0,,,,-0.2053846153846154,,,,-0.2053846153846154,1300,,Hoby Milner
