cohort,name,regime,fp_prior,fp_win,fp_gap,support,oppose,xc_yoy,n_pa,pos,slot,ev
FA (>=1 HR since ASG),Lawrence Butler,SUSTAINED,0.44,0.575,0.135,2,1,-0.0199,73,RF,OF,3
FA (>=1 HR since ASG),Ryan Vilade,OVEREXTENDED,-0.067,0.4,0.467,0,0,-0.0207,35,RF,OF,0
FA (>=1 HR since ASG),Spencer Steer,STALLED,0.5,0.423,-0.077,0,0,0.0687,26,1B,1B,0
FA (>=1 HR since ASG),Connor Wong,AT-LEVEL,0.213,0.208,-0.004,0,1,0.0344,48,C,C,1
FA (>=1 HR since ASG),Derek Hill,OVEREXTENDED,0.302,0.714,0.412,0,0,0.0075,21,CF,OF,0
FA (>=1 HR since ASG),Luis Rengifo,SUSTAINED,0.383,0.667,0.284,3,0,-0.0402,81,3B,3B,3
FA (>=1 HR since ASG),Andrew Benintendi,AT-LEVEL,0.557,0.548,-0.009,0,2,0.0274,62,LF,OF,2
FA (>=1 HR since ASG),Luis Urías,OVEREXTENDED,0.432,0.594,0.162,0,0,0.0181,32,2B,2B,0
FA (>=1 HR since ASG),Cedric Mullins,OVEREXTENDED,0.488,0.562,0.075,1,1,-0.0534,64,CF,OF,2
FA (>=1 HR since ASG),Weston Wilson,STALLED,0.432,0.243,-0.189,0,1,-0.122,37,LF,OF,1
FA (>=1 HR since ASG),Eli White,STALLED,0.496,0.37,-0.126,0,0,-0.0985,27,RF,OF,0
FA (>=1 HR since ASG),Jorge Soler,STALLED,0.352,0.137,-0.215,0,2,0.0129,51,RF,OF,2
FA (>=1 HR since ASG),Ryan McMahon,AT-LEVEL,0.335,0.333,-0.002,1,0,-0.0172,54,3B,3B,1
FA (>=1 HR since ASG),Carson Kelly,RECOVERING,0.536,0.45,-0.086,2,0,-0.017,60,C,C,2
FA (>=1 HR since ASG),Max Kepler,RECOVERING,0.495,0.426,-0.068,1,0,-0.0562,68,LF,OF,1
FA (>=1 HR since ASG),Rob Refsnyder,STALLED,0.573,0.5,-0.073,0,0,-0.0965,10,RF,OF,0
FA (>=1 HR since ASG),Michael Conforto,STALLED,0.358,0.308,-0.051,0,0,0.0282,39,LF,OF,0
FA (>=1 HR since ASG),J.T. Realmuto,AT-LEVEL,0.409,0.438,0.028,3,0,-0.013,64,C,C,3
FA (>=1 HR since ASG),Jorge Polanco,STALLED,0.656,-0.068,-0.725,0,1,-0.103,44,DH,DH,1
FA (>=1 HR since ASG),Paul Goldschmidt,STALLED,0.493,0.182,-0.311,0,2,-0.0148,66,1B,1B,2
FA (>=1 HR since ASG),Elias Díaz,RECOVERING,0.346,0.213,-0.134,1,0,0.0088,47,C,C,1
FA (>=1 HR since ASG),Austin Hedges,OVEREXTENDED,0.239,0.394,0.155,0,0,0.0291,33,C,C,0
FA (>=1 HR since ASG),Gary Sánchez,OVEREXTENDED,0.564,0.611,0.047,0,0,-0.0317,18,C,C,0
FA (>=1 HR since ASG),Jonathan Aranda,STALLED,0.564,0.233,-0.331,2,4,-0.0679,86,1B,1B,6
FA (>=1 HR since ASG),Carlos Narváez,RECOVERING,0.446,0.057,-0.389,0,0,0.0032,35,C,C,0
FA (>=1 HR since ASG),Andrés Giménez,OVEREXTENDED,0.43,0.508,0.078,0,2,-0.03,65,2B,2B,2
FA (>=1 HR since ASG),Carlos Cortes,STALLED,0.596,0.281,-0.315,0,0,-0.0454,32,RF,OF,0
FA (>=1 HR since ASG),Jeff McNeil,OVEREXTENDED,0.574,0.741,0.167,0,0,-0.0168,54,2B,2B,0
FA (>=1 HR since ASG),Jose Siri,OVEREXTENDED,0.028,0.343,0.315,0,0,0.0932,35,CF,OF,0
FA (>=1 HR since ASG),Jesús Sánchez,OVEREXTENDED,0.47,0.55,0.08,0,0,0.0278,20,RF,OF,0
FA (>=1 HR since ASG),Jake Mangum,STALLED,0.49,0.366,-0.124,0,5,0.0166,93,LF,OF,5
FA (>=1 HR since ASG),Austin Wynns,STALLED,0.573,0.2,-0.373,0,0,-0.0908,20,C,C,0
FA (>=1 HR since ASG),Ali Sánchez,OVEREXTENDED,0.13,0.44,0.31,0,0,0.0067,25,C,C,0
FA (>=1 HR since ASG),Andruw Monasterio,SUSTAINED,0.511,0.8,0.289,3,2,0.031,75,SS,SS,5
FA (>=1 HR since ASG),Amed Rosario,RECOVERING,0.529,0.125,-0.404,0,0,0.0124,32,3B,3B,0
FA (>=1 HR since ASG),Nathan Lukes,STALLED,0.591,0.316,-0.274,1,2,-0.0283,79,RF,OF,3
FA (>=1 HR since ASG),José Fermín,RECOVERING,0.571,0.478,-0.093,3,0,-0.0347,69,RP,RP,3
FA (>=1 HR since ASG),Esteury Ruiz,OVEREXTENDED,0.391,0.611,0.22,0,0,0.0294,36,LF,OF,0
FA (>=1 HR since ASG),Bo Bichette,STALLED,0.649,0.273,-0.376,0,6,-0.0262,88,SS,SS,6
FA (>=1 HR since ASG),Brandon Marsh,RECOVERING,0.48,0.286,-0.194,2,2,-0.0132,77,CF,OF,4
FA (>=1 HR since ASG),Josh Smith,STALLED,0.463,0.321,-0.141,0,0,-0.0358,28,SS,SS,0
FA (>=1 HR since ASG),Nick Loftin,STALLED,0.468,0.378,-0.09,1,2,-0.0027,74,LF,OF,3
FA (>=1 HR since ASG),Ezequiel Tovar,AT-LEVEL,0.384,0.357,-0.026,1,1,-0.0709,56,SS,SS,2
FA (>=1 HR since ASG),Anthony Seigler,SUSTAINED,0.26,0.41,0.15,1,0,0.007,61,3B,3B,1
FA (>=1 HR since ASG),Brayan Rocchio,RECOVERING,0.405,0.236,-0.169,3,2,-0.031,89,SS,SS,5
FA (>=1 HR since ASG),Everson Pereira,OVEREXTENDED,0.164,0.467,0.302,0,0,0.0636,15,CF,OF,0
FA (>=1 HR since ASG),Jared Young,SUSTAINED,0.404,0.596,0.192,2,0,-0.0601,57,DH,DH,2
FA (>=1 HR since ASG),Heliot Ramos,STALLED,0.459,0.216,-0.243,0,5,0.0472,88,LF,OF,5
FA (>=1 HR since ASG),Luke Raley,STALLED,0.315,0.25,-0.065,0,0,0.1102,28,RF,OF,0
FA (>=1 HR since ASG),Freddy Fermin,OVEREXTENDED,0.353,0.571,0.218,0,0,-0.0222,35,C,C,0
FA (>=1 HR since ASG),Jasson Domínguez,STALLED,0.477,0.274,-0.203,2,2,-0.0304,73,LF,OF,4
FA (>=1 HR since ASG),Isaac Collins,RECOVERING,0.563,0.427,-0.137,1,0,-0.0147,75,LF,OF,1
FA (>=1 HR since ASG),Bryson Stott,OVEREXTENDED,0.56,0.846,0.287,1,3,0.0309,78,2B,2B,4
FA (>=1 HR since ASG),Tyler Tolbert,RECOVERING,1.018,0.559,-0.459,0,0,-0.0147,34,CF,OF,0
FA (>=1 HR since ASG),Brady House,AT-LEVEL,0.27,0.275,0.005,0,1,0.0554,40,3B,3B,1
FA (>=1 HR since ASG),Javier Sanoja,AT-LEVEL,0.55,0.577,0.028,1,2,-0.0136,71,LF,OF,3
FA (>=1 HR since ASG),Jacob Young,OVEREXTENDED,0.378,0.844,0.466,1,1,0.0197,64,CF,OF,2
FA (>=1 HR since ASG),Denzer Guzman,SUSTAINED,0.023,0.17,0.147,1,0,-0.0808,47,SS,SS,1
FA (>=1 HR since ASG),Nolan Schanuel,RECOVERING,0.548,0.5,-0.048,3,0,0.0157,84,1B,1B,3
FA (>=1 HR since ASG),Evan Carter,STALLED,0.595,0.492,-0.103,0,1,-0.019,65,CF,OF,1
FA (>=1 HR since ASG),Nathan Church,SUSTAINED,0.308,0.423,0.115,3,2,0.0448,71,CF,OF,5
FA (>=1 HR since ASG),Jackson Holliday,AT-LEVEL,0.437,0.457,0.02,0,1,-0.0008,70,2B,2B,1
FA (>=1 HR since ASG),Jakob Marsee,RECOVERING,0.645,0.491,-0.154,1,0,-0.0867,57,CF,OF,1
FA (>=1 HR since ASG),Ben Williamson,AT-LEVEL,0.339,0.314,-0.025,2,0,-0.0002,51,3B,3B,2
MY ROSTER,Vladimir Guerrero Jr.,STALLED,0.668,0.405,-0.262,0,2,-0.057,74,1B,1B,2
MY ROSTER,Corbin Carroll,RECOVERING,0.696,0.629,-0.067,5,1,-0.0602,97,RF,OF,6
MY ROSTER,Elly De La Cruz,SUSTAINED,0.556,0.768,0.212,5,1,0.0658,95,SS,SS,6
MY ROSTER,Pete Alonso,STALLED,0.642,0.391,-0.251,2,3,-0.0053,87,1B,1B,5
MY ROSTER,Wyatt Langford,AT-LEVEL,0.516,0.5,-0.016,1,4,-0.0594,88,LF,OF,5
MY ROSTER,Luis Arraez,AT-LEVEL,0.585,0.581,-0.004,1,3,0.0068,86,1B,1B,4
MY ROSTER,Michael Harris II,SUSTAINED,0.47,0.685,0.214,3,1,0.0375,92,CF,OF,4
MY ROSTER,Jordan Walker,SUSTAINED,0.273,0.303,0.031,4,2,0.0727,89,RF,OF,6
MY ROSTER,Hunter Goodman,STALLED,0.572,0.464,-0.108,0,4,0.044,69,C,C,4
MY ROSTER,Jackson Merrill,SUSTAINED,0.53,0.859,0.329,4,2,-0.0165,92,CF,OF,6
MY ROSTER,Ezequiel Duran,SUSTAINED,0.265,0.619,0.354,2,0,0.0671,84,SS,SS,2
