owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po,k
FA,Spencer Strider,Atl,41.4,11.41,97.0,Stuff+·vol,0.097,SIXTY_DAY_DL,2026-09-11,9.0,6.0,spencer strider
FA,Hurston Waldrep,Atl,0.6,7.91,,rp3_dd·vol,0.046,,,9.0,5.0,hurston waldrep
FA,Lucas Giolito,SD,0.9,7.64,87.0,Stuff+·vol,0.086,SIXTY_DAY_DL,2026-09-04,9.0,6.0,lucas giolito
FA,Braxton Garrett,ChC,0.5,7.89,,rp3_dd·vol,0.045,,,9.0,5.0,braxton garrett
FA,Antonio Senzatela,Mil,2.6,2.32,,talent_prior·flat↓,,,,9.0,6.0,antonio senzatela
FA,Luis Morales,Oak,0.1,6.58,,rp3_dd·vol,0.044,,,7.0,4.0,luis morales
FA,Nick Pivetta,SD,49.8,12.6,,rp3_dd·vol,0.116,SIXTY_DAY_DL,2026-09-15,7.0,4.0,nick pivetta
FA,Sean Sullivan,Col,0.0,5.52,81.0,Stuff+·vol,0.052,,,7.0,4.0,sean sullivan
FA,Tony Gonsolin,KC,0.0,7.32,,talent_prior·flat↓,,FIFTEEN_DAY_DL,2026-09-14,6.0,4.0,tony gonsolin
FA,Bradley Blalock,Mia,0.0,0.5,,talent_prior·flat↓,,,,2.0,1.0,bradley blalock
FA,Jose Quintana,Col,0.2,6.6,81.0,Stuff+·vol,0.098,SIXTY_DAY_DL,2026-09-18,1.0,1.0,jose quintana
FA,Hunter Greene,Cin,25.3,13.84,111.0,Stuff+·vol,0.091,SIXTY_DAY_DL,2028-02-01,0.0,0.0,hunter greene
FA,Luis Severino,Oak,2.3,12.67,107.0,Stuff+·vol,0.114,SIXTY_DAY_DL,2027-02-01,0.0,0.0,luis severino
FA,Chase Dollander,Col,2.4,9.36,,rp3_dd·vol,0.095,SIXTY_DAY_DL,2027-04-01,0.0,0.0,chase dollander
FA,Justin Steele,ChC,2.6,11.34,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,justin steele
FA,Pablo Lopez,Min,2.9,11.46,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,pablo lopez
FA,Cade Horton,ChC,6.9,9.98,,rp3_dd·vol,0.1,SIXTY_DAY_DL,2027-08-01,0.0,0.0,cade horton
FA,Corbin Burnes,Ari,6.0,12.06,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,corbin burnes
FA,Joe Musgrove,SD,9.3,10.8,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,joe musgrove
FA,Spencer Schwellenbach,Atl,9.2,12.75,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,spencer schwellenbach
FA,Mitch Keller,Pit,13.3,9.45,92.0,Stuff+·vol,0.11,SIXTY_DAY_DL,2027-02-01,0.0,0.0,mitch keller
FA,Ryan Weathers,NYY,32.9,12.73,103.0,Stuff+·vol,0.171,FIFTEEN_DAY_DL,2026-09-22,0.0,0.0,ryan weathers
FA,Ryan Pepiot,TB,30.4,9.85,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-02-01,0.0,0.0,ryan pepiot
FA,Cole Ragans,KC,45.3,13.44,109.0,Stuff+·vol,0.111,SIXTY_DAY_DL,2027-06-01,0.0,0.0,cole ragans
FA,Brandon Woodruff,Mil,41.3,11.19,95.0,Stuff+·vol,0.11,SIXTY_DAY_DL,2026-09-30,0.0,0.0,brandon woodruff
FA,Stephen Kolek,KC,1.9,9.55,92.0,Stuff+·vol,0.089,SIXTY_DAY_DL,2028-02-01,0.0,0.0,stephen kolek
FA,Trevor McDonald,SF,0.9,11.35,99.0,Stuff+·vol,0.085,SIXTY_DAY_DL,2027-09-01,0.0,0.0,trevor mcdonald
FA,Jose Berrios,Tor,0.9,9.58,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-08-01,0.0,0.0,jose berrios
FA,Reese Olson,Det,0.3,9.72,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,reese olson
FA,Zach Eflin,Bal,0.3,9.56,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-07-01,0.0,0.0,zach eflin
FA,Clarke Schmidt,NYY,0.5,9.63,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,clarke schmidt
FA,Jack Kochanowicz,LAA,0.6,10.09,95.0,Stuff+·vol,0.1,SIXTY_DAY_DL,2027-09-01,0.0,0.0,jack kochanowicz
FA,Quinn Priester,Mil,1.0,9.46,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,quinn priester
FA,Mick Abel,Min,1.4,10.07,,rp3_dd·vol,0.106,SIXTY_DAY_DL,2026-09-25,0.0,0.0,mick abel
FA,DJ Herz,Wsh,0.1,9.59,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,dj herz
FA,Kutter Crawford,Bos,0.1,9.62,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,kutter crawford
FA,Tylor Megill,NYM,0.1,7.74,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,tylor megill
FA,Mitchell Parker,Wsh,0.1,6.49,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-09-01,0.0,0.0,mitchell parker
FA,David Festa,Min,0.1,8.42,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,david festa
FA,Tanner Houck,Bos,0.1,9.73,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,tanner houck
FA,Alec Marsh,KC,0.0,7.78,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,alec marsh
FA,Bowden Francis,Tor,0.0,8.19,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,bowden francis
FA,Logan Evans,Sea,0.0,7.09,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0,logan evans
FA,Ken Waldichuk,Wsh,0.0,5.91,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-06-01,0.0,0.0,ken waldichuk
