batter,home_team,pa,core_fp,rate,annual_rate,total_pa,lift_pct,player_name,team,rank
457759,ATH,70,25,0.35714285714285715,0.3553488372093023,3225,0.5,,,
457759,ATL,51,24,0.47058823529411764,0.3553488372093023,3225,32.4,,,
457759,AZ,145,54,0.3724137931034483,0.3553488372093023,3225,4.8,,,
457759,BOS,349,120,0.3438395415472779,0.3553488372093023,3225,-3.2,,,
457759,CHC,145,34,0.23448275862068965,0.3553488372093023,3225,-34.0,,,
457759,CIN,57,20,0.3508771929824561,0.3553488372093023,3225,-1.3,,,
457759,COL,149,58,0.38926174496644295,0.3553488372093023,3225,9.5,,,
457759,HOU,50,19,0.38,0.3553488372093023,3225,6.9,,,
457759,LAA,70,20,0.2857142857142857,0.3553488372093023,3225,-19.6,,,
457759,LAD,1028,391,0.38035019455252916,0.3553488372093023,3225,7.0,,,
457759,MIA,64,37,0.578125,0.3553488372093023,3225,62.7,,,
457759,MIL,79,22,0.27848101265822783,0.3553488372093023,3225,-21.6,,,
457759,NYY,42,20,0.47619047619047616,0.3553488372093023,3225,34.0,,,
457759,PHI,55,12,0.21818181818181817,0.3553488372093023,3225,-38.6,,,
457759,PIT,54,35,0.6481481481481481,0.3553488372093023,3225,82.4,,,
457759,SD,141,33,0.23404255319148937,0.3553488372093023,3225,-34.1,,,
457759,SEA,123,43,0.34959349593495936,0.3553488372093023,3225,-1.6,,,
457759,SF,135,41,0.3037037037037037,0.3553488372093023,3225,-14.5,,,
457759,STL,79,30,0.379746835443038,0.3553488372093023,3225,6.9,,,
457759,TB,54,18,0.3333333333333333,0.3553488372093023,3225,-6.2,,,
457759,TOR,213,73,0.3427230046948357,0.3553488372093023,3225,-3.6,,,
457759,WSH,72,17,0.2361111111111111,0.3553488372093023,3225,-33.6,,,
457763,AZ,95,23,0.24210526315789474,0.33095723014256617,982,-26.8,,,
457763,COL,80,37,0.4625,0.33095723014256617,982,39.7,,,
457763,LAD,98,24,0.24489795918367346,0.33095723014256617,982,-26.0,,,
457763,SD,77,25,0.3246753246753247,0.33095723014256617,982,-1.9,,,
457763,SF,632,216,0.34177215189873417,0.33095723014256617,982,3.3,,,
458015,ATL,60,25,0.4166666666666667,0.3075117370892019,2130,35.5,,,
458015,AZ,48,14,0.2916666666666667,0.3075117370892019,2130,-5.2,,,
458015,CHC,120,70,0.5833333333333334,0.3075117370892019,2130,89.7,,,
458015,CIN,1221,386,0.31613431613431614,0.3075117370892019,2130,2.8,,,
458015,LAD,65,12,0.18461538461538463,0.3075117370892019,2130,-40.0,,,
458015,MIA,50,2,0.04,0.3075117370892019,2130,-87.0,,,
458015,MIL,146,40,0.273972602739726,0.3075117370892019,2130,-10.9,,,
458015,NYM,50,15,0.3,0.3075117370892019,2130,-2.4,,,
458015,PHI,41,15,0.36585365853658536,0.3075117370892019,2130,19.0,,,
458015,PIT,106,26,0.24528301886792453,0.3075117370892019,2130,-20.2,,,
458015,SD,48,9,0.1875,0.3075117370892019,2130,-39.0,,,
458015,SF,46,12,0.2608695652173913,0.3075117370892019,2130,-15.2,,,
458015,STL,129,29,0.2248062015503876,0.3075117370892019,2130,-26.9,,,
458731,BAL,117,53,0.452991452991453,0.2803030303030303,1320,61.6,,,
458731,BOS,97,17,0.17525773195876287,0.2803030303030303,1320,-37.5,,,
