rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
287,"McGreevy, Michael",7.569243502961221,data_driven_full,22,4.15,4,14.489881527005892,-16.5,16.9,4.15,8.45,2026-08-03,-4.3,700241,22.0,18.89,25.8,22.727272727272727,9.090909090909092,18.181818181818183,9.447999627947546,3.6818181818181817,9.0,5.469695454545455,0.41566170798721924,0.8617371279215512,0.6386994179543852
145,"Montero, Keider",9.64827664087414,data_driven_full,18,13.45,4,11.5569603846917,-3.7,20.6,11.925,13.8875,2026-08-02,-0.4375,672456,18.0,20.96,23.8,33.33333333333333,5.555555555555555,16.666666666666664,7.771432519085064,3.611111111111111,8.0,5.666666666666667,0.9562830981242934,0.25576906979273745,0.6060260839585154
236,"Kelly, Merrill",8.336311717452562,data_driven_full,20,9.8,4,7.922120928135343,-0.5,18.7,9.8,9.675,2026-08-02,0.125,518876,20.0,21.1,26.7,25.0,5.0,40.0,9.872251116400108,3.8,6.0,5.71666,0.9928468636408107,0.16054551780106677,0.5766961907209387
51,"Rogers, Trevor",11.935776377555156,data_driven_full,21,17.4,4,5.236410984634419,9.8,21.8,17.4,18.1125,2026-08-05,-0.7124999999999986,669432,21.0,20.9,26.1,28.57142857142857,4.761904761904762,28.57142857142857,9.440634058609168,4.666666666666667,9.0,5.507942857142857,0.9406129129029284,0.11973542409035073,0.5301741684966396
87,"Cavalli, Cade",10.772777445403158,data_driven_full,24,16.3,4,5.802298395176403,10.8,21.8,16.3,16.075000000000003,2026-08-02,0.2249999999999978,676917,24.0,21.01,35.1,20.833333333333336,4.166666666666666,20.833333333333336,9.422648478417631,5.541666666666667,13.0,5.1111125,0.969341585808764,0.01771018981356059,0.49352588781116224
107,"Chandler, Bubba",10.289825292746166,data_driven_full,21,10.8,4,9.725224933131368,-0.8,22.9,10.8,7.962499999999999,2026-08-03,2.8374999999999995,696149,21.0,16.8,22.9,9.523809523809524,9.523809523809524,33.33333333333333,7.94440803632461,4.333333333333333,11.0,4.999995238095238,-0.13018307722364297,0.9359372983046711,0.40287711054051406
133,"Singer, Brady",9.841213548444737,data_driven_full,22,13.8,4,5.801723881744115,7.3,21.1,13.8,14.0375,2026-08-04,-0.2375000000000007,663903,22.0,19.68000000000001,26.1,13.636363636363635,4.545454545454546,31.818181818181817,8.143588294052586,4.409090909090909,7.0,5.166663636363636,0.6219858134018539,0.0826353388987908,0.35231057615032235
174,"Rocker, Kumar",9.240034627354143,data_driven_full,19,11.525,4,11.117366294826008,-0.3,22.8,11.525,9.2,2026-08-02,2.325000000000001,677958,19.0,19.16,22.8,21.052631578947366,5.263157894736842,26.31578947368421,8.318857602631837,4.315789473684211,7.0,5.017547368421052,0.48617754148335923,0.2056514108497528,0.345914476166556
207,"Peterson, David",8.673822249588106,data_driven_full,15,16.025,4,7.163507055439628,7.5,22.0,16.025,8.95,2026-08-06,7.074999999999999,656849,15.0,18.219999999999995,22.0,13.333333333333334,6.666666666666667,40.0,10.432604569101528,4.2,8.0,5.022226666666667,0.24067797301531466,0.446216173776079,0.3434470733956968
291,"Johnson, Ryan",7.502972114007366,data_driven_full,10,1.8,4,10.806479537758817,-11.0,14.5,1.8,7.4,2026-08-06,-5.6000000000000005,696270,10.0,15.629999999999995,25.8,10.0,10.0,40.0,11.283030522770813,3.5,8.0,4.566660000000001,-0.43575168904025147,1.0175574857261032,0.2909028983429258
