batter_name,primary_position,fantasy_positions,fantasy_positions_display,is_multi_position,position_count,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,xwoba_on_contact,blend_weight,all_positions_seen,avg_swing_speed,blast_rate,blast_contact_rate,squared_up_rate,max_ev,swing_count,proc_plus_positional
Jake McCutcheon,,,,,,823817,1,1,0.21371901699695744,0.23018864321083488,,0.23018864321083488,244.7,201.6,,136.8,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Jett Williams,,,,,,702518,2,7,0.10305221943019224,0.2301165167544021,,0.2301165167544021,136.4,201.6,,136.8,0.286,0.291,0.781,0.286,0.0,,2,,,0.01,,,,,,,,
Esmil Valencia,,,,,,806982,1,2,0.02920470792581216,0.22929531983073942,,0.22929531983073942,64.2,201.2,,136.6,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Raynel Delgado,2B,2B,2B,False,1.0,669384,1,1,0.19996774220368843,0.2284107551405054,,0.2284107551405054,231.2,200.8,,136.5,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,2B|3B|SS,,,,,,,126.9
Billy Amick,,,,,,701771,3,4,0.1179233525972691,0.22863006556108875,,0.22863006556108875,151.0,200.9,,136.5,0.75,0.3,0.783,0.75,0.0,,3,,,0.015,,,,,,,,
GJ Hill,,,,,,677338,3,7,0.029052467973601084,0.22711037413498847,,0.22711037413498847,64.0,200.3,,136.2,0.429,0.295,0.783,0.429,0.0,,3,,,0.015,,,,,,,,
Esmith Pineda,,,,,,703204,2,4,0.059289240631553296,0.2262750912232441,,0.2262750912232441,93.6,199.9,,136.0,0.5,0.294,0.782,0.5,0.0,,2,,,0.01,,,,,,,,
Jake Rucker,,,,,,696160,1,1,0.1923795723625244,0.22633453847526314,,0.22633453847526314,223.8,199.9,,136.0,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Zach Cole,OF,OF,OF,False,1.0,805904,21,83,0.04414398396743389,-0.024200831092365642,0.24742860912568954,0.2232277780333239,78.8,91.3,150.2,135.4,0.482,0.3,0.725,0.145,0.217,0.594,21,0.247,0.594,0.095,CF|LF|RF,,,,,,,125.3
Ricardo Romero,,,,,,829997,1,3,0.03583822720262703,0.22263177889802727,,0.22263177889802727,70.7,198.3,,135.2,0.333,0.298,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Yunior Amparo,,,,,,825159,1,1,0.14104097700802312,0.22204048358399853,,0.22204048358399853,173.6,198.1,,135.1,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Alfredo Rodriguez,,,,,,808233,1,5,0.04302852158420573,0.22197499329144144,,0.22197499329144144,77.7,198.0,,135.1,0.2,0.29,0.78,0.2,0.0,,1,,,0.005,,,,,,,,
Jacob Jenkins-Cowart,,,,,,801881,1,2,0.0068305137958804135,0.22189643889471752,,0.22189643889471752,42.3,198.0,,135.1,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Shalin Polanco,,,,,,694186,1,2,0.1538064000005278,0.22036071770086926,,0.22036071770086926,186.1,197.3,,134.8,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
David García,,,,,,671272,1,3,0.021303572831374473,0.21985387109879168,,0.21985387109879168,56.5,197.1,,134.7,0.333,0.296,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Damon Keith,,,,,,701618,1,2,0.11176919348537119,0.21699754242054894,,0.21699754242054894,144.9,195.9,,134.1,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Justin Riemer,,,,,,811312,1,2,-0.04512130346500279,0.21629066919229328,,0.21629066919229328,-8.5,195.6,,133.9,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Brian Kalmer,,,,,,687260,2,3,0.11463774407804002,0.21592120621287,,0.21592120621287,147.7,195.4,,133.8,0.667,0.296,0.781,0.667,0.0,,2,,,0.01,,,,,,,,
Andrew Salas,,,,,,829035,2,4,0.11291187284813897,0.21525541653382874,,0.21525541653382874,146.1,195.1,,133.7,0.5,0.306,0.783,0.5,0.0,,2,,,0.01,,,,,,,,
Carlos Virahonda,,,,,,808024,1,1,0.15685624916455043,0.21480490707671357,,0.21480490707671357,189.0,194.9,,133.6,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Larry Martinez,,,,,,800371,1,2,0.1126653675981206,0.21325717429757854,,0.21325717429757854,145.8,194.3,,133.3,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Heribert Silva,,,,,,808137,2,6,0.14092013982100313,0.21320875738059814,,0.21320875738059814,173.5,194.2,,133.3,0.333,0.288,0.781,0.333,0.0,,2,,,0.01,,,,,,,,
Kasen Wells,,,,,,703673,3,6,0.0766888876404154,0.2109552906828213,,0.2109552906828213,110.6,193.3,,132.8,0.667,0.292,0.785,0.5,0.0,,3,,,0.015,,,,,,,,
Luis Lara,OF,OF,OF,False,1.0,800325,1,4,-0.01241536761040335,0.21046251002805472,,0.21046251002805472,23.5,193.0,,132.7,0.25,0.296,0.78,0.25,0.0,,1,,,0.005,CF|RF,,,,,,,123.8
Jay Harry,,,,,,803385,1,2,-0.006358498833914844,0.20756634416504838,,0.20756634416504838,29.4,191.8,,132.1,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
James Wood,OF,OF|DH,"OF, DH",True,2.0,695578,203,868,0.042321211655350056,-0.019338419855428602,0.22633778536911475,0.20699936551368614,77.0,93.4,146.1,132.0,0.363,0.264,0.672,0.115,0.121,0.595,203,0.226,0.595,0.504,DH|LF|RF,76.16606817544843,0.17040359,0.24358974,0.23318386,116.3,167.0,123.5
Josh Hood,,,,,,681377,1,2,0.049283537000790134,0.20583941554690588,,0.20583941554690588,83.8,191.0,,131.7,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Logan Wagner,,,,,,702488,1,3,0.09452615140978315,0.20553698422801056,,0.20553698422801056,128.1,190.9,,131.7,0.333,0.294,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Pedro Catuy,,,,,,806869,1,1,0.2028096258022108,0.20502186488001997,,0.20502186488001997,234.0,190.7,,131.6,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Ben Rice,1B,1B|DH,"1B, DH",True,2.0,700250,153,627,0.05016023266701587,0.012119115605836341,0.19152258230261998,0.20364169790845632,84.7,107.1,139.2,131.3,0.4,0.245,0.757,0.142,0.089,0.566,153,0.192,0.566,0.433,1B|DH,72.28211570945946,0.18918919,0.24475524,0.31891892,110.9,134.0,118.9
Sam Brown,,,,,,694848,1,2,0.011547976069257601,0.20377390547919244,,0.20377390547919244,46.9,190.1,,131.3,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Korbyn Dickerson,,,,,,702668,2,6,0.0324103709602252,0.20135328343448233,,0.20135328343448233,67.3,189.1,,130.8,0.333,0.29,0.782,0.333,0.0,,2,,,0.01,,,,,,,,
Geovanny Planchart,,,,,,685712,1,1,0.19591222131957609,0.19922600927563608,,0.19922600927563608,227.2,188.2,,130.3,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Aaron Judge,OF,OF,OF,False,1.0,592450,182,813,0.06157541076233736,-0.031561380998369956,0.22997219206061356,0.19841081106224362,95.8,88.1,146.8,130.2,0.416,0.258,0.697,0.114,0.138,0.603,182,0.23,0.603,0.476,DH|RF,75.88608083417338,0.13306452,0.19642857,0.2016129,116.2,150.0,122.5
Natanael Yuten,,,,,,800256,1,4,0.007241731698214161,0.19822794512099357,,0.19822794512099357,42.7,187.7,,130.1,0.25,0.291,0.78,0.25,0.0,,1,,,0.005,,,,,,,,
Brady Counsell,,,,,,703519,1,3,-0.005076503982146134,0.19724102117848277,,0.19724102117848277,30.6,187.3,,129.9,0.333,0.3,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
José Suárez,,,,,,699027,1,1,0.08558091448626898,0.19420178202519367,,0.19420178202519367,119.3,186.0,,129.3,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Justin Johnson,,,,,,813386,1,1,-0.016255462040033995,0.19383713227253546,,0.19383713227253546,19.7,185.8,,129.2,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Jace Bohrofen,,,,,,690957,1,3,-0.07181769497321407,0.19262012008428925,,0.19262012008428925,-34.6,185.3,,129.0,0.333,0.3,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Albert Fabian,,,,,,683546,1,2,-0.13149383466953143,0.1915947366049667,,0.1915947366049667,-93.0,184.9,,128.7,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Dub Gleed,,,,,,801957,1,2,0.11731168394180094,0.19116716355553798,,0.19116716355553798,150.4,184.7,,128.7,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Payton Henry,,,,,,668721,6,16,0.01921456829403278,0.1908830445992153,,0.1908830445992153,54.4,184.6,,128.6,0.438,0.3,0.792,0.375,0.062,,6,,,0.029,,,,,,,,
Garrett Howe,,,,,,827628,2,4,0.02817483374546042,0.19059453524263342,,0.19059453524263342,63.2,184.4,,128.5,0.25,0.293,0.78,0.25,0.0,,2,,,0.01,,,,,,,,
Carlos Mendoza,,,,,,685332,1,2,-0.03256946316723092,0.18979326833627563,,0.18979326833627563,3.8,184.1,,128.4,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Tomás Nido,,,,,,621512,4,6,0.08539770234925602,0.1898482180885994,,0.1898482180885994,119.1,184.1,,128.4,0.833,0.316,0.79,0.667,0.0,,4,,,0.02,,,,,,,,
Daniel Pierce,,,,,,828084,1,1,0.23844160117316826,0.18849607482786013,,0.18849607482786013,268.8,183.5,,128.1,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Luke Raley,OF,OF,OF,False,1.0,670042,114,443,0.07352155779863091,-0.04731330893674469,0.2351784384226681,0.18786512948592343,107.5,81.3,147.8,128.0,0.54,0.318,0.627,0.135,0.246,0.624,114,0.235,0.624,0.363,CF|DH|LF|RF,75.40185267857143,0.11428571,0.2247191,0.16,113.8,96.0,121.4
Trevor Hauver,,,,,,669386,1,3,0.009549137748969686,0.1871894348332634,,0.1871894348332634,45.0,183.0,,127.8,0.333,0.3,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Jesús Bastidas,,,,,,665846,4,10,0.07482034341345063,0.1859460714535603,,0.1859460714535603,108.8,182.4,,127.6,0.5,0.292,0.789,0.4,0.0,,4,,,0.02,,,,,,,,
Theo Gillen,,,,,,815394,2,6,0.048859487207452756,0.18440313499868854,,0.18440313499868854,83.4,181.7,,127.2,0.167,0.291,0.784,0.167,0.0,,2,,,0.01,,,,,,,,
Jack Pineda,,,,,,801442,2,5,-0.01161993344367648,0.18307569351522313,,0.18307569351522313,24.2,181.2,,127.0,0.6,0.301,0.783,0.4,0.0,,2,,,0.01,,,,,,,,
Garrett Martin,,,,,,682003,1,1,0.28837740069942636,0.18207184196313814,,0.18207184196313814,317.7,180.7,,126.8,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Dylan O'Rae,,,,,,802506,5,12,0.05303342884025123,0.181468796676353,,0.181468796676353,87.5,180.5,,126.6,0.5,0.296,0.79,0.417,0.0,,5,,,0.024,,,,,,,,
Jackson Chourio,OF,OF,OF,False,1.0,694192,36,143,0.05429482037671049,0.021848370572116364,0.15920595451930333,0.1810543250914197,88.7,111.3,132.8,126.5,0.427,0.269,0.786,0.182,0.091,0.521,36,0.159,0.521,0.153,CF|LF,,,,,,,120.6
Juan Benjamin,,,,,,691405,4,13,0.07020903388762002,0.18001664449626822,,0.18001664449626822,104.3,179.8,,126.3,0.462,0.298,0.789,0.308,0.077,,4,,,0.02,,,,,,,,
Ali Sánchez,C,C,C,False,1.0,645305,1,2,0.04482290239389236,0.17806389688984023,,0.17806389688984023,79.5,179.0,,125.9,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,C,,,,,,,124.5
Jonah Bride,,,,,,681146,1,2,0.019690869065875957,0.17755986429900614,,0.17755986429900614,54.9,178.8,,125.8,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Jose Torres,,,,,,686958,2,3,0.11743256386139267,0.17633126499711993,,0.17633126499711993,150.5,178.3,,125.6,0.667,0.301,0.781,0.667,0.0,,2,,,0.01,,,,,,,,
David Bañuelos,,,,,,675915,4,7,0.1152603638835962,0.17337451436356194,,0.17337451436356194,148.4,177.0,,124.9,0.714,0.311,0.78,0.571,0.143,,4,,,0.02,,,,,,,,
Dalton McIntyre,,,,,,827637,2,6,0.014625535443072638,0.172192941563954,,0.172192941563954,49.9,176.5,,124.7,0.167,0.291,0.784,0.167,0.0,,2,,,0.01,,,,,,,,
Josh Rivera,,,,,,687069,2,6,-0.014606798686210865,0.17094456861595989,,0.17094456861595989,21.3,175.9,,124.4,0.167,0.292,0.784,0.167,0.0,,2,,,0.01,,,,,,,,
Tyler Wade,,,,,,642180,4,16,0.009813870334102442,0.1689297409544206,,0.1689297409544206,45.2,175.0,,124.0,0.375,0.292,0.791,0.25,0.0,,4,,,0.02,,,,,,,,
Freili Encarnacion,,,,,,703175,1,1,0.2138711872715998,0.16746871857110635,,0.16746871857110635,244.8,174.4,,123.7,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Owen Ayers,,,,,,689196,2,6,0.09879667805245355,0.1640397918852099,,0.1640397918852099,132.2,172.9,,123.0,0.5,0.293,0.783,0.333,0.0,,2,,,0.01,,,,,,,,
Michael Harris,OF,OF,OF,False,1.0,671739,146,530,0.06364914198040145,0.016173178125306928,0.14744104031348496,0.16361421843879187,97.9,108.8,130.5,122.9,0.562,0.368,0.783,0.215,0.128,0.501,146,0.147,0.501,0.422,CF|DH|LF,74.95201373922414,0.19704433,0.25974026,0.29064039,114.9,113.0,118.7
Cade Doughty,,,,,,683103,1,1,0.09940613016366445,0.16230963557459246,,0.16230963557459246,132.8,172.2,,122.6,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,
Stanley Tucker,,,,,,805964,1,2,0.1789385473802223,0.16039367169551833,,0.16039367169551833,210.6,171.3,,122.2,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
