rank,pitcher,name,team_abbr,role,fp,xfp_rps1_total
60,663574,Tony Santillan,,setup,292.1,177.3
61,592779,Brock Stewart,,setup,129.3,176.4
62,621237,José Alvarado,,long_low,105.8,176.2
63,657649,Jared Koenig,,setup,226.8,175.6
64,681870,Erik Sabrowski,,middle,112.8,175.4
65,675848,Juan Mejia,,middle,162.4,174.3
66,673929,Jordan Leasure,,middle,220.3,174.0
67,641745,Brad Keller,,setup,264.9,173.0
68,683769,Hunter Gaddis,,setup,252.0,172.7
69,621381,Matt Strahm,,setup,242.7,170.9
70,518585,Fernando Cruz,,setup,174.4,170.3
71,605447,Jordan Romano,,middle,98.8,169.6
72,676534,Calvin Faucher,,closer,223.1,169.6
73,676508,Ben Casparius,,middle,181.3,168.8
74,683175,Connor Phillips,,long_low,75.5,168.8
75,680755,Braydon Fisher,,middle,153.0,168.7
76,676263,Jack Dreyer,,middle,235.9,168.6
77,686973,Louis Varland,,setup,221.8,168.4
78,680767,Victor Vodnik,,closer,175.2,167.1
79,608650,Dietrich Enns,,long_low,112.9,166.9
80,669211,Keegan Akin,,closer,204.0,166.5
81,660825,Eduard Bazardo,,middle,239.6,166.4
82,642397,Gregory Soto,,setup,167.1,166.3
83,689266,Dylan Dodd,,long_low,87.5,166.2
84,683618,Edgardo Henriquez,,long_low,63.7,166.0
85,670036,Matt Festa,,middle,146.4,164.8
86,623149,Paul Sewald,,long_low,58.9,164.7
87,519141,Drew Pomeranz,,middle,171.9,163.3
88,571927,Steven Matz,,middle,210.0,162.2
89,656234,Jake Bird,,middle,112.6,160.4
90,656794,Sean Newcomb,,middle,227.7,160.4
91,489446,Kirby Yates,,setup,129.4,160.3
92,660853,Enyel De Los Santos,,middle,140.8,159.8
93,668933,Graham Ashcraft,,setup,174.6,159.2
94,592094,Jason Adam,,setup,237.6,159.1
95,455119,Chris Martin,,middle,138.7,158.7
96,665660,Elvis Alvarado,,middle,109.7,158.4
97,689147,Orion Kerkering,,setup,191.0,158.1
98,641755,Tyler Kinley,,middle,202.8,158.1
99,573204,Caleb Thielbar,,setup,217.4,158.0
