rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_sigma_raw,xfp_rh3_sigma_global,xfp_rh3_sigma_hetero,batter_sigma_factor,sigma_calibration_method,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,arche_overall_prior,slope_3yr_prior,traj_career_low_prior
60,680777,Ryan Jeffers,MIN,C,216,59.0,0.5125497764261553,-0.024,0.5658355488237435,1.98,0.1110715516268907,0.1075864795068277,0.1075864795068277,0.1110715516268907,1.032393216471423,hetero_v1,0.4909177872514058,0.6407533103960813,47.0,26.6,0.5266768880291347,0.0392,hold,88.6,419.0,63.7,0.2512,0.0444,52.0,-1.0,False
61,696100,Hunter Goodman,COL,C,437,61.0,0.5294366040922939,-0.0199,0.5648649757499166,1.98,0.1286583221429775,0.1075864795068277,0.1075864795068277,0.1286583221429775,1.1958595795005311,hetero_v1,0.4780849374644782,0.6516450140353549,95.0,53.7,0.5266768880291347,0.0382,hold,29.4,60.0,96.7,0.2445,0.1231,57.0,7.0,False
62,672515,Gabriel Moreno,AZ,C,356,80.0,0.547046244457371,-0.0056,0.5648298912396419,1.98,0.0978126508012116,0.1075864795068277,0.1075864795068277,0.0978126508012116,0.9091537454295472,hetero_v1,0.4988552582742246,0.6308045242050592,78.0,44.1,0.5266768880291347,0.0382,hold,30.0,87.0,93.1,0.335,0.1786,60.0,5.0,False
63,681624,Andy Pages,LAD,OF,492,80.0,0.5191229682824866,-0.0171,0.5637608812499848,1.97,0.1062010369918549,0.1075864795068277,0.1075864795068277,0.1062010369918549,0.9871225220741155,hetero_v1,0.4921282817989786,0.635393480700991,107.0,60.3,0.5071578343016413,0.0566,hold,74.9,176.0,81.2,0.2874,0.0886,57.0,3.0,False
64,608324,Alex Bregman,CHC,3B,514,82.0,0.6338218030375222,-0.0034,0.5623429126086861,1.97,0.0989953104873828,0.1075864795068277,0.1075864795068277,0.0989953104873828,0.9201463877354624,hetero_v1,0.4955705756849463,0.6291152495324258,112.0,63.0,0.5235834022778508,0.0388,hold,5.5,65.0,98.5,0.3762,0.1361,61.0,-1.5,False
65,607208,Trea Turner,PHI,SS,495,80.0,0.6158935922776468,0.0239,0.5622870523359662,1.97,0.1047329350000578,0.1075864795068277,0.1075864795068277,0.1047329350000578,0.9734767368553148,hetero_v1,0.4916446876784272,0.6329294169935052,108.0,60.7,0.5522482949622523,0.01,hold,13.7,167.0,81.4,0.2886,0.0996,55.0,-0.5,False
66,683002,Gunnar Henderson,BAL,SS,515,76.0,0.6097695916161601,0.0036,0.5590306048154644,1.96,0.1094186918436669,0.1075864795068277,0.1075864795068277,0.1094186918436669,1.0170301356196243,hetero_v1,0.485227697166911,0.6328335124640178,112.0,62.6,0.5522482949622523,0.0068,hold,9.7,45.0,100.0,0.28,0.1295,57.0,-1.0,False
67,686475,Tyler Tolbert,KC,SS,91,31.0,0.8047037989230196,-0.0014,0.5561619032157571,1.95,0.1075864795068277,0.1075864795068277,0.1075864795068277,0.1075864795068277,1.0,hetero_v1,0.4835948227884017,0.6287289836431124,20.0,11.1,0.5522482949622523,0.0039,hold,,,,,,,0.0,False
68,694208,Moisés Ballesteros,LAA,DH,182,7.0,0.6326063065616312,-0.0014,0.5541300684375594,1.94,0.1124485137148928,0.1075864795068277,0.1075864795068277,0.1124485137148928,1.0451918701155802,hetero_v1,0.4782835459368642,0.6299765909382546,40.0,22.2,0.4780723282736954,0.0761,add,,0.0,,,,,0.0,False
69,571970,Max Muncy,LAD,3B,398,62.0,0.645503896550698,-0.0265,0.5539286944046622,1.94,0.1189909828862628,0.1075864795068277,0.1075864795068277,0.1189909828862628,1.106003128197083,hetero_v1,0.4736692764478779,0.6341881123614465,87.0,48.2,0.5235834022778508,0.0303,hold,81.6,797.0,62.9,0.3054,0.0432,65.0,2.0,False
70,673548,Seiya Suzuki,CHC,OF,429,86.0,0.5617469501368212,0.0067,0.5526723870151623,1.93,0.1143247817648027,0.1075864795068277,0.1075864795068277,0.1143247817648027,1.0626314969024282,hetero_v1,0.4755603217148028,0.6297844523155218,94.0,52.0,0.5071578343016413,0.0455,hold,72.8,370.0,71.1,0.2786,0.0715,63.0,1.0,False
71,668939,Adley Rutschman,BOS,C,284,9.0,0.5252978566562936,-0.0112,0.5522707663599187,1.93,0.1004342322396317,0.1075864795068277,0.1075864795068277,0.1004342322396317,0.9335209470559722,hetero_v1,0.484527876714287,0.6200136560055503,62.0,34.2,0.5266768880291347,0.0256,hold,92.6,451.0,55.2,0.3333,0.012,55.0,-4.5,False
72,665161,Jeremy Peña,HOU,SS,296,80.0,0.5383128493905208,0.0063,0.5522482949622523,1.93,0.1073972877522726,0.1075864795068277,0.1075864795068277,0.1073972877522726,0.9982414913526096,hetero_v1,0.4798088243733443,0.6246877655511602,65.0,35.9,0.5522482949622523,0.0,hold,,,,,,57.0,5.0,False
