batter,seasons_used,h1_pa,h2_pa,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,team,rank,xfp_rh3_per_game,expected_total_fp_remaining,category
673357,5,1188,960,0.2214,0.2385,0.0172,7.8,Luis Robert Jr.,NYM,168.0,1.62,133.5,mild back
621566,7,2449,2249,0.323,0.3477,0.0247,7.7,Matt Olson,ATL,7.0,2.25,300.1,mild back
663647,5,1339,1108,0.1904,0.2049,0.0144,7.6,Ke'Bryan Hayes,CIN,217.0,1.54,117.3,mild back
595777,7,1983,1715,0.3142,0.3364,0.0223,7.1,,,,,,mild back
656941,7,2444,1952,0.2938,0.3145,0.0208,7.1,Kyle Schwarber,PHI,24.0,2.05,264.7,mild back
606192,7,2063,1911,0.2215,0.2365,0.015,6.8,Teoscar Hernández,LAD,184.0,1.6,164.2,mild back
663993,6,1709,1592,0.2393,0.255,0.0157,6.6,Nathaniel Lowe,CIN,49.0,1.92,112.0,mild back
657041,5,1037,1069,0.2093,0.2226,0.0134,6.4,Lane Thomas,KC,179.0,1.6,101.2,mild back
605204,5,856,818,0.2126,0.2262,0.0135,6.4,,,,,,mild back
435559,4,635,400,0.3244,0.345,0.0206,6.3,,,,,,mild back
663538,6,1395,1273,0.3233,0.3425,0.0192,5.9,Nico Hoerner,CHC,23.0,2.05,263.1,mild back
514888,7,2162,2012,0.3705,0.3921,0.0217,5.8,Jose Altuve,HOU,71.0,1.84,223.9,mild back
605119,5,1359,800,0.2281,0.2412,0.0131,5.8,,,,,,mild back
596748,4,1176,431,0.2764,0.2923,0.016,5.8,,,,,,mild back
593871,7,1608,1834,0.2923,0.3086,0.0163,5.6,Jorge Polanco,NYM,156.0,1.65,84.8,mild back
595751,4,788,639,0.0876,0.0923,0.0048,5.4,,,,,,mild back
673237,3,814,749,0.2887,0.3044,0.0157,5.4,Yainer Diaz,HOU,158.0,1.64,146.9,mild back
668930,3,925,800,0.2151,0.2262,0.0111,5.2,Brice Turang,MIL,38.0,1.97,234.0,mild back
668227,5,1777,1483,0.2341,0.2461,0.012,5.1,Randy Arozarena,SEA,148.0,1.67,207.0,mild back
541645,4,1034,776,0.2147,0.2255,0.0108,5.0,,,,,,mild back
518692,7,2637,2149,0.3951,0.4146,0.0195,4.9,Freddie Freeman,LAD,9.0,2.17,257.8,mild back
600869,7,1868,1360,0.2211,0.2316,0.0105,4.8,,,,,,mild back
643217,7,2178,1770,0.2874,0.3006,0.0131,4.6,Andrew Benintendi,CWS,221.0,1.53,141.0,mild back
660670,7,1926,1524,0.352,0.3681,0.0161,4.6,Ronald Acuña Jr.,ATL,36.0,1.97,253.1,mild back
605141,7,2427,1943,0.4289,0.4478,0.0188,4.4,,,,,,mild back
680977,4,1264,675,0.3323,0.3467,0.0144,4.3,Brendan Donovan,SEA,114.0,1.76,105.4,mild back
592192,7,1720,1445,0.2895,0.3017,0.0122,4.2,,,,,,mild back
666185,5,1033,765,0.2072,0.2157,0.0085,4.1,,,,,,mild back
669242,6,1301,1366,0.2775,0.2884,0.011,3.9,,,,,,EVEN
656669,5,430,371,0.2628,0.2722,0.0094,3.6,,,,,,EVEN
679529,4,1216,902,0.2138,0.2206,0.0068,3.2,Spencer Torkelson,DET,122.0,1.74,193.7,EVEN
456781,6,844,891,0.2453,0.2525,0.0073,3.0,,,,,,EVEN
602104,5,902,927,0.2173,0.2233,0.006,2.8,Ramón Urías,STL,187.0,1.59,91.5,EVEN
458015,5,1202,1125,0.3087,0.3173,0.0087,2.8,,,,,,EVEN
592885,7,2243,1685,0.3255,0.3341,0.0087,2.7,Christian Yelich,MIL,137.0,1.71,80.6,EVEN
606466,7,2159,1770,0.3918,0.4,0.0082,2.1,Ketel Marte,AZ,26.0,2.04,234.0,EVEN
592450,7,2208,1907,0.4135,0.4216,0.0081,2.0,Aaron Judge,NYY,2.0,2.55,312.1,EVEN
641820,5,1592,1150,0.2531,0.2583,0.0051,2.0,,,,,,EVEN
542583,5,1227,839,0.26,0.2646,0.0046,1.8,,,,,,EVEN
660821,5,991,962,0.217,0.2204,0.0034,1.6,Jesús Sánchez,TOR,104.0,1.77,170.1,EVEN
663697,5,1504,1290,0.2666,0.2705,0.0039,1.5,Jonathan India,KC,182.0,1.6,78.0,EVEN
500871,5,1533,1245,0.2877,0.2916,0.0039,1.4,,,,,,EVEN
596146,7,1952,1555,0.3017,0.3061,0.0044,1.4,,,,,,EVEN
673490,5,1148,1006,0.2491,0.2525,0.0034,1.3,,,,,,EVEN
663656,5,1627,1073,0.413,0.4185,0.0054,1.3,Kyle Tucker,LAD,31.0,2.01,246.9,EVEN
408234,5,1191,844,0.2133,0.2156,0.0024,1.1,,,,,,EVEN
647304,6,1566,1193,0.3321,0.3353,0.0032,1.0,Josh Naylor,SEA,48.0,1.93,225.6,EVEN
683002,4,1043,1081,0.3049,0.308,0.0032,1.0,Gunnar Henderson,BAL,55.0,1.89,244.2,EVEN
474832,5,1239,916,0.2631,0.2653,0.0022,0.8,,,,,,EVEN
670541,6,1335,1368,0.4225,0.4254,0.003,0.7,Yordan Alvarez,HOU,1.0,2.65,352.2,EVEN
462101,5,1294,1306,0.2535,0.255,0.0015,0.6,,,,,,EVEN
665862,5,1291,992,0.2277,0.2288,0.0011,0.5,Jazz Chisholm Jr.,NYY,208.0,1.56,171.5,EVEN
666971,7,1904,1427,0.2967,0.2978,0.0011,0.4,,,,,,EVEN
668939,4,1174,986,0.3194,0.3205,0.0011,0.3,Adley Rutschman,BAL,35.0,1.98,126.5,EVEN
595879,7,2091,1525,0.2037,0.2039,0.0002,0.1,Javier Báez,DET,260.0,1.44,99.4,EVEN
516416,5,1393,1073,0.3101,0.3103,0.0002,0.1,,,,,,EVEN
680777,5,1023,731,0.2258,0.2257,-0.0001,-0.0,Ryan Jeffers,MIN,72.0,1.84,162.9,EVEN
592518,7,2409,2157,0.3504,0.35,-0.0003,-0.1,Manny Machado,SD,53.0,1.9,207.9,EVEN
570731,5,1390,910,0.2137,0.2132,-0.0005,-0.2,,,,,,EVEN
667670,4,1002,1020,0.2754,0.2745,-0.0009,-0.3,Brent Rooker,ATH,214.0,1.55,100.4,EVEN
608070,7,2486,2121,0.4457,0.4441,-0.0016,-0.4,José Ramírez,CLE,3.0,2.37,306.1,EVEN
518792,7,1402,902,0.2789,0.2761,-0.0028,-1.0,,,,,,EVEN
458731,3,855,764,0.283,0.2801,-0.0029,-1.0,,,,,,EVEN
605612,4,641,780,0.1685,0.1667,-0.0018,-1.1,,,,,,EVEN
543068,5,1449,1067,0.2912,0.2877,-0.0035,-1.2,,,,,,EVEN
457705,7,2215,1422,0.2677,0.2637,-0.004,-1.5,,,,,,EVEN
607043,7,1965,1871,0.2947,0.2897,-0.005,-1.7,Brandon Nimmo,TEX,68.0,1.85,229.9,EVEN
