batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,tag
Brenton Doyle,686668,614,Tier A,110.8,114.7,97.8,108.2,0.514,0.31,0.414,0.07738,Decision+ strong (top 25%); Process+ strong
Elías Díaz,553869,365,Tier B,95.6,114.7,98.8,93.4,0.539,0.336,0.321,0.08509,Decision+ strong (top 25%)
Kevin Kiermaier,595281,301,Tier B,86.6,114.6,88.1,89.8,0.547,0.29,0.316,0.12202,Decision+ strong (top 25%)
Patrick Wisdom,621550,172,Tier C,98.3,114.4,83.3,103.1,0.489,0.268,0.398,0.11657,Decision+ strong (top 25%)
Chas Mccormick,676801,278,Tier B,98.9,114.3,90.8,100.3,0.523,0.293,0.356,0.0971,Decision+ strong (top 25%)
Jake Bauers,641343,352,Tier B,101.9,114.3,77.9,108.9,0.459,0.245,0.421,0.08362,Decision+ strong (top 25%)
Austin Martin,668885,257,Tier B,96.0,114.1,111.2,88.3,0.455,0.193,0.333,0.05866,Decision+ strong (top 25%); low chase rate
Freddie Freeman,518692,697,Tier A,114.1,114.0,103.2,109.0,0.497,0.265,0.399,0.07491,Decision+ strong (top 25%); Process+ strong
Bryan Reynolds,668804,706,Tier A,112.4,113.9,97.3,110.1,0.502,0.276,0.425,0.08205,Decision+ strong (top 25%); Process+ strong
Nick Gordon,624503,291,Tier B,97.8,113.9,97.3,96.3,0.599,0.395,0.333,0.06682,Decision+ strong (top 25%)
William Contreras,661388,687,Tier A,110.8,113.7,100.9,107.0,0.472,0.268,0.408,0.08285,Decision+ strong (top 25%); Process+ strong
Willson Contreras,575929,364,Tier B,114.5,113.6,90.7,115.1,0.499,0.3,0.45,0.06939,Decision+ strong (top 25%); Process+ strong
Byron Buxton,621439,394,Tier B,118.9,113.4,97.6,116.3,0.541,0.29,0.451,0.12485,Decision+ strong (top 25%); Process+ strong
Willy Adames,642715,700,Tier A,109.0,113.4,92.3,109.3,0.498,0.294,0.414,0.11343,Decision+ strong (top 25%); Process+ strong
