name,batter,rank,ros_fp_g,key,chase,zswing,whiff,swstr,k_pct,up,dn,net,asg_fpg,asg_g,pos,own
Brayan Rocchio,677587,186,1.5657546911427944,brayan rocchio,-1.5,-2.0,-4.4,-2.2,3.2,3,2,1,1.0,21,SS,24.6
A.J. Ewing,805999,250,1.5060554555943968,aj ewing,-1.8,9.3,1.7,1.9,-1.8,3,2,1,1.4,20,CF,9.7
Jasson Domínguez,691176,237,1.4261130933807165,jasson dominguez,-4.2,,,-4.9,4.8,2,1,1,1.1764705882352942,17,LF,2.9
Dominic Canzone,686527,180,1.3615417976150954,dominic canzone,8.0,4.5,-0.2,1.5,-1.1,3,2,1,1.9,20,RF,12.6
Nathan Lukes,664770,382,1.227708872266452,nathan lukes,2.4,6.6,-3.8,-1.4,0.6,3,2,1,1.25,20,RF,0.8
Josh Bell,605137,408,1.1516791472136798,josh bell,0.4,,,-3.4,-1.5,2,1,1,2.0,19,DH,12.7
Lawrence Butler,671732,342,1.1296174677563966,lawrence butler,6.1,,,-2.0,-4.5,2,1,1,2.0,21,RF,9.8
Francisco Alvarez,682626,284,1.0599136826964883,francisco alvarez,-5.1,,,-0.8,4.3,2,1,1,2.0625,16,C,11.3
J.T. Realmuto,592663,332,1.0406635391098584,jt realmuto,-6.0,,,-2.0,0.3,2,1,1,1.6111111111111112,18,C,16.8
Jared Triolo,669707,251,1.0110678374278836,jared triolo,,,,-0.1,,1,0,1,1.2222222222222223,18,SS,0.4
Denzer Guzman,694203,331,0.8815596285272841,denzer guzman,,,,-2.4,,1,0,1,0.6153846153846154,13,SS,0.3
Wade Meckler,685133,294,0.8813318087932902,wade meckler,,,,-2.1,,1,0,1,1.2,15,CF,0.7
Austin Wells,669224,353,0.8240725260795854,austin wells,,,,-3.3,,1,0,1,1.6875,16,C,6.1
Colt Emerson,806068,439,0.8089528874471171,colt emerson,,,-3.6,0.5,-6.2,2,1,1,0.45,20,SS,5.2
Daniel Susac,691740,399,0.7980266013749173,daniel susac,,,,-3.3,,1,0,1,2.142857142857143,14,C,0.7
Bryson Stott,681082,92,1.775257477362472,bryson stott,-7.2,0.2,,1.7,0.0,2,2,0,3.0476190476190474,21,2B,43.3
Chandler Simpson,802415,210,1.6289446296472656,chandler simpson,,,,1.2,-1.9,1,1,0,2.5,20,CF,39.6
Teoscar Hernández,606192,89,1.622951232912074,teoscar hernandez,,,,0.9,-6.8,1,1,0,1.894736842105263,19,RF,51.0
Salvador Perez,521692,162,1.615288942544883,salvador perez,-0.9,,0.1,-1.1,0.3,2,2,0,2.55,20,C,67.0
Isaac Collins,686555,101,1.5949704756959684,isaac collins,,,,0.5,-4.1,1,1,0,1.6,20,LF,0.7
Nathaniel Lowe,663993,53,1.5872893244978123,nathaniel lowe,,,,0.7,-6.1,1,1,0,2.9375,16,1B,1.9
Dylan Crews,686611,154,1.5795148822469214,dylan crews,-7.6,,2.9,-0.3,6.2,2,2,0,2.1578947368421053,19,RF,7.3
Javier Sanoja,691594,37,1.549722690300938,javier sanoja,,,,1.0,-3.0,1,1,0,1.9523809523809523,21,LF,5.2
Spencer Horwitz,687462,65,1.4851584205067518,spencer horwitz,,,,,,0,0,0,1.1428571428571428,7,1B,6.5
Jacob Young,696285,108,1.425394732910807,jacob young,,,,2.1,-7.4,1,1,0,3.176470588235294,17,CF,1.7
Willi Castro,650489,229,1.3923806527672598,willi castro,,,,3.6,-2.0,1,1,0,3.1176470588235294,17,RF,19.9
Matt McLain,680574,121,1.3895071160669257,matt mclain,,,,,,0,0,0,2.111111111111111,9,2B,5.6
Spencer Steer,668715,32,1.3865207511126287,spencer steer,,,,,,0,0,0,1.5714285714285714,7,1B,12.6
Griffin Conine,665052,86,1.321585437188678,griffin conine,,,,-0.2,3.2,1,1,0,1.619047619047619,21,LF,1.8
Tyler Stephenson,663886,93,1.3136900925286574,tyler stephenson,,,,-0.1,2.7,1,1,0,2.8,15,C,5.0
Tyler Freeman,671289,123,1.275718154901013,tyler freeman,,,,,,0,0,0,0.3076923076923077,13,RF,0.4
Evan Carter,694497,166,1.253316966390302,evan carter,,,,1.1,-4.4,1,1,0,1.6,20,CF,2.2
Curtis Mead,678554,80,1.199284408969751,curtis mead,,,,,,0,0,0,2.875,8,1B,8.9
Brendan Donovan,680977,169,1.1952937963896584,brendan donovan,,,,,,0,0,0,0.0,4,2B,36.4
TJ Friedl,670770,119,1.1450822210581613,tj friedl,,,,,,0,0,0,0.5,6,CF,8.6
Noelvi Marte,682622,171,1.0867069960950222,noelvi marte,,,,4.3,-3.3,1,1,0,0.7333333333333333,15,RF,5.5
J.P. Crawford,641487,289,1.058927210306881,jp crawford,,,,,,0,0,0,0.8571428571428571,7,SS,5.0
Dylan Beavers,687637,323,1.0526904398856105,dylan beavers,,,,-1.0,1.4,1,1,0,0.9,20,LF,0.9
Ezequiel Tovar,678662,348,1.0358733395160458,ezequiel tovar,,,,-0.1,1.7,1,1,0,1.25,16,SS,3.1
Henry Bolte,703607,394,1.027098494073109,henry bolte,,,,-0.3,1.3,1,1,0,1.2105263157894737,19,RF,2.1
Leody Taveras,665750,387,0.9548149407935103,leody taveras,,,,-0.3,1.7,1,1,0,1.1111111111111112,18,CF,0.7
Jonny DeLuca,676356,301,0.9039382284229045,jonny deluca,,,,-2.6,2.3,1,1,0,2.2666666666666666,15,CF,0.5
Marcell Ozuna,542303,389,0.827944273506021,marcell ozuna,,,,,,0,0,0,1.2222222222222223,9,DH,3.7
