batter,player_name,team,primary_position,xfp_rh3_per_pa,expected_total_fp_remaining,playoff_ros,signal
680779,Henry Davis,PIT,C,0.3484459606796785,86.4,25.9,drop
680728,Adrian Del Castillo,AZ,C,0.440124184300961,85.8,25.7,drop
672275,Patrick Bailey,SF,C,0.3459776750688874,84.8,25.4,drop
677942,Blaze Alexander,BAL,3B,0.3527158989987637,84.3,25.3,drop
688363,Graham Pauley,MIA,3B,0.3750688119111847,82.9,24.9,drop
670764,Taylor Walls,TB,SS,0.3433534076341193,83.1,24.9,drop
664770,Nathan Lukes,TOR,OF,0.5033801579731019,83.1,24.9,hold
593871,Jorge Polanco,NYM,1B,0.4618378809743346,83.1,24.9,drop
687221,Dalton Rushing,LAD,C,0.4912665753918429,82.5,24.8,hold
686894,Joey Wiemer,WSH,OF,0.4116939941402048,82.8,24.8,drop
680700,Richie Palacios,TB,2B,0.4401082325371187,81.9,24.6,hold
669134,Luis Campusano,SD,C,0.5162061775548655,82.1,24.6,hold
686681,Michael Massey,KC,2B,0.4096628436830874,81.1,24.3,drop
621438,Tyrone Taylor,NYM,OF,0.4262808713590912,80.6,24.2,hold
592885,Christian Yelich,MIL,OF,0.4872710705674836,80.4,24.1,hold
676914,Davis Schneider,TOR,OF,0.4162379385792291,79.9,24.0,hold
500743,Miguel Rojas,LAD,SS,0.4821277085593528,79.6,23.9,hold
672515,Gabriel Moreno,AZ,C,0.4961788797874704,78.9,23.7,hold
543877,Christian Vázquez,HOU,C,0.4400829448060598,77.9,23.4,drop
678489,Jorge Barrosa,AZ,OF,0.3416591639187329,76.5,23.0,drop
665804,Miguel Amaya,CHC,C,0.4183160161326691,76.6,23.0,drop
663697,Jonathan India,KC,2B,0.4474440228162994,76.5,23.0,hold
624428,Adam Frazier,LAA,2B,0.4039735158537253,76.4,22.9,drop
666023,Freddy Fermin,SD,C,0.3975857993769723,76.3,22.9,drop
687597,Jordan Beck,COL,OF,0.3578069546476722,75.1,22.5,drop
694388,Joey Loperfido,HOU,OF,0.3719490425531201,72.5,21.8,drop
641933,Tyler O'Neill,BAL,OF,0.454663302770854,72.3,21.7,hold
687093,Vaughn Grissom,LAA,2B,0.4237631691414297,71.2,21.4,drop
655316,Andruw Monasterio,BOS,SS,0.4685753236097706,70.8,21.2,hold
686452,Drew Millas,WSH,C,0.3880662156626344,69.9,21.0,drop
656484,Tristan Gray,MIN,3B,0.3805596401182801,69.6,20.9,drop
669065,Kyle Stowers,MIA,OF,0.4453329557724724,69.5,20.8,hold
666181,Will Benson,CIN,OF,0.4131277559675174,69.4,20.8,drop
642201,Eli White,ATL,OF,0.4428683327877969,69.1,20.7,hold
687551,Drew Gilbert,SF,OF,0.4506314051290337,68.9,20.7,hold
667472,Dane Myers,CIN,OF,0.4336608315551821,67.7,20.3,hold
623168,Tyler Heineman,TOR,C,0.3999689179560165,67.2,20.2,drop
677588,José Tena,WSH,2B,0.3713139694722506,65.7,19.7,drop
664056,Harrison Bader,SF,OF,0.4290320352277569,65.6,19.7,hold
664954,Brett Sullivan,COL,C,0.3952839493189886,65.2,19.6,drop
665561,Rafael Marchán,PHI,C,0.4065630034648749,64.6,19.4,drop
687231,Darell Hernaiz,ATH,3B,0.3826858865537349,64.3,19.3,drop
543309,Kyle Higashioka,TEX,C,0.4051570171692257,64.4,19.3,drop
663368,Blake Perkins,MIL,OF,0.410811050216573,64.1,19.2,drop
677592,Everson Pereira,CWS,OF,0.2979345703819536,62.6,18.8,drop
687957,Dustin Harris,HOU,OF,0.4064697783611083,62.2,18.7,drop
681297,Colton Cowser,BAL,OF,0.2875038158596712,59.5,17.8,drop
682877,Juan Brito,CLE,2B,0.355038743870272,58.6,17.6,drop
694374,Tim Tawa,AZ,OF,0.3677397584104324,57.4,17.2,drop
672016,Denzel Clarke,ATH,OF,0.3160053352912136,55.9,16.8,drop
543510,James McCann,AZ,C,0.3576677785579373,54.7,16.4,drop
695336,Thomas Saggese,STL,OF,0.2962100418572645,49.8,14.9,drop
