pid,year,n,sup_z,split,p,abs_i,abs_gap,sig
642547,2021,27,1.6354864527201327,6,0.10723192019950124,,0,False
642547,2022,17,2.086383851521369,7,0.04987531172069826,8,73,False
642547,2023,30,3.546653369192586,11,0.06234413965087282,,0,False
642547,2024,32,2.396822277405527,12,0.16957605985037408,,0,False
642547,2025,33,2.610118121348158,27,0.014962593516209476,,0,False
642547,2026,27,1.5301064129315134,13,0.3192019950124688,,0,False
642558,2019,18,1.8091879281743457,13,0.286783042394015,,0,False
643230,2019,19,0.8987405351515467,12,0.9451371571072319,9,32,False
643327,2017,25,1.7492412181814279,7,0.256857855361596,,0,False
643327,2018,32,1.1648841037589963,12,0.8104738154613467,,0,False
643377,2026,18,1.71910428200069,12,0.3341645885286783,,0,False
645261,2019,32,1.9966717577713655,24,0.30174563591022446,,0,False
645261,2021,33,2.6612092916937913,25,0.23192019950124687,,0,False
645261,2022,32,1.102359691313409,9,0.9900249376558603,,0,False
645261,2023,28,1.5898081384938325,24,0.5586034912718204,,0,False
645261,2025,31,2.52547938647041,23,0.14463840399002495,,0,False
645261,2026,28,1.2322193503686096,12,0.7955112219451371,,0,False
647336,2019,29,1.7502978558598772,4,0.32169576059850374,,0,False
647336,2025,17,1.4127459294877014,6,0.5536159600997507,,0,False
647336,2026,18,1.9744121809516169,5,0.3092269326683292,,0,False
650633,2024,30,1.61605852386196,7,0.5885286783042394,,0,False
650633,2025,15,1.984395832387482,7,0.5087281795511222,,0,False
650633,2026,27,2.0992473650207737,10,0.14713216957605985,,0,False
650644,2021,21,1.1714074016196563,12,0.8653366583541147,15,78,False
650644,2022,20,1.4020720492008694,9,0.6209476309226932,7,32,False
650644,2023,23,4.131095091438103,16,0.022443890274314215,,0,False
650644,2024,31,1.4626516462899244,5,0.5062344139650873,,0,False
650644,2025,18,2.431808964553327,11,0.10972568578553615,,0,False
650644,2026,15,0.931753237611632,8,0.6932668329177057,,0,False
650911,2023,18,0.96006493476478,12,0.7655860349127181,,0,False
650911,2024,31,2.0831120889993477,24,0.48877805486284287,,0,False
650911,2025,32,1.0798230299780083,4,0.9351620947630923,,0,False
650911,2026,27,1.5605004073774393,14,0.5935162094763092,,0,False
656288,2019,17,0.623975019760755,7,0.8254364089775561,,0,False
656288,2023,22,2.227629864588869,7,0.29177057356608477,16,33,False
656288,2024,31,1.4490100910351935,20,0.5760598503740648,,0,False
656288,2025,16,1.313941262674402,8,0.4139650872817955,,0,False
656302,2021,32,2.222174084154369,26,0.23690773067331672,,0,False
656302,2022,32,2.8252936564871667,19,0.15211970074812967,,0,False
656302,2023,33,1.9125626262959914,11,0.35910224438902744,,0,False
656302,2024,33,2.877762518441393,24,0.022443890274314215,,0,False
656302,2025,32,1.3626725168126304,7,0.713216957605985,,0,False
656302,2026,24,0.8644579874382505,5,0.9301745635910225,,0,False
656427,2018,28,1.3723458008439353,21,0.7930174563591023,,0,False
656427,2019,33,2.279921825719238,18,0.12219451371571072,,0,False
