mlbam_id,player_name,team,proj_ros_gs_per_teamgame,naive_pace,proj_ros_starts,team_games_remaining_implied,volume_percentile,gs_to,team_games_to,gs_per_teamgame_to,gs_last21,fp_per_start_to,prior1_gs_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
543135,"Eovaldi, Nathan",TEX,0.1435,0.1719,4.9,34.0,63.3,22,128.0,0.1719,2.0,12.55,0.1358,11.0,1.0,0.0,1.0,148
808963,"Sasaki, Roki",LAD,0.1434,0.1719,4.9,34.0,62.9,22,128.0,0.1719,3.0,10.2909,0.0,0.0,0.0,170.0,0.0,148
453286,"Scherzer, Max",TOR,0.1433,0.0853,4.7,33.0,62.6,11,129.0,0.0853,4.0,3.5636,0.0988,11.0,0.0,25.0,2.0,148
687562,"Bennett, Jake",BOS,0.1432,0.1102,5.0,35.0,62.2,14,127.0,0.1102,3.0,13.0143,0.0,0.0,0.0,170.0,0.0,148
677976,"Dobnak, Randy",,0.143,0.0551,5.0,35.0,61.9,7,127.0,0.0551,4.0,11.2286,0.0,6.0,0.0,170.0,0.0,148
656849,"Peterson, David",NYM,0.1429,0.125,4.9,34.0,61.5,16,128.0,0.125,3.0,6.1625,0.1852,6.0,0.0,170.0,0.0,148
607074,"Rodón, Carlos",NYY,0.1418,0.0787,5.0,35.0,61.2,10,127.0,0.0787,1.0,12.09,0.2037,11.0,0.0,3.0,1.0,148
683003,"Jones, Jared",,0.141,0.1102,4.9,35.0,60.8,14,127.0,0.1102,3.0,9.8571,0.0,2.0,0.0,170.0,0.0,148
681190,"Vásquez, Randy",SD,0.1404,0.1484,4.8,34.0,60.5,19,128.0,0.1484,2.0,8.0895,0.1605,2.0,0.0,33.0,1.0,148
696149,"Chandler, Bubba",PIT,0.1395,0.1783,4.6,33.0,60.1,23,129.0,0.1783,3.0,8.6783,0.0,0.0,0.0,170.0,0.0,148
547179,"Lorenzen, Michael",COL,0.1394,0.1969,4.9,35.0,59.8,25,127.0,0.1969,3.0,1.968,0.1605,11.0,0.0,170.0,0.0,148
681035,"Scott, Christian",NYM,0.1383,0.1406,4.7,34.0,59.4,18,128.0,0.1406,3.0,11.0667,0.0,0.0,1.0,0.0,1.0,148
680736,"Wrobleski, Justin",LAD,0.1377,0.1562,4.7,34.0,59.1,20,128.0,0.1562,3.0,13.425,0.0,0.0,1.0,0.0,1.0,148
666157,"Lodolo, Nick",CIN,0.1375,0.1094,4.7,34.0,58.7,14,128.0,0.1094,2.0,7.7357,0.1728,4.0,0.0,10.0,1.0,148
696270,"Johnson, Ryan",LAA,0.1371,0.0938,4.7,34.0,58.4,12,128.0,0.0938,4.0,5.6167,0.0,0.0,0.0,100.0,1.0,148
641778,"Lauer, Eric",TOR,0.1369,0.1318,4.5,33.0,58.0,17,129.0,0.1318,3.0,7.8706,0.0926,8.0,0.0,170.0,0.0,148
695076,"Lowder, Rhett",CIN,0.1365,0.1484,4.6,34.0,57.7,19,128.0,0.1484,3.0,7.6895,0.0,0.0,0.0,75.0,1.0,148
682052,"Lopez, Jacob",ATH,0.1363,0.1328,4.6,34.0,57.3,17,128.0,0.1328,3.0,7.4353,0.1049,1.0,0.0,170.0,0.0,148
647336,"Soroka, Michael",AZ,0.1363,0.1328,4.6,34.0,57.0,17,128.0,0.1328,2.0,12.9529,0.1049,7.0,1.0,0.0,1.0,148
687570,"Prielipp, Connor",MIN,0.1355,0.1328,4.6,34.0,56.6,17,128.0,0.1328,3.0,8.3353,0.0,0.0,0.0,26.0,1.0,148
691725,"Painter, Andrew",PHI,0.1344,0.125,4.6,34.0,56.3,16,128.0,0.125,4.0,5.1437,0.0,0.0,0.0,170.0,0.0,148
690928,"Dobbins, Hunter",STL,0.1342,0.0543,4.4,33.0,55.9,7,129.0,0.0543,3.0,10.9714,0.0679,1.0,0.0,170.0,0.0,148
605135,"Bassitt, Chris",BAL,0.1342,0.0938,4.6,34.0,55.6,12,128.0,0.0938,2.0,3.875,0.1914,11.0,0.0,7.0,1.0,148
683352,"Bratt, Mitch",,0.134,0.063,4.7,35.0,55.2,8,127.0,0.063,4.0,6.975,0.0,0.0,0.0,65.0,1.0,148
675660,"Drohan, Shane",MIL,0.1336,0.1094,4.5,34.0,54.9,14,128.0,0.1094,3.0,9.7643,0.0,0.0,0.0,170.0,0.0,148
605488,"Springs, Jeffrey",ATH,0.1324,0.1797,4.5,34.0,54.5,23,128.0,0.1797,2.0,5.6261,0.1852,4.0,0.0,2.0,1.0,148
657746,"Ryan, Joe",MIN,0.1323,0.1719,4.5,34.0,54.2,22,128.0,0.1719,1.0,12.4636,0.1852,4.0,1.0,0.0,1.0,148
663776,"Sandoval, Patrick",,0.1313,0.0551,4.6,35.0,53.8,7,127.0,0.0551,3.0,6.2714,0.0,6.0,0.0,46.0,1.0,148
607067,"Rea, Colin",CHC,0.1292,0.1484,4.4,34.0,53.5,19,128.0,0.1484,1.0,8.4895,0.1667,10.0,0.0,170.0,0.0,148
592791,"Taillon, Jameson",CHC,0.1289,0.1328,4.4,34.0,53.1,17,128.0,0.1328,2.0,7.4647,0.142,10.0,1.0,0.0,2.0,148
607192,"Glasnow, Tyler",LAD,0.1281,0.0547,4.4,34.0,52.8,7,128.0,0.0547,0.0,17.3857,0.1111,9.0,1.0,0.0,1.0,148
663969,"Phillips, Tyler",MIA,0.1274,0.1094,4.3,34.0,52.4,14,128.0,0.1094,3.0,7.6429,0.0,0.0,0.0,170.0,0.0,148
687473,"Gusto, Ryan",MIA,0.1274,0.0859,4.3,34.0,52.1,11,128.0,0.0859,3.0,6.4818,0.1049,1.0,0.0,170.0,0.0,148
623454,"Anderson, Drew",DET,0.1273,0.0394,4.5,35.0,51.7,5,127.0,0.0394,3.0,10.78,0.0,0.0,0.0,170.0,0.0,148
660271,"Ohtani, Shohei",LAD,0.1264,0.1094,4.3,34.0,51.4,14,128.0,0.1094,0.0,17.9714,0.0864,8.0,0.0,170.0,0.0,148
700249,"Povich, Cade",BAL,0.1236,0.0391,4.2,34.0,51.0,5,128.0,0.0391,2.0,6.72,0.1235,2.0,0.0,55.0,1.0,148
607200,"Fedde, Erick",CWS,0.1236,0.1102,4.3,35.0,50.7,14,127.0,0.1102,1.0,8.2071,0.1481,8.0,0.0,170.0,0.0,148
663556,"McClanahan, Shane",TB,0.1233,0.1654,4.3,35.0,50.3,21,127.0,0.1654,1.0,10.9619,0.0,5.0,0.0,4.0,1.0,148
476594,"Stock, Robert",,0.123,0.0315,4.3,35.0,50.0,4,127.0,0.0315,4.0,5.475,0.0,0.0,0.0,170.0,0.0,148
687312,"Hughes, Gabriel",,0.123,0.0551,4.3,35.0,49.7,7,127.0,0.0551,3.0,6.3,0.0,0.0,0.0,70.0,1.0,148
674003,"Bradford, Cody",,0.1227,0.0236,4.3,35.0,49.3,3,127.0,0.0236,3.0,8.4667,0.0,2.0,0.0,170.0,0.0,148
669713,"Wesneski, Hayden",,0.1225,0.0315,4.3,35.0,49.0,4,127.0,0.0315,3.0,9.45,0.0,3.0,0.0,170.0,0.0,148
669387,"Mlodzinski, Carmen",PIT,0.1221,0.093,4.0,33.0,48.6,12,129.0,0.093,3.0,4.9583,0.0741,1.0,0.0,170.0,0.0,148
656605,"Keller, Mitch",PIT,0.1214,0.1705,4.0,33.0,48.3,22,129.0,0.1705,1.0,7.4682,0.1975,7.0,1.0,0.0,1.0,148
686218,"Sheehan, Emmet",LAD,0.12,0.1562,4.1,34.0,47.9,20,128.0,0.1562,1.0,9.61,0.0802,3.0,0.0,170.0,0.0,148
687931,"Whisenhunt, Carson",,0.1191,0.0551,4.2,35.0,47.6,7,127.0,0.0551,4.0,3.0714,0.0,0.0,0.0,170.0,0.0,148
694918,"Tidwell, Blade",SF,0.1186,0.0236,4.2,35.0,47.2,3,127.0,0.0236,3.0,8.5,0.0,0.0,0.0,170.0,0.0,148
695549,"Jobe, Jackson",,0.1184,0.0236,4.1,35.0,46.9,3,127.0,0.0236,3.0,7.0667,0.0617,1.0,0.0,170.0,0.0,148
571945,"Mikolas, Miles",WSH,0.1184,0.093,3.9,33.0,46.5,12,129.0,0.093,2.0,2.075,0.1914,8.0,0.0,170.0,0.0,148
691946,"Klassen, George",LAA,0.1172,0.0391,4.0,34.0,46.2,5,128.0,0.0391,3.0,7.3,0.0,0.0,0.0,170.0,0.0,148
665871,"Assad, Javier",CHC,0.1169,0.0781,4.0,34.0,45.8,10,128.0,0.0781,1.0,10.64,0.0,3.0,0.0,170.0,0.0,148
678022,"Perkins, Jack",ATH,0.1161,0.0859,3.9,34.0,45.5,11,128.0,0.0859,3.0,4.8273,0.0,0.0,0.0,170.0,0.0,148
601713,"Pivetta, Nick",SD,0.1153,0.0312,3.9,34.0,45.1,4,128.0,0.0312,0.0,10.7,0.1914,9.0,1.0,0.0,1.0,148
664299,"Javier, Cristian",HOU,0.1146,0.0547,3.9,34.0,44.8,7,128.0,0.0547,3.0,1.1714,0.0,6.0,0.0,49.0,1.0,148
