owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
FA,Josiah Gray,Wsh,0.1,8.02,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-01,21.0,13.0
FA,Edward Cabrera,ChC,18.9,10.46,94.0,Stuff+·vol,0.113,FIFTEEN_DAY_DL,2026-09-01,20.0,13.0
FA,Kai-Wei Teng,Hou,0.6,10.49,,rp3_dd·vol,0.079,,,20.0,12.0
FA,German Marquez,FA,0.2,8.38,87.0,Stuff+·vol,0.099,,,20.0,12.0
FA,Kyle Freeland,Col,0.8,9.67,91.0,Stuff+·vol,0.154,FIFTEEN_DAY_DL,2026-09-05,20.0,13.0
FA,Andrew Morris,Min,1.1,10.41,,rp3_dd·vol,0.073,,,19.0,12.0
FA,Slade Cecconi,Cle,1.4,9.94,94.0,Stuff+·vol,0.11,FIFTEEN_DAY_DL,2026-09-01,19.0,12.0
FA,Tanner Gordon,Col,0.1,8.31,,rp3_dd·vol,0.093,,,19.0,12.0
FA,Kendry Rojas,Min,0.1,10.38,,rp3_dd·vol,0.077,,,19.0,12.0
FA,Zack Littell,Ari,1.4,6.89,,rp3_dd·vol,0.115,,,19.0,12.0
FA,Hunter Dobbins,StL,1.1,11.17,96.0,Stuff+·vol,0.132,FIFTEEN_DAY_DL,2026-09-06,19.0,12.0
FA,Carlos Carrasco,Atl,0.0,4.79,,talent_prior·flat↓,,,,18.0,11.0
FA,Ty Madden,Det,0.4,9.35,,rp3_dd·vol,0.078,,,18.0,11.0
FA,Matt Wilkinson,SF,0.3,7.78,,rp3_dd·vol,0.094,,,18.0,11.0
FA,Johan Oviedo,Bos,0.2,8.51,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-05,18.0,11.0
FA,Trey Gibson,Bal,0.1,10.1,97.0,Stuff+·vol,0.072,,,18.0,11.0
FA,Brayan Bello,Bos,5.5,9.19,,rp3_dd·vol,0.083,,,18.0,12.0
FA,Reynaldo Lopez,Atl,4.7,10.17,90.0,Stuff+·vol,0.087,FIFTEEN_DAY_DL,2026-08-28,18.0,11.0
FA,Patrick Corbin,Tor,0.4,9.85,94.0,Stuff+·vol,0.098,SIXTY_DAY_DL,2026-09-01,17.0,10.0
FA,Jason Alexander,Hou,0.0,7.84,,rp3_dd·vol,0.091,,,17.0,11.0
FA,Michael Soroka,Ari,41.3,10.8,94.0,Stuff+·vol,0.148,FIFTEEN_DAY_DL,2026-09-08,17.0,11.0
FA,AJ Smith-Shawver,Atl,2.1,8.2,,rp3_dd·vol,0.087,,,17.0,11.0
FA,Mike Burrows,Hou,1.6,9.82,94.0,Stuff+·vol,0.091,FIFTEEN_DAY_DL,2026-08-30,17.0,11.0
FA,Shane Smith,ChW,1.6,9.19,,rp3_dd·vol,0.071,,,16.0,10.0
FA,Alex Cobb,FA,0.0,8.94,,talent_prior·flat↓,,OUT,2026-09-07,16.0,10.0
FA,Luis Ortiz,Cle,0.0,8.83,,talent_prior·flat↓,,OUT,2026-09-07,16.0,10.0
FA,Elmer Rodriguez,NYY,0.5,9.78,92.0,Stuff+·vol,0.069,,,16.0,10.0
FA,Miles Mikolas,FA,0.3,6.19,,rp3_dd·vol,0.106,,,16.0,10.0
FA,JR Ritchie,Atl,1.4,8.07,,rp3_dd·vol,0.084,,,16.0,10.0
FA,Mason Barnett,Oak,0.1,7.26,,rp3_dd·vol,0.089,,,16.0,10.0
FA,Yu Darvish,SD,0.1,8.95,,talent_prior·flat↓,,OUT,2026-09-07,16.0,10.0
FA,Zac Gallen,Ari,33.1,8.32,87.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-09-01,15.0,9.0
FA,Dakota Hudson,LAA,0.0,4.07,,talent_prior·flat↓,,,,15.0,10.0
FA,Brandon Williamson,Cin,0.1,9.49,98.0,Stuff+·vol,0.077,SIXTY_DAY_DL,2026-08-28,15.0,9.0
FA,Chris Paddack,Tex,0.1,7.36,,rp3_dd·vol,0.086,,,15.0,10.0
FA,Sam Aldegheri,LAA,0.1,8.55,89.0,Stuff+·vol,0.071,,,15.0,9.0
FA,Jose Cabrera,Ari,0.1,8.0,,rp3_dd·vol,0.073,,,14.0,9.0
FA,Coleman Crow,Mil,0.1,7.28,,rp3_dd·vol,0.077,,,14.0,8.0
FA,Jack Flaherty,Det,30.0,11.66,100.0,Stuff+·vol,0.113,FIFTEEN_DAY_DL,2026-09-08,14.0,9.0
FA,Alan Rangel,Phi,0.1,8.35,,rp3_dd·vol,0.068,,,14.0,9.0
FA,Spencer Miles,Tor,0.9,9.18,,rp3_dd·vol,0.063,,,14.0,9.0
FA,Justin Verlander,Det,1.4,8.68,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-09-08,14.0,9.0
FA,Eduardo Rivera,Bos,0.0,9.1,,rp3_dd·vol,0.062,,,14.0,9.0
FA,Jesse Scholtens,TB,0.2,6.64,,rp3_dd·vol,0.088,,,14.0,9.0
FA,Kohl Drake,Ari,0.2,6.6,,rp3_dd·vol,0.085,,,14.0,8.0
FA,Chase Petty,Cin,0.1,7.11,,rp3_dd·vol,0.077,,,13.0,8.0
FA,Frankie Montas,FA,0.0,7.36,,talent_prior·flat↓,,OUT,2026-09-07,13.0,8.0
FA,Matt Waldron,Wsh,0.1,7.08,,rp3_dd·vol,0.073,,,13.0,8.0
FA,Simeon Woods Richardson,Tor,0.3,6.32,,rp3_dd·vol,0.08,,,12.0,8.0
FA,Carson Palmquist,Wsh,0.0,6.56,,rp3_dd·vol,0.067,,,11.0,7.0
FA,Jose Suarez,Oak,0.1,7.52,,rp3_dd·vol,0.058,FIFTEEN_DAY_DL,2026-08-26,10.0,6.0
FA,Bailey Falter,Atl,0.0,6.82,,rp3_dd·vol,0.061,,,10.0,6.0
FA,Kris Bubic,LAD,21.9,10.86,94.0,Stuff+·vol,0.108,SIXTY_DAY_DL,2026-09-11,10.0,6.0
FA,Connelly Early,Wsh,16.6,12.22,103.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-09-11,10.0,6.0
FA,Taijuan Walker,LAA,0.1,5.96,,rp3_dd·vol,0.069,,,10.0,6.0
FA,Spencer Strider,Atl,41.4,11.41,97.0,Stuff+·vol,0.097,SIXTY_DAY_DL,2026-09-11,9.0,6.0
FA,Hurston Waldrep,Atl,0.6,7.91,,rp3_dd·vol,0.046,,,9.0,5.0
FA,Lucas Giolito,SD,0.9,7.64,87.0,Stuff+·vol,0.086,SIXTY_DAY_DL,2026-09-04,9.0,6.0
FA,Braxton Garrett,ChC,0.5,7.89,,rp3_dd·vol,0.045,,,9.0,5.0
FA,Antonio Senzatela,Mil,2.6,2.32,,talent_prior·flat↓,,,,9.0,6.0
FA,Luis Morales,Oak,0.1,6.58,,rp3_dd·vol,0.044,,,7.0,4.0
FA,Nick Pivetta,SD,49.8,12.6,,rp3_dd·vol,0.116,SIXTY_DAY_DL,2026-09-15,7.0,4.0
FA,Sean Sullivan,Col,0.0,5.52,81.0,Stuff+·vol,0.052,,,7.0,4.0
FA,Tony Gonsolin,KC,0.0,7.32,,talent_prior·flat↓,,FIFTEEN_DAY_DL,2026-09-14,6.0,4.0
FA,Bradley Blalock,Mia,0.0,0.5,,talent_prior·flat↓,,,,2.0,1.0
FA,Jose Quintana,Col,0.2,6.6,81.0,Stuff+·vol,0.098,SIXTY_DAY_DL,2026-09-18,1.0,1.0
FA,Hunter Greene,Cin,25.3,13.84,111.0,Stuff+·vol,0.091,SIXTY_DAY_DL,2028-02-01,0.0,0.0
