pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla,signal,profile_flag,sample_tier
695611,Gage Jump,897,5.384,1.358,-0.042,0.501,0.376,0.505,0.347,0.624,95.0,P,SP,89.7,5.325,5.3663,1.061361174119914,0.2705622672424346,0.7363846581945965,0.4032615684339112,0.033,2.5149,13.83,,,,0,0,0.0,,,Top Target,Bat-Miss Elite,Strong
683175,Connor Phillips,577,5.397,1.455,-0.041,0.437,0.399,0.464,0.331,0.601,95.3,P,RP,21.37037037037037,5.301,5.3682,1.0735082481470424,0.3519231901358493,0.6997486089328981,0.3875737024627056,0.033,2.5137,,2.51,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,4.938429522199212,3.669780024819265,Top Target,"Bat-Miss Elite, Closer Value",Strong
673929,Jordan Leasure,336,5.348,1.299,-0.043,0.487,0.397,0.443,0.327,0.603,92.8,P,RP,16.8,5.492,5.3912,1.0848756281718477,0.3918099942916991,0.6925228600818155,0.3787332736393095,0.033,2.5101,,2.51,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.010912694148127,3.382324501941068,Top Target,"Bat-Miss Elite, Closer Value",Okay
686560,Gavin Collyer,454,5.356,1.557,-0.043,0.425,0.36,0.473,0.323,0.64,93.3,P,RP,19.73913043478261,5.42,5.3752,1.0583930166866018,0.3334621231881415,0.7299882250017871,0.3784087174415825,0.033,2.5051,,2.51,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
684049,Brandan Bidois,325,5.261,1.252,-0.046,0.497,0.391,0.451,0.33,0.609,86.5,P,RP,21.666666666666668,5.646,5.3765,1.0740889479048712,0.3770964627262546,0.7047316916965718,0.3848067882005629,0.033,2.4896,,2.49,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
666374,Matt Brash,301,5.377,1.407,-0.042,0.399,0.369,0.454,0.309,0.631,94.5,P,RP,13.681818181818182,5.294,5.352099999999999,1.0503588167953837,0.3731102254514415,0.715297024935537,0.3700888679448069,0.033,2.4888,,2.49,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
642547,Freddy Peralta,1893,5.351,1.374,-0.043,0.454,0.379,0.464,0.335,0.621,93.0,P,SP,94.65,5.422,5.372299999999999,1.0660305010220892,0.3515907754724401,0.7218767034186528,0.3904966915898038,0.033,2.4786,13.63,,,,0,0,0.0,5.098672226929722,2.9927086307881154,Top Target,Bat-Miss Elite,Strong
694037,Daniel Palencia,297,5.368,1.358,-0.042,0.516,0.387,0.468,0.332,0.613,93.8,P,RP,14.85,5.311,5.3509,1.0584241913900412,0.3453731379874974,0.7169083520262423,0.3923058181000029,0.033,2.4785,,2.48,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
678606,José Ferrer,708,5.241,1.393,-0.047,0.464,0.296,0.535,0.291,0.704,84.4,P,RP,14.75,5.301,5.259,0.9651091213879608,0.2196167031557645,0.7965168248532672,0.373235670501231,0.033,2.4695,,2.47,+5/save (role-dependent),+2/hold (role-dependent),2,18,46.0,5.112271239201063,2.681242379027779,Strong Add,Bat-Miss Elite,Strong
670183,Garrett Acton,115,5.292,1.24,-0.045,0.48,0.364,0.5,0.345,0.636,89.4,P,RP,28.75,5.479,5.3481,1.0457944418753704,0.2819787138840357,0.7512748077066091,0.4053265185602229,0.033,2.4689,,2.47,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Too Small,"Bat-Miss Elite, Closer Value",Small
