batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Corey Seager,608369,439,Tier A,125.3,116.7,102.7,119.3,0.499,0.258,0.465,0.09,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jahmai Jones,663330,160,Tier C,120.7,108.2,97.4,119.0,0.447,0.244,0.475,0.089,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Austin Slater,596103,171,Tier C,116.9,96.9,94.6,119.0,0.493,0.266,0.469,0.089,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Corbin Carroll,682998,649,Tier A,119.1,95.5,100.2,118.8,0.49,0.326,0.455,0.088,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Yordan Álvarez,670541,197,Tier C,122.8,85.4,112.8,118.6,0.44,0.294,0.437,0.087,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Colson Montgomery,695657,283,Tier B,116.7,104.7,91.7,118.6,0.507,0.311,0.452,0.087,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
George Springer,543807,672,Tier A,123.5,116.6,101.8,118.0,0.468,0.209,0.462,0.084,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ben Rice,700250,565,Tier A,123.2,93.8,111.6,117.8,0.437,0.228,0.457,0.083,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Byron Buxton,621439,548,Tier A,118.7,109.5,95.4,117.7,0.52,0.297,0.457,0.083,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Michael Busch,683737,613,Tier A,119.8,109.2,98.3,117.6,0.468,0.233,0.461,0.082,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Oneil Cruz,665833,549,Tier A,111.4,71.5,98.9,117.0,0.414,0.268,0.433,0.079,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Dominic Canzone,686527,303,Tier B,118.1,86.6,106.6,116.7,0.519,0.347,0.432,0.077,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Ramón Laureano,657656,490,Tier A,116.3,107.3,94.4,116.5,0.477,0.247,0.451,0.076,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Willson Contreras,575929,567,Tier A,116.3,103.0,96.4,116.3,0.485,0.318,0.439,0.075,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Matt Olson,621566,722,Tier A,114.5,103.8,93.1,116.0,0.453,0.249,0.432,0.074,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Zach Neto,687263,550,Tier A,116.5,105.4,96.8,115.9,0.486,0.285,0.447,0.073,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jackson Merrill,701538,506,Tier A,119.4,108.3,101.9,115.8,0.586,0.369,0.424,0.073,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Dillon Dingler,693307,512,Tier A,116.0,95.1,101.1,115.5,0.484,0.329,0.439,0.071,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
