batter,year,age,age_residual_27,career_year
459964,2015,31,4,1
459964,2016,32,5,2
459964,2017,33,6,3
459964,2018,34,7,4
459964,2019,35,8,5
459964,2021,37,10,6
459967,2015,31,4,1
460003,2015,32,5,1
460026,2015,32,5,1
460026,2016,33,6,2
460026,2017,34,7,3
460026,2018,35,8,4
460026,2019,36,9,5
460055,2015,32,5,1
460059,2015,31,4,1
460060,2015,31,4,1
460060,2016,32,5,2
460060,2017,33,6,3
460060,2018,34,7,4
460075,2015,32,5,1
460075,2016,33,6,2
460075,2017,34,7,3
460075,2018,35,8,4
460075,2019,36,9,5
460077,2015,32,5,1
460077,2016,33,6,2
460077,2017,34,7,3
460077,2018,35,8,4
460077,2019,36,9,5
460077,2021,38,11,6
460086,2015,31,4,1
460086,2016,32,5,2
460086,2017,33,6,3
460086,2018,34,7,4
460086,2019,35,8,5
460099,2015,32,5,1
460099,2016,33,6,2
460131,2015,31,4,1
460269,2015,33,6,1
460269,2016,34,7,2
460269,2017,35,8,3
460269,2018,36,9,4
460283,2016,33,6,1
460283,2018,35,8,2
460576,2015,30,3,1
460576,2016,31,4,2
460576,2017,32,5,3
460576,2018,33,6,4
460576,2019,34,7,5
460701,2015,29,2,1
461235,2015,32,5,1
461235,2016,33,6,2
461235,2017,34,7,3
461314,2015,31,4,1
461314,2016,32,5,2
461314,2017,33,6,3
461314,2018,34,7,4
461314,2019,35,8,5
461325,2015,30,3,1
461416,2015,33,6,1
461416,2016,34,7,2
461815,2015,34,7,1
461829,2015,30,3,1
461829,2016,31,4,2
461829,2017,32,5,3
461829,2018,33,6,4
461829,2019,34,7,5
461833,2015,29,2,1
461833,2016,30,3,2
461833,2018,32,5,3
461858,2015,29,2,1
461858,2016,30,3,2
461858,2017,31,4,3
461858,2018,32,5,4
461865,2015,30,3,1
461865,2016,31,4,2
461865,2017,32,5,3
461865,2018,33,6,4
461865,2021,36,9,5
462101,2015,27,0,1
462101,2016,28,1,2
462101,2017,29,2,3
462101,2018,30,3,4
462101,2019,31,4,5
462101,2021,33,6,6
462101,2022,34,7,7
462101,2023,35,8,8
462136,2015,32,5,1
462136,2016,33,6,2
462136,2017,34,7,3
462136,2018,35,8,4
462382,2016,33,6,1
462515,2015,29,2,1
462515,2017,31,4,2
462564,2015,35,8,1
463610,2015,31,4,1
463610,2016,32,5,2
463610,2018,34,7,3
465041,2015,29,2,1
465041,2016,30,3,2
465041,2017,31,4,3
465041,2018,32,5,4
465041,2019,33,6,5
465674,2015,30,3,1
465753,2015,29,2,1
465753,2016,30,3,2
465753,2017,31,4,3
465753,2018,32,5,4
465784,2015,29,2,1
466320,2015,31,4,1
466320,2016,32,5,2
466320,2017,33,6,3
466320,2018,34,7,4
466320,2019,35,8,5
466948,2015,33,6,1
466948,2017,35,8,2
466988,2015,30,3,1
466988,2016,31,4,2
466988,2017,32,5,3
467008,2016,31,4,1
467008,2017,32,5,2
467008,2018,33,6,3
467055,2015,29,2,1
467055,2016,30,3,2
467055,2017,31,4,3
467055,2018,32,5,4
467055,2019,33,6,5
467055,2021,35,8,6
467070,2015,30,3,1
467092,2015,28,1,1
467092,2016,29,2,2
467092,2017,30,3,3
467092,2018,31,4,4
467092,2019,32,5,5
467092,2021,34,7,6
467100,2016,29,2,1
467100,2017,30,3,2
467100,2018,31,4,3
467100,2019,32,5,4
467143,2015,27,0,1
467785,2015,32,5,1
467793,2015,29,2,1
