pitcher,player_name,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
674444,Steven Cruz,5,-0.23333333333333345,7.4074074074074066,4,,,,,False
675848,Juan Mejia,12,0.5884,36.4,16,6.0,100.0,0.6525,0.1797,False
676254,Ryan Walker,14,0.5146,19.3,32,23.0,100.0,0.9,0.4765,False
676263,Jack Dreyer,14,0.7341,12.5,6,2.0,100.0,0.8338,0.1828,False
676395,Robert Garcia,9,0.6,33.8,54,35.0,100.0,0.73,0.3579,False
676428,Brant Hurter,14,0.748148148148148,54.285714285714285,19,,,,,False
676477,Garrett Whitlock,13,0.825,41.5,54,46.0,100.0,0.916,0.261,False
676508,Ben Casparius,5,0.3857142857142857,21.951219512195124,9,,,,,False
676534,Calvin Faucher,14,0.4889,15.0,21,20.0,100.0,0.677,0.2317,False
676617,Riley O'Brien,16,0.7875,47.2,17,5.0,100.0,0.7987,0.418,False
676684,Will Vest,13,0.4714,29.1,74,68.0,100.0,0.7156,0.4426,False
676755,Isaac Mattson,17,0.5999999999999999,11.428571428571429,4,,,,,False
676760,Ron Marinaccio,12,0.4393,18.6,18,16.0,100.0,0.6237,0.3399,False
676775,Keaton Winn,13,0.991891891891892,,0,,,,,True
676879,Aaron Ashby,15,0.9036,54.4,31,8.0,75.0,0.8793,0.0311,False
676962,Ben Brown,11,0.8123287671232876,0.0,0,,,,,True
677053,Andrew Nardi,14,0.4056,18.9,23,17.0,100.0,0.6548,0.6317,False
677161,Zack Kelly,12,0.5211,56.0,47,26.0,96.2,0.4951,0.2077,False
677865,Justin Bruihl,18,0.11960784313725482,6.666666666666667,5,,,,,False
677955,Jaden Hill,14,0.2944444444444443,25.0,6,,,,,False
677961,Cole Wilcox,11,0.24999999999999992,,0,,,,,True
678022,Jack Perkins,8,0.925,100.0,1,,,,,False
678606,Jose A. Ferrer,17,0.4696,28.6,36,36.0,100.0,0.6559,0.4982,False
678906,Kai-Wei Teng,12,0.9888888888888888,,0,,,,,True
679358,Eric Orze,14,0.5888888888888888,18.181818181818183,4,,,,,False
679775,Kyle Backhus,9,0.5999999999999999,66.66666666666666,16,,,,,False
680704,Nick Sandlin,8,-0.24782608695652178,2.272727272727273,5,,,,,False
680730,Mitchell Parker,6,0.7999999999999998,,0,,,,,True
680742,Jonathan Bowlan,9,0.41999999999999993,3.8461538461538463,1,,,,,False
680755,Braydon Fisher,16,0.6714285714285714,8.333333333333332,3,,,,,False
680767,Victor Vodnik,13,0.1,3.6,4,4.0,100.0,0.53,0.5574,False
680802,Ryan Weiss,6,0.2136363636363635,,0,,,,,True
681217,Chase Silseth,16,0.07058823529411751,0.0,0,,,,,True
681402,Gus Varland,14,0.5499999999999999,50.0,14,,,,,False
681867,Cooper Criswell,12,0.8555555555555554,100.0,13,,,,,False
681870,Erik Sabrowski,17,1.1227272727272726,68.0,17,,,,,False
681892,Kody Funderburk,16,0.6263,71.0,44,17.0,88.2,0.5124,0.3031,False
681895,Evan Sisk,9,0.81875,63.63636363636363,7,,,,,False
681911,Alex Vesia,14,1.0714,71.8,204,169.0,72.2,0.9272,0.1498,False
681982,Grant Anderson,17,0.717,65.7,65,52.0,92.3,0.5967,0.3544,False
682120,Tim Herrin,13,0.4548,17.1,24,4.0,100.0,0.7772,0.4139,False
682254,Mason Montgomery,12,0.9529411764705882,92.72727272727272,51,,,,,False
682842,Abner Uribe,14,0.85,52.8,57,44.0,100.0,0.9143,0.1821,False
682995,Hunter Barco,5,-0.12857142857142861,,0,,,,,True
683175,Connor Phillips,17,0.5339622641509434,0.0,0,,,,,True
683232,Nick Mears,13,0.7,61.8,97,65.0,92.3,0.6567,0.2828,False
683618,Edgardo Henriquez,11,0.42258064516129035,6.666666666666667,1,,,,,False
683742,Jose Franco,6,0.32857142857142846,,0,,,,,True
683769,Hunter Gaddis,8,0.1,8.1,12,5.0,100.0,0.8542,0.8569,False
685005,Christian Roa,7,-0.11739130434782621,,0,,,,,True
685801,Hunter Bigge,9,0.6333333333333333,13.043478260869565,3,,,,,False
686560,Gavin Collyer,9,1.0047619047619047,,0,,,,,True
686610,Ken Waldichuk,5,0.31428571428571417,22.22222222222222,2,,,,,False
686973,Louis Varland,16,1.1,98.6,73,37.0,32.4,0.7542,-0.1409,False
686993,Justin Sterner,16,0.5615,40.0,18,6.0,100.0,0.8377,0.8065,False
687330,Kevin Kelly,13,0.8143,68.8,106,73.0,65.8,0.6581,0.1568,False
687396,Brent Headrick,17,0.88,100.0,16,,,,,False
687606,Paxton Schultz,8,0.7666666666666666,100.0,4,,,,,False
687911,Bryan King,12,0.3682926829268292,0.0,0,,,,,True
688158,David Morgan,11,0.07499999999999987,0.0,0,,,,,True
688297,Chris Roycroft,5,-1.0666666666666667,4.651162790697675,2,,,,,False
688642,Zach Agnos,10,0.4454545454545454,52.38095238095239,11,,,,,False
688883,Peyton Pallette,10,0.49024390243902444,,0,,,,,True
689147,Orion Kerkering,13,0.7053,43.4,53,29.0,82.8,0.6394,0.2119,False
689254,Mason Fluharty,16,0.8499999999999999,62.5,25,,,,,False
