pitcher,seasons_used,h1_gs,h2_gs,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,rank,xfp_rp3_per_start_sched,gs_to,category
624133,5,55,61,13.487,10.918,-2.569,-19.0,"Suarez, Ranger",68.0,10.41,7.0,FRONT-LOADED
547943,5,45,47,13.938,11.287,-2.651,-19.0,,,,,FRONT-LOADED
453286,7,77,82,19.006,15.371,-3.636,-19.1,"Scherzer, Max",169.0,7.1,5.0,FRONT-LOADED
641540,4,57,35,10.418,8.42,-1.998,-19.2,,,,,FRONT-LOADED
681857,3,32,18,12.322,9.939,-2.383,-19.3,,,,,FRONT-LOADED
656605,6,79,76,10.609,8.564,-2.044,-19.3,"Keller, Mitch",61.0,11.05,7.0,FRONT-LOADED
502043,6,99,86,11.673,9.381,-2.291,-19.6,,,,,FRONT-LOADED
622663,5,78,47,12.092,9.687,-2.405,-19.9,"Severino, Luis",75.0,10.15,7.0,FRONT-LOADED
667755,2,31,20,11.319,9.055,-2.264,-20.0,"Soriano, José",12.0,14.01,7.0,FRONT-LOADED
672282,4,39,36,10.472,8.375,-2.097,-20.0,"Detmers, Reid",43.0,11.93,7.0,FRONT-LOADED
456501,4,29,31,12.045,9.545,-2.5,-20.8,,,,,FRONT-LOADED
673540,2,29,22,14.348,11.3,-3.048,-21.2,"Senga, Kodai",93.0,9.79,5.0,FRONT-LOADED
543699,2,34,27,11.138,8.759,-2.379,-21.4,,,,,FRONT-LOADED
676979,2,38,25,17.497,13.692,-3.805,-21.7,"Crochet, Garrett",33.0,11.97,6.0,FRONT-LOADED
461829,2,24,25,10.688,8.284,-2.404,-22.5,,,,,FRONT-LOADED
572020,4,57,40,12.814,9.895,-2.919,-22.8,,,,,FRONT-LOADED
663559,4,42,36,9.298,7.175,-2.123,-22.8,,,,,FRONT-LOADED
452657,3,47,44,9.957,7.618,-2.339,-23.5,,,,,FRONT-LOADED
607625,4,52,38,13.842,10.526,-3.316,-24.0,"Lugo, Seth",66.0,10.21,7.0,FRONT-LOADED
605164,4,62,47,9.548,7.245,-2.304,-24.1,,,,,FRONT-LOADED
545333,3,54,24,17.122,12.983,-4.139,-24.2,,,,,FRONT-LOADED
605200,5,69,52,8.023,6.0,-2.023,-25.2,,,,,FRONT-LOADED
657746,5,65,49,15.2,11.302,-3.898,-25.6,"Ryan, Joe",25.0,12.6,7.0,FRONT-LOADED
543135,7,83,74,14.688,10.905,-3.783,-25.8,"Eovaldi, Nathan",24.0,12.42,7.0,FRONT-LOADED
430935,2,34,25,12.5,9.172,-3.328,-26.6,,,,,FRONT-LOADED
657376,3,43,19,11.837,8.658,-3.179,-26.9,,,,,FRONT-LOADED
621389,4,21,18,5.181,3.733,-1.448,-27.9,,,,,FRONT-LOADED
680686,3,34,37,10.997,7.911,-3.086,-28.1,,,,,FRONT-LOADED
656412,3,16,12,8.125,5.808,-2.317,-28.5,,,,,FRONT-LOADED
663554,3,47,27,10.819,7.73,-3.09,-28.6,"Mize, Casey",58.0,10.79,6.0,FRONT-LOADED
489119,4,45,53,12.302,8.772,-3.531,-28.7,,,,,FRONT-LOADED
605347,3,27,23,6.211,4.365,-1.846,-29.7,,,,,FRONT-LOADED
282332,2,30,21,10.297,7.186,-3.111,-30.2,,,,,FRONT-LOADED
596133,4,51,23,9.627,6.713,-2.914,-30.3,,,,,FRONT-LOADED
664141,2,31,21,10.097,7.019,-3.078,-30.5,,,,,FRONT-LOADED
671096,3,38,37,14.124,9.754,-4.37,-30.9,"Abbott, Andrew",129.0,8.14,7.0,FRONT-LOADED
643230,3,14,17,8.186,5.647,-2.539,-31.0,,,,,FRONT-LOADED
607644,2,26,27,14.081,9.641,-4.44,-31.5,,,,,FRONT-LOADED
