rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8
271,"Garrett, Braxton",7.810411937189198,data_driven_thin,2,-4.85,2,9.545941546018392,-11.6,1.9,-4.85,-4.85,2026-05-19,0.0
272,"Anderson, Tyler",7.79,marcel_il,0,,0,,,,,,,
273,"Marsh, Alec",7.79,marcel_il,0,,0,,,,,,,
274,"Montgomery, Jordan",7.78,marcel_il,0,,0,,,,,,,
276,"Heaney, Andrew",7.78,marcel_il,0,,0,,,,,,,
277,"Fedde, Erick",7.774534781399874,data_driven_full,14,9.375,4,5.623388658095758,4.3,16.5,4.2,6.975,2026-08-06,2.4000000000000004
278,"Vásquez, Randy",7.770174606371955,data_driven_full,18,0.875,4,12.646837549363873,-11.0,17.8,7.050000000000001,3.05,2026-08-04,-2.175
279,"Megill, Tylor",7.74,marcel_il,0,,0,,,,,,,
280,"Alexander, Jason",7.718707244010469,data_driven_thin,2,7.800000000000001,2,15.556349186104045,-3.2,18.8,1.6250000000000002,7.800000000000001,2026-05-26,0.0
283,"Lauer, Eric",7.6567068862362095,data_driven_full,15,7.8500000000000005,4,12.369182134105177,-8.8,20.8,7.8500000000000005,8.5125,2026-08-05,-0.6624999999999988
285,George Klassen,7.596628200624413,data_driven_thin,2,-3.8000000000000003,2,6.505382386916237,-8.4,0.8,-3.8000000000000003,-3.8000000000000003,2026-04-11,0.0
287,"McGreevy, Michael",7.569243502961221,data_driven_full,22,4.1499999999999995,4,14.489881527005892,-16.5,16.9,4.1499999999999995,8.45,2026-08-03,-4.3
289,"Morton, Charlie",7.53,marcel_il,0,,0,,,,,,,
291,"Johnson, Ryan",7.502972114007366,data_driven_full,10,1.8,4,10.806479537758817,-11.0,14.5,1.8,7.4,2026-08-06,-5.6000000000000005
292,"Quantrill, Cal",7.487857415409175,data_driven_thin,7,10.350000000000001,4,12.41759504359305,-7.8,19.6,7.625,9.814285714285715,2026-08-03,0.5357142857142865
293,"Dobnak, Randy",7.435156231097334,data_driven_thin,4,13.350000000000001,4,6.565312889218102,7.3,22.1,13.350000000000001,13.350000000000001,2026-08-04,0.0
294,"McCullers Jr., Lance",7.395780372651262,marcel_il,8,5.175000000000001,4,10.427008199862508,-6.2,16.8,3.2,6.35,2026-07-25,-1.174999999999999
295,"Estes, Joey",7.38,marcel_il,0,4.3,1,,4.3,4.3,4.3,4.3,2026-06-13,0.0
296,"Montas, Frankie",7.36,marcel_il,0,,0,,,,,,,
297,"Stroman, Marcus",7.34,marcel_il,0,,0,,,,,,,
298,"Littell, Zack",7.337628893925149,data_driven_full,15,4.3,4,7.61008103329612,-5.2,10.5,6.925000000000001,5.8125,2026-08-04,-1.5125000000000002
299,"Bratt, Mitch",7.333076933792418,data_driven_thin,6,10.125,4,12.976998882638465,-2.5,28.1,10.125,7.550000000000001,2026-08-05,2.5749999999999993
300,"Gonsolin, Tony",7.33,marcel_il,0,,0,,,,,,,
302,"Paddack, Chris",7.275355857350716,data_driven_full,9,-0.4249999999999998,4,9.349999999999998,-13.2,7.5,2.3499999999999996,3.6375000000000006,2026-06-29,-4.0625
304,"Bassitt, Chris",7.198827236055436,marcel_il,10,3.1,4,7.95193896690193,-3.1,13.8,5.375,6.237500000000001,2026-06-03,-3.1375000000000006
306,"Crow, Coleman",7.192102304915112,data_driven_thin,4,4.25,4,12.426986762687083,-13.3,13.5,2.2499999999999996,4.25,2026-06-09,0.0
307,"Miller, Bobby",7.18,marcel_il,0,,0,,,,,,,
310,"Evans, Logan",7.09,marcel_il,0,,0,,,,,,,
309,"Irvin, Cole",7.09,marcel_il,0,,0,,,,0.8,,2026-07-31,
