batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus
827637,2,6,0.014625535443072638,0.172192941563954,,0.172192941563954,49.9,176.5,,124.7
687069,2,6,-0.014606798686210865,0.17094456861595989,,0.17094456861595989,21.3,175.9,,124.4
642180,4,16,0.009813870334102442,0.1689297409544206,,0.1689297409544206,45.2,175.0,,124.0
703175,1,1,0.2138711872715998,0.16746871857110635,,0.16746871857110635,244.8,174.4,,123.7
814430,11,29,0.10794741896471548,0.02944023926334266,0.1350267213842439,0.16446696064758656,141.2,114.6,128.1,123.1
689196,2,6,0.09879667805245355,0.1640397918852099,,0.1640397918852099,132.2,172.9,,123.0
691728,19,63,0.0673831775381577,-0.027578056947930123,0.19105697271006597,0.16347891576213586,101.5,89.8,139.1,122.9
683103,1,1,0.09940613016366445,0.16230963557459246,,0.16230963557459246,132.8,172.2,,122.6
805964,1,2,0.1789385473802223,0.16039367169551833,,0.16039367169551833,210.6,171.3,,122.2
665833,298,1217,0.038700355713673563,-0.00620868367954685,0.164937088470782,0.15872840479123515,73.5,99.1,134.0,121.9
695491,25,84,0.06357472631747747,0.0012707787162676463,0.1550358973292546,0.15630667604552226,97.8,102.4,132.0,121.4
692944,2,5,0.04573543565320694,0.15620798230568958,,0.15620798230568958,80.3,169.5,,121.3
660271,533,2044,0.05635701810529849,0.003694501661479872,0.14844414872027345,0.1521386503817533,90.7,103.4,130.7,120.5
805796,3,11,0.002103888310826176,0.15148046174910323,,0.15148046174910323,37.7,167.5,,120.4
702264,6,15,0.09629662703569235,0.15142882626061663,,0.15142882626061663,129.8,167.5,,120.3
669439,4,10,0.1022924848506872,0.1506464786827462,,0.1506464786827462,135.7,167.1,,120.2
671117,4,11,0.08885427494324939,0.1484399927129833,,0.1484399927129833,122.5,166.2,,119.7
800473,4,7,0.1469172430445453,0.1477890230831086,,0.1477890230831086,179.3,165.9,,119.6
691408,2,8,-0.01581357662512208,0.14722368020342116,,0.14722368020342116,20.1,165.6,,119.5
694266,1,3,0.07624116852209142,0.1472780778260516,,0.1472780778260516,110.2,165.7,,119.5
808768,7,28,-0.010681393383137085,0.14587328699958832,,0.14587328699958832,25.2,165.0,,119.2
808159,2,10,0.029324746182487333,0.14405294252181675,,0.14405294252181675,64.3,164.3,,118.8
665052,203,766,0.055807659055025965,-0.019752105745029135,0.16196826173794143,0.1422161559929123,90.2,93.2,133.4,118.4
682515,6,28,0.032099469007687044,-0.10600193261136386,0.24679016888012467,0.1407882362687608,67.0,55.8,150.1,118.1
592450,262,1132,0.06009501356838289,-0.022825807222337447,0.16260345862853332,0.13977765140619586,94.4,91.9,133.5,117.9
702461,1,4,0.07187952047832352,0.13705616367480697,,0.13705616367480697,105.9,161.2,,117.3
694673,50,218,0.0544496143533328,0.005692080174389742,0.12909649049323765,0.1347885706676274,88.9,104.3,126.9,116.9
805365,1,4,0.0007392238537723486,0.13375524671229747,,0.13375524671229747,36.3,159.8,,116.6
702693,5,12,0.1281405333376009,0.13202958366976775,,0.13202958366976775,161.0,159.0,,116.3
810838,5,15,0.054113018506108015,0.1310394741796619,,0.1310394741796619,88.5,158.6,,116.1
815299,3,12,0.05083692340700182,0.12969812831917704,,0.12969812831917704,85.3,158.0,,115.8
691620,5,17,0.02865266754716803,0.08126464182848366,0.04674149418718565,0.1280061360156693,63.6,137.0,110.7,115.4
800712,3,6,0.016744262649014203,0.12326584727083584,,0.12326584727083584,52.0,155.2,,114.5
668663,1,2,0.0769127155438169,0.12161777816920073,,0.12161777816920073,110.8,154.5,,114.1
804668,57,243,0.04666766892746952,-0.02048261662302126,0.13929487123029927,0.11881225460727801,81.3,92.9,128.9,113.5
686541,2,7,-0.005107152737429023,0.11824637103721033,,0.11824637103721033,30.6,153.1,,113.4
