batter,bb_pct_AVG,bb_pct_STRONG,bb_pct_WEAK,iso_AVG,iso_STRONG,iso_WEAK,k_pct_AVG,k_pct_STRONG,k_pct_WEAK,pa_AVG,pa_STRONG,pa_WEAK,bb_protect_lift,iso_protect_lift,player_name
678882,4.9,3.08,4.51,0.174,0.151,0.11,20.22,24.2,25.32,633.0,909.0,466.0,-1.43,0.041,Ceddanne Rafaela
678894,3.05,,5.62,0.216,,0.156,25.19,,32.13,131.0,,249.0,,,
679032,4.64,4.28,5.71,0.099,0.079,0.085,24.23,19.24,20.0,388.0,608.0,140.0,-1.43,-0.006,
679529,10.39,9.8,8.8,0.207,0.193,0.151,26.13,22.62,26.34,1569.0,663.0,1397.0,1.0,0.042,Spencer Torkelson
679631,11.01,,,0.021,,,22.94,,,109.0,,,,,
679845,10.0,,9.48,0.081,,0.111,18.57,,12.93,140.0,,348.0,,,
680118,4.58,,8.23,0.137,,0.135,21.57,,25.54,153.0,,231.0,,,
680474,9.79,12.63,5.17,0.084,0.074,0.092,24.48,23.77,23.28,286.0,467.0,232.0,7.46,-0.018,
680574,8.93,8.85,7.57,0.128,0.199,0.166,28.72,28.07,31.25,773.0,791.0,304.0,1.28,0.033,Matt McLain
680700,12.28,15.34,12.56,0.174,0.088,0.084,17.11,22.16,16.82,228.0,176.0,446.0,2.78,0.004,Richie Palacios
680718,6.81,7.19,6.79,0.246,0.2,0.124,23.04,25.26,26.43,382.0,570.0,280.0,0.4,0.076,
680728,10.24,,4.27,0.167,,0.153,30.71,,37.61,127.0,,117.0,,,Adrian Del Castillo
680757,10.03,9.19,8.55,0.117,0.096,0.114,9.93,9.48,8.91,1964.0,1687.0,1111.0,0.64,-0.018,Steven Kwan
680776,7.5,6.26,9.38,0.202,0.17,0.211,23.8,24.76,23.88,1080.0,1902.0,917.0,-3.12,-0.041,Jarren Duran
680777,9.79,7.28,9.05,0.166,0.147,0.213,22.69,27.92,26.48,1256.0,659.0,1050.0,-1.77,-0.066,Ryan Jeffers
680779,8.18,8.33,7.96,0.095,0.082,0.125,29.56,23.53,28.72,318.0,204.0,578.0,0.37,-0.043,Henry Davis
680869,8.04,9.97,6.06,0.192,0.173,0.178,33.44,32.33,32.78,311.0,331.0,842.0,3.91,-0.005,
680911,5.23,6.22,5.0,0.096,0.112,0.097,23.97,20.1,20.44,363.0,418.0,680.0,1.22,0.015,
680977,9.62,7.85,9.58,0.124,0.127,0.137,16.04,12.83,11.61,1060.0,1668.0,939.0,-1.73,-0.01,Brendan Donovan
681082,8.43,7.06,7.3,0.13,0.135,0.106,16.31,17.12,16.65,1625.0,1034.0,973.0,-0.24,0.029,Bryson Stott
681146,7.55,11.05,11.48,0.098,0.087,0.088,21.15,19.19,21.6,331.0,172.0,514.0,-0.43,-0.001,
681297,8.98,8.2,8.87,0.164,0.205,0.187,31.8,32.99,31.69,412.0,488.0,710.0,-0.67,0.018,Colton Cowser
681351,4.21,5.47,6.54,0.198,0.228,0.176,28.94,32.48,28.6,546.0,311.0,979.0,-1.07,0.052,Logan O'Hoppe
681393,4.83,5.29,8.93,0.17,0.175,0.133,35.86,25.11,25.89,290.0,227.0,336.0,-3.64,0.042,Connor Norby
681460,6.07,,4.93,0.238,,0.106,27.53,,27.54,247.0,,345.0,,,
681481,6.6,4.53,5.54,0.281,0.23,0.194,24.32,20.91,27.04,1061.0,574.0,758.0,-1.01,0.036,Kerry Carpenter
681546,11.74,11.73,10.08,0.214,0.147,0.186,32.64,34.85,33.25,622.0,307.0,397.0,1.65,-0.039,
681584,6.45,,9.84,0.121,,0.228,36.77,,28.57,155.0,,315.0,,,
